80	5
1 88	0 56	3 9	4 37	2 16
0 80	4 62	2 53	3 9	1 43
2 38	4 45	3 31	1 19	0 94
1 56	2 77	0 76	4 5	3 63
0 87	4 35	3 99	1 11	2 27
2 62	1 14	3 37	0 77	4 12
0 22	2 35	1 51	4 16	3 91
2 16	4 69	3 91	1 48	0 5
0 91	4 1	2 37	1 11	3 36
2 10	0 94	3 53	4 92	1 49
0 13	4 9	1 65	2 58	3 20
3 61	4 43	2 26	0 38	1 15
4 85	2 30	3 67	0 36	1 94
1 48	0 80	3 13	2 53	4 30
4 42	0 57	3 1	2 4	1 29
2 62	0 88	1 13	3 17	4 89
1 37	4 46	2 60	3 24	0 76
0 74	2 39	3 44	4 34	1 90
0 73	1 94	4 99	2 60	3 13
4 68	3 38	2 86	0 92	1 33
1 34	4 94	2 49	0 41	3 74
0 42	2 38	4 60	3 71	1 78
0 83	2 97	1 31	4 99	3 98
1 84	3 2	0 1	2 33	4 3
3 10	1 62	4 35	2 11	0 35
4 63	2 77	3 48	0 87	1 54
4 96	0 64	1 20	2 84	3 25
4 76	1 82	3 73	0 15	2 67
1 56	0 60	2 68	3 29	4 62
3 83	2 1	1 13	0 5	4 99
3 30	4 96	2 87	0 68	1 78
4 3	2 10	0 79	1 42	3 92
3 4	2 75	0 12	4 27	1 13
2 46	3 38	4 46	0 6	1 46
3 7	4 59	0 38	2 56	1 40
0 77	4 48	1 67	2 8	3 83
4 62	1 12	2 76	3 76	0 72
1 7	4 34	3 27	0 23	2 18
3 74	4 68	0 3	2 83	1 25
0 63	2 1	4 48	3 9	1 82
1 9	0 40	3 60	4 90	2 49
2 4	0 40	4 53	3 83	1 7
2 11	3 78	0 35	1 49	4 13
0 33	3 87	4 56	1 2	2 31
0 58	3 57	4 33	2 8	1 35
4 59	0 66	2 42	3 20	1 58
3 49	2 60	4 9	0 85	1 69
0 30	2 82	3 83	1 31	4 63
3 61	0 82	1 95	4 78	2 97
1 95	2 46	4 96	3 67	0 25
2 40	1 77	0 15	4 13	3 8
3 73	2 73	4 30	1 94	0 46
2 88	3 39	4 4	1 87	0 74
0 56	2 58	4 59	1 63	3 27
1 12	3 56	2 48	4 68	0 24
3 98	1 99	2 43	4 3	0 68
3 33	1 88	0 93	4 24	2 37
2 30	3 88	1 8	4 48	0 27
0 77	1 45	3 75	4 65	2 20
1 76	4 23	3 7	2 99	0 74
2 50	3 37	4 12	0 38	1 37
2 47	1 27	3 85	0 57	4 68
4 44	1 96	2 83	0 67	3 62
4 12	3 40	0 7	2 35	1 10
2 76	4 17	3 82	1 40	0 91
0 51	2 79	3 64	1 88	4 86
2 69	3 89	1 92	0 51	4 4
4 19	1 99	2 41	0 98	3 67
3 66	4 2	2 42	0 39	1 82
1 68	0 85	2 27	3 21	4 69
0 31	1 93	4 80	2 99	3 76
3 20	4 79	1 92	0 67	2 52
0 93	4 94	3 93	2 91	1 30
3 56	2 52	4 77	0 21	1 33
2 29	1 54	3 7	4 70	0 16
4 23	0 67	2 48	3 79	1 58
3 33	1 45	2 97	0 25	4 27
3 37	1 42	4 21	2 89	0 63
0 66	2 62	3 93	4 30	1 46
0 55	2 98	4 62	3 65	1 48
