60	100
44 40	59 20	84 40	9 25	41 32	85 39	98 32	42 81	11 6	53 43	2 80	0 84	72 88	47 37	88 19	89 24	38 89	36 57	26 32	4 45	15 77	50 35	25 64	62 95	67 87	69 75	74 10	65 3	61 57	55 32	60 7	93 5	70 36	45 36	32 77	3 58	5 75	46 23	68 35	90 68	48 32	64 89	33 89	18 35	54 73	20 22	71 60	94 66	51 6	95 89	8 1	82 97	21 77	87 79	35 60	24 33	37 25	91 16	10 43	29 2	6 36	81 3	13 57	43 51	12 28	66 60	31 13	23 74	16 25	34 1	57 77	77 91	39 39	92 70	22 86	79 71	30 64	14 8	99 68	83 42	97 66	76 47	7 94	80 25	19 56	49 93	52 6	63 20	27 44	40 89	17 63	56 29	75 97	86 23	58 80	78 69	96 72	1 62	73 83	28 48
39 31	25 68	27 60	50 85	5 28	43 51	38 76	34 29	53 33	1 72	48 13	17 46	33 16	15 43	76 26	57 88	69 60	83 57	7 11	52 95	62 71	0 88	11 68	68 80	12 78	93 62	87 43	36 68	23 30	18 25	46 55	9 55	81 63	47 5	28 43	97 33	60 99	40 4	49 54	79 60	30 43	61 93	24 64	63 1	26 67	41 38	42 10	73 62	21 7	72 39	54 22	66 87	45 30	70 3	99 99	22 61	8 83	2 83	20 73	74 28	14 24	3 17	59 51	77 77	95 28	44 54	37 42	13 50	91 14	98 14	29 90	10 86	56 95	67 36	6 99	31 50	58 24	65 12	55 56	51 21	4 63	71 20	86 72	75 91	84 97	32 84	88 86	96 75	64 91	92 94	78 62	16 18	94 24	90 41	89 57	35 42	85 23	82 85	80 95	19 39
61 14	83 16	44 46	24 58	13 73	79 68	21 88	97 59	15 26	55 83	23 86	86 90	1 76	62 52	5 74	35 88	31 28	14 86	33 97	51 6	78 85	88 14	70 76	40 49	25 64	59 48	10 25	29 49	12 71	91 93	65 16	66 69	27 9	52 38	92 62	4 56	71 96	93 76	58 39	50 23	80 93	32 27	38 94	95 75	73 2	75 78	53 33	98 23	74 78	43 64	84 35	82 70	81 41	56 86	89 85	54 16	67 78	9 31	57 25	17 57	69 2	63 15	7 2	19 44	30 36	42 80	48 65	94 92	11 31	46 97	96 82	16 54	2 34	99 82	85 14	41 25	28 67	20 85	47 5	18 36	37 23	45 47	90 67	39 55	8 38	68 32	34 25	60 65	49 65	3 55	87 48	36 60	72 36	6 55	26 33	76 35	0 70	64 35	22 5	77 22
32 79	92 38	50 56	18 28	48 65	26 33	81 6	42 24	95 40	57 3	71 24	74 22	62 80	77 12	41 10	99 49	84 61	31 21	58 3	13 15	78 93	82 74	14 8	89 6	68 16	94 19	1 82	93 18	76 31	69 96	54 14	29 12	43 4	16 52	27 6	66 93	79 69	40 17	87 50	11 61	91 59	47 60	39 14	23 12	75 96	80 75	44 91	17 7	59 67	96 12	4 67	97 77	2 14	63 3	86 81	67 82	30 52	90 13	85 86	51 33	25 18	49 63	60 84	28 42	0 63	88 89	34 9	9 57	98 10	56 54	20 8	72 27	12 23	65 73	61 39	70 44	37 60	36 73	8 48	19 14	38 89	45 82	15 57	7 10	24 98	73 28	6 44	33 94	55 7	5 43	22 90	52 93	35 93	3 76	64 64	21 81	46 16	53 37	83 13	10 55
93 47	48 42	68 70	16 64	52 3	33 43	67 23	35 96	2 63	15 4	99 36	1 38	91 83	72 83	59 33	9 63	47 82	55 76	86 99	87 4	17 27	63 25	7 87	53 98	78 66	46 15	44 11	19 45	37 8	79 14	6 20	38 94	74 57	27 77	88 40	21 58	84 17	94 62	50 72	23 74	64 57	60 83	28 23	83 66	92 63	13 11	81 6	98 92	97 87	30 67	18 49	77 14	5 14	10 81	25 5	69 47	20 16	32 33	22 38	29 64	43 24	36 28	12 40	71 78	62 95	40 30	42 21	8 79	76 12	54 67	89 27	3 7	85 93	14 94	95 4	31 98	66 12	0 49	80 12	4 31	26 25	82 2	45 79	70 20	65 47	56 61	96 25	58 93	51 30	11 61	75 41	41 29	57 29	39 3	34 52	90 80	24 33	49 1	73 50	61 22
25 22	83 94	57 28	7 51	47 57	5 20	3 81	77 25	31 79	75 82	20 24	16 95	90 40	62 1	10 80	44 57	81 90	71 39	35 46	60 56	9 43	68 11	59 36	89 27	19 43	45 54	96 45	0 29	88 56	99 14	29 77	67 85	51 14	24 96	15 91	37 33	93 88	4 6	92 7	78 96	6 30	87 69	76 96	55 36	21 68	69 47	8 95	84 91	53 29	26 37	52 62	39 52	65 4	1 70	28 13	50 6	70 18	22 92	43 32	17 94	97 49	74 10	72 39	73 43	30 31	82 67	42 31	58 29	41 38	86 64	46 94	38 3	18 3	63 76	49 43	66 18	12 94	27 87	36 97	94 90	80 85	95 40	61 73	64 33	85 20	23 44	14 91	32 6	91 76	98 24	48 89	40 89	54 15	56 72	13 71	11 11	34 91	79 3	33 85	2 84
80 81	54 2	77 44	41 19	12 86	97 49	10 61	53 25	83 40	73 71	30 62	50 35	18 22	58 25	11 49	44 60	0 67	6 13	85 3	59 94	75 75	79 40	87 81	38 85	95 66	48 54	60 96	91 35	51 61	88 32	29 48	42 25	71 24	35 73	24 47	19 40	68 11	70 80	28 57	13 36	64 79	82 50	27 36	56 4	86 7	78 6	31 61	62 15	34 54	23 17	99 10	8 56	90 97	3 13	98 68	46 5	74 84	36 9	69 16	7 93	67 75	15 36	20 97	1 5	96 81	84 14	65 32	81 95	40 89	93 48	14 14	61 66	22 43	26 64	92 18	66 90	55 8	57 60	32 20	43 8	2 23	4 9	16 67	52 34	17 56	45 19	25 99	33 43	94 98	9 2	21 3	47 67	49 29	37 98	89 75	39 40	5 97	63 7	72 45	76 29
43 45	41 74	51 14	91 63	59 35	9 14	90 23	34 58	42 27	0 90	99 39	52 91	6 9	58 96	1 85	31 69	88 48	61 14	16 8	5 95	78 18	32 76	64 68	15 27	72 4	35 74	63 69	10 59	86 70	46 17	76 14	47 76	39 27	4 94	28 29	12 79	66 40	50 38	37 6	97 93	49 85	89 63	74 44	2 39	13 53	21 26	69 78	95 97	33 41	30 9	80 85	20 1	67 55	7 2	11 97	8 84	68 17	94 28	27 56	79 86	24 69	3 3	60 94	19 97	70 72	71 88	53 62	54 63	84 41	98 82	87 20	40 93	65 12	26 59	75 10	25 3	55 69	82 17	14 91	38 15	96 2	36 77	22 58	73 87	62 75	85 54	92 15	29 1	23 31	17 68	18 30	44 85	81 11	77 21	93 25	56 68	83 15	48 96	45 31	57 73
65 31	82 24	67 11	13 47	41 71	66 45	30 63	3 52	31 43	81 56	99 17	12 8	61 60	51 54	57 18	63 69	83 3	2 43	25 70	60 95	91 57	7 51	68 80	26 18	87 21	16 80	28 75	79 26	97 40	70 49	17 39	94 51	52 62	45 58	44 68	24 32	37 17	23 80	47 26	92 93	78 74	19 78	8 65	38 14	88 44	27 91	53 46	0 72	96 6	20 69	5 34	43 18	36 97	22 83	50 87	80 80	29 52	56 85	6 81	21 29	95 14	58 55	40 61	46 24	35 72	15 37	54 41	18 46	49 26	4 88	72 92	1 73	48 88	71 75	98 37	84 4	86 38	74 54	42 30	14 19	33 57	93 56	9 80	76 67	32 40	75 17	89 93	55 29	11 33	39 67	85 77	77 62	62 20	34 87	90 24	59 31	10 92	69 24	73 43	64 45
70 67	95 10	36 80	38 7	79 13	69 15	27 43	41 93	29 37	6 64	89 64	20 87	61 42	76 8	78 2	1 51	71 23	60 46	33 46	99 64	12 65	85 76	32 60	94 98	0 3	24 10	11 69	81 38	97 14	73 36	87 38	88 39	46 29	7 26	4 23	37 1	91 6	66 33	58 41	72 70	45 38	26 92	53 47	35 83	65 65	2 99	14 42	21 59	10 46	25 82	23 77	30 87	52 11	19 35	98 12	54 41	83 37	8 86	17 98	77 86	74 27	31 95	44 5	3 95	75 45	51 39	13 39	80 57	18 77	55 31	9 80	34 8	90 40	15 82	86 33	62 57	42 96	40 82	93 21	50 21	63 15	67 88	43 5	48 75	64 57	84 68	5 57	57 75	49 51	92 72	59 32	39 84	16 54	68 88	56 17	96 33	28 82	22 71	82 96	47 49
19 58	50 82	31 50	98 20	9 27	99 23	34 84	42 63	79 69	40 53	21 85	11 21	89 94	76 68	44 13	94 87	47 59	75 43	58 97	6 76	8 52	66 82	92 54	46 48	5 94	62 2	14 18	12 45	27 82	60 17	7 88	25 94	18 98	38 92	96 93	68 29	22 30	53 63	83 4	70 79	78 35	48 16	64 90	67 47	59 7	35 55	63 52	86 55	91 98	24 20	30 78	97 13	32 80	77 14	29 12	88 67	15 77	23 55	28 4	2 57	36 26	80 4	3 90	81 52	20 79	39 12	55 62	49 53	72 72	45 41	1 50	84 99	56 2	52 37	74 64	69 18	57 16	0 42	13 73	95 13	93 41	90 20	43 40	10 41	16 79	82 51	54 71	33 7	37 43	87 74	65 89	71 58	85 3	26 56	73 84	17 53	51 36	41 11	61 72	4 35
