15	20
14 162	9 5	19 96	12 110	8 5	17 11	1 26	11 177	7 192	16 161	15 154	13 63	4 127	5 119	2 40	6 144	3 64	18 1	10 131	0 158
10 38	2 71	5 115	9 31	6 73	15 68	8 36	4 58	17 169	7 136	14 73	16 103	3 33	12 31	11 66	0 25	13 115	19 187	1 66	18 181
9 68	6 164	0 140	4 115	14 183	8 171	11 28	7 33	10 66	16 130	17 63	13 170	2 2	1 189	12 53	15 24	3 80	18 87	19 16	5 162
9 141	2 80	18 105	19 176	6 23	17 2	14 192	3 21	10 149	4 54	16 93	11 100	1 74	8 80	7 114	12 148	13 133	5 56	0 165	15 91
8 19	11 197	5 34	4 52	19 18	3 146	17 64	7 106	0 139	18 102	13 184	15 6	10 98	16 199	14 43	12 40	9 13	6 71	1 98	2 77
2 172	16 16	14 100	19 8	13 33	7 184	15 45	3 92	6 176	11 112	12 24	0 106	8 166	5 9	17 189	9 85	4 49	10 84	18 56	1 174
3 56	2 11	0 184	6 172	10 90	13 171	5 145	17 37	15 73	4 124	12 58	8 36	19 28	18 99	7 45	16 18	1 133	9 70	14 99	11 91
3 170	7 121	12 21	6 140	10 5	0 31	14 186	17 24	15 69	8 169	9 119	11 17	4 97	13 139	18 15	16 93	2 80	19 30	5 21	1 38
8 20	18 141	10 183	3 21	17 173	4 192	14 190	9 188	12 87	6 103	16 190	13 87	15 44	11 17	1 193	0 156	7 104	2 173	19 109	5 178
2 100	12 77	18 86	3 82	6 22	17 180	4 58	15 121	0 71	14 170	5 187	1 178	13 134	8 176	7 128	16 24	9 53	10 68	19 122	11 169
1 125	17 194	0 70	3 130	16 189	10 63	11 117	2 185	15 160	7 104	13 196	4 32	14 114	9 74	8 33	5 98	12 11	19 13	6 42	18 165
4 135	17 85	15 114	7 164	13 84	11 15	12 196	10 47	2 58	5 178	0 153	8 5	16 115	18 136	6 195	19 117	1 158	9 169	3 63	14 85
13 141	11 190	6 12	1 78	4 154	9 36	7 13	18 70	12 133	8 142	5 161	17 108	10 71	2 175	19 65	0 191	16 112	3 106	15 50	14 19
14 9	0 104	4 119	9 164	15 154	7 96	11 23	12 36	17 74	2 95	1 54	13 13	8 69	6 55	5 102	10 146	18 112	3 136	16 63	19 32
8 55	13 132	7 4	17 176	9 172	19 197	12 40	15 6	6 156	0 38	1 99	4 154	5 107	14 56	10 192	2 55	18 6	16 79	11 173	3 1
