60	5
2 59	4 39	1 65	0 87	3 92
1 34	2 64	4 95	0 88	3 97
3 39	2 3	4 6	1 17	0 39
0 96	1 44	2 98	3 92	4 18
0 46	3 43	4 12	2 17	1 44
3 42	2 29	0 25	1 54	4 35
2 80	1 2	0 65	3 73	4 79
2 69	0 53	1 93	4 72	3 89
2 95	4 87	1 48	3 57	0 16
0 29	1 20	4 32	3 98	2 56
0 45	1 5	4 47	3 58	2 74
3 88	1 22	0 19	2 94	4 28
2 20	1 75	3 55	4 28	0 9
4 60	2 5	3 22	0 21	1 20
1 93	3 76	0 26	4 53	2 51
3 3	2 85	1 85	4 22	0 21
4 8	3 93	0 73	2 32	1 28
3 60	0 8	2 92	1 60	4 8
0 38	2 53	1 14	3 51	4 34
2 76	1 54	3 11	4 91	0 41
1 45	2 9	3 33	0 47	4 91
0 59	1 49	3 40	4 10	2 10
4 78	2 91	1 66	0 57	3 26
3 62	2 38	1 34	0 35	4 21
1 11	3 3	4 14	2 43	0 98
4 53	2 48	0 71	3 74	1 22
2 71	3 30	0 38	1 24	4 11
0 26	2 94	4 77	1 67	3 82
2 66	0 59	3 67	1 47	4 98
4 2	1 29	3 18	2 57	0 41
1 36	2 33	4 14	3 74	0 82
2 83	3 61	1 1	0 71	4 97
3 17	2 31	0 81	4 59	1 53
3 24	2 52	4 83	0 3	1 83
4 59	1 94	2 34	0 93	3 71
4 55	1 24	0 48	3 40	2 26
1 19	3 37	2 20	4 38	0 18
4 18	0 94	2 2	3 6	1 57
1 46	0 60	2 16	4 83	3 17
1 71	3 43	2 36	4 4	0 46
2 88	0 58	4 65	3 41	1 28
3 87	4 70	0 93	1 66	2 45
2 48	3 99	1 74	0 44	4 36
3 44	1 25	0 23	2 70	4 82
1 48	4 68	2 19	3 81	0 69
4 91	1 16	0 47	2 67	3 43
1 32	0 24	3 80	2 62	4 84
2 14	3 5	1 59	0 77	4 70
0 21	4 44	2 19	1 36	3 42
4 59	3 82	1 47	2 63	0 69
3 16	2 24	0 85	4 97	1 40
1 49	4 21	3 55	0 89	2 91
2 84	3 30	4 47	1 30	0 39
2 70	3 35	0 61	4 76	1 81
2 28	4 56	3 18	1 43	0 86
0 70	3 15	2 45	4 82	1 75
0 44	2 72	4 31	3 51	1 45
1 58	2 98	3 5	0 23	4 80
4 26	2 94	1 71	3 95	0 94
4 31	0 65	3 31	1 69	2 53
