40	10
0 73	5 138	8 3	1 153	3 169	6 112	2 185	7 51	4 115	9 120
6 197	7 43	0 162	1 17	8 92	3 120	5 145	4 181	9 80	2 113
8 197	4 196	0 69	2 61	6 6	3 137	1 115	7 137	9 31	5 67
9 26	7 13	0 68	5 11	4 192	2 10	6 139	1 132	3 43	8 179
5 129	6 74	2 164	3 170	1 156	8 165	7 65	0 102	4 173	9 191
6 79	0 136	1 166	2 45	9 145	4 75	3 11	8 128	7 21	5 122
8 22	3 121	0 172	5 99	2 169	4 62	1 143	9 105	6 63	7 23
7 27	1 11	2 135	9 109	8 68	3 70	5 4	0 106	6 48	4 183
8 65	9 103	2 96	6 150	1 174	3 53	7 68	4 71	5 68	0 120
9 175	4 152	1 12	2 82	8 167	0 145	6 168	5 165	3 95	7 164
8 69	9 4	6 148	4 59	7 34	5 33	3 104	2 15	1 65	0 185
0 174	4 185	3 48	1 161	8 143	2 176	6 91	5 176	9 151	7 146
3 122	1 150	9 92	6 106	0 179	2 120	5 82	4 11	7 83	8 155
4 198	9 27	8 77	7 102	6 25	1 123	3 104	0 126	2 189	5 43
5 87	3 58	8 174	0 25	2 49	1 46	4 102	7 76	9 45	6 135
8 194	3 49	2 108	0 144	4 187	7 32	9 128	1 47	5 145	6 162
1 198	7 161	5 163	0 7	8 191	6 104	2 74	3 129	9 119	4 14
5 43	9 72	3 122	7 77	2 197	6 21	0 154	4 79	8 6	1 4
1 176	8 43	4 5	7 154	3 129	6 109	5 140	0 168	2 178	9 89
5 133	6 75	4 46	0 43	1 122	9 106	7 58	3 119	2 37	8 189
1 180	4 138	3 75	6 199	8 127	2 140	5 188	0 46	9 7	7 123
7 97	6 180	1 146	5 103	4 144	3 169	2 190	8 195	9 46	0 47
2 69	7 46	1 32	8 79	4 140	6 178	0 48	5 106	9 28	3 42
6 113	2 32	7 23	5 131	0 40	4 61	9 11	1 70	3 20	8 144
0 79	3 17	6 182	7 103	1 98	2 83	4 30	8 113	9 138	5 24
2 95	5 182	3 183	8 68	1 178	9 76	0 25	4 135	7 169	6 46
5 156	1 188	3 38	2 68	0 199	9 83	4 74	6 35	8 197	7 99
3 29	7 35	5 115	9 145	0 102	8 182	2 61	4 4	6 13	1 161
0 110	1 86	4 13	3 132	9 81	7 155	6 25	8 82	2 106	5 53
6 169	7 84	5 191	8 87	0 44	4 123	2 156	9 111	3 22	1 15
7 38	5 127	3 111	9 144	8 200	0 138	6 99	1 34	4 106	2 57
8 193	5 174	2 191	3 119	9 178	1 47	4 148	7 198	6 80	0 56
0 107	5 146	3 187	2 136	6 80	4 148	8 177	9 77	1 178	7 194
3 182	6 51	4 3	1 186	8 175	2 77	5 156	7 112	0 53	9 1
2 190	9 11	5 67	6 94	7 121	3 166	0 19	1 77	4 45	8 31
0 147	2 185	5 138	3 184	9 82	7 13	6 146	8 13	4 58	1 116
1 107	7 73	6 117	2 114	9 145	8 75	5 156	3 7	4 87	0 103
6 120	8 62	9 149	1 76	5 138	4 118	3 191	2 71	0 155	7 175
5 183	0 72	3 28	1 40	9 192	4 111	7 21	6 157	2 120	8 89
2 53	8 9	9 54	5 170	7 70	6 166	3 45	1 44	0 50	4 36
