30	5
2 10	4 54	0 68	1 5	3 3
0 43	2 83	1 35	4 13	3 15
4 95	0 47	3 17	1 72	2 48
3 7	1 57	0 73	2 13	4 34
0 3	1 31	4 92	2 77	3 87
2 56	4 74	0 32	1 95	3 11
0 58	3 69	1 78	4 88	2 29
0 17	4 63	1 89	2 60	3 61
1 12	4 38	2 69	0 29	3 52
1 81	3 44	0 65	2 52	4 15
4 13	1 63	2 56	0 98	3 39
0 4	4 22	3 49	2 24	1 42
4 52	1 31	3 76	2 26	0 70
0 26	1 92	4 88	2 58	3 73
2 40	3 97	1 47	0 36	4 13
1 67	0 27	3 94	4 76	2 88
4 78	1 38	2 69	0 50	3 10
3 64	0 98	4 48	2 42	1 98
0 87	3 19	2 55	1 92	4 22
2 26	1 22	3 36	0 21	4 90
4 5	2 41	0 21	1 70	3 71
3 59	4 31	0 73	2 34	1 2
0 40	1 41	3 32	4 39	2 76
1 80	0 80	2 5	4 7	3 55
4 28	1 3	3 95	0 55	2 20
0 24	4 4	2 35	1 12	3 76
2 60	1 78	3 8	4 83	0 78
1 44	3 12	2 53	4 89	0 91
0 6	3 53	1 77	2 86	4 34
1 26	3 92	4 62	2 29	0 51
