40	70
45 6	15 12	21 54	60 28	62 79	41 71	69 55	57 40	12 32	4 36	34 65	25 1	58 67	54 66	32 66	68 29	50 33	61 24	43 48	56 56	66 27	47 99	7 17	59 17	6 65	35 47	9 75	55 12	52 95	18 58	44 55	67 87	37 43	63 79	8 28	2 38	64 59	26 66	39 66	19 63	30 53	1 29	36 62	31 93	33 72	53 85	13 49	0 1	24 9	14 23	27 85	23 2	17 12	10 67	11 75	16 8	40 30	20 42	65 91	42 94	22 34	28 5	48 12	49 13	38 16	46 68	3 26	51 87	29 17	5 33
25 83	39 77	69 6	61 87	17 8	64 54	31 82	28 58	42 84	23 91	29 68	58 91	8 67	51 56	52 13	19 58	59 14	9 7	4 72	37 73	12 14	2 99	44 48	53 30	0 42	30 77	56 3	36 52	13 22	40 35	67 37	5 44	16 81	43 27	38 94	15 33	48 8	26 17	68 49	11 16	24 99	7 65	57 52	63 40	22 19	14 20	32 82	55 79	46 93	50 68	6 41	33 78	35 15	3 65	20 60	27 90	66 98	18 80	65 58	49 83	62 80	34 98	54 10	1 47	47 75	45 63	60 58	10 72	41 2	21 56
23 36	17 77	8 71	38 82	37 68	39 27	51 73	9 83	7 98	0 60	28 82	13 82	58 63	61 67	4 9	53 75	27 27	34 38	22 95	52 17	29 95	47 98	20 15	54 13	36 24	5 35	62 49	59 21	67 14	33 1	14 45	18 15	31 5	21 93	56 95	49 21	35 18	69 63	46 56	42 84	64 77	6 91	3 63	25 23	11 28	63 86	41 13	44 35	10 84	32 23	66 1	57 10	26 28	2 28	12 38	68 64	19 25	30 88	60 27	24 38	45 32	43 18	16 43	48 38	40 85	15 44	65 61	55 87	50 68	1 1
40 28	60 55	64 16	42 98	55 37	23 27	34 97	12 22	41 43	58 95	61 4	36 44	56 11	37 47	33 9	63 94	65 89	18 33	28 23	29 54	0 63	14 59	62 91	47 31	25 2	20 88	54 83	35 99	1 43	49 23	45 78	26 93	19 58	66 23	44 35	5 64	30 15	51 62	21 85	39 38	57 38	2 90	52 8	8 26	27 61	15 4	43 52	50 23	9 45	32 55	24 6	10 93	4 11	69 39	59 6	7 20	16 69	3 38	17 49	68 55	53 69	13 49	31 52	48 46	38 93	67 21	11 89	6 17	22 25	46 83
54 84	26 73	58 81	17 99	53 71	41 20	50 30	8 90	19 62	51 91	57 21	28 17	31 13	16 66	67 27	59 47	60 95	69 56	0 46	9 55	37 71	3 24	34 17	43 43	63 31	47 8	11 67	2 43	55 71	5 2	29 91	4 88	65 52	12 73	30 23	52 35	36 75	48 48	13 15	46 46	44 96	21 65	35 12	45 44	10 33	66 19	23 24	32 52	49 17	20 16	62 55	6 28	7 43	27 51	64 88	68 30	40 46	1 66	18 1	39 9	22 13	24 5	61 70	42 7	15 40	33 86	56 19	14 83	38 16	25 46
60 43	64 79	31 78	48 86	18 79	14 96	24 1	19 75	0 40	16 55	39 14	26 87	12 6	2 22	54 10	66 36	1 86	59 45	25 98	40 46	38 50	61 69	6 79	58 49	69 93	13 5	41 91	27 37	43 36	29 21	15 94	47 10	45 41	9 66	10 80	4 94	55 41	65 66	33 47	11 12	36 48	63 73	51 32	22 62	68 54	57 76	32 92	67 5	53 96	17 96	56 52	62 74	34 66	5 35	21 54	35 97	42 86	52 3	30 67	8 9	37 89	49 80	3 51	7 89	44 55	23 26	28 94	20 84	50 53	46 50
32 60	60 26	66 66	62 9	63 7	0 44	55 56	15 33	17 25	29 40	46 82	69 77	52 28	11 49	33 90	4 67	16 31	53 85	35 94	54 37	6 19	23 65	34 89	14 19	42 57	2 24	12 96	18 87	68 67	41 59	45 56	61 98	5 85	30 1	3 14	40 15	50 51	49 17	38 62	31 11	28 84	37 87	57 56	27 44	67 40	59 69	1 81	65 54	21 21	7 17	10 40	44 39	58 77	56 48	36 9	25 28	24 91	22 78	39 17	13 4	43 3	19 38	47 28	9 75	51 65	8 9	48 66	64 64	26 49	20 62
59 28	5 54	8 96	68 63	58 79	67 95	18 64	57 81	51 51	56 8	27 62	22 12	1 26	30 82	13 82	52 48	54 78	66 38	53 90	37 13	2 68	12 37	43 33	69 57	60 38	62 89	48 81	45 88	33 95	39 32	32 16	50 37	35 60	21 60	9 17	10 6	17 93	36 41	40 12	41 27	0 62	34 63	7 28	44 31	46 82	14 59	28 56	65 12	29 19	15 48	63 63	6 13	19 55	20 91	47 49	38 7	61 13	23 77	25 24	3 46	49 90	4 37	16 94	26 98	55 65	42 19	31 86	11 36	64 99	24 24
29 69	7 27	56 5	25 54	32 63	57 48	36 17	20 79	53 47	35 26	2 23	61 11	0 80	9 27	42 72	63 93	15 53	17 70	69 55	18 33	66 66	48 71	24 87	23 85	47 75	31 41	1 32	46 28	54 62	6 69	62 52	67 55	60 87	55 31	43 20	68 3	10 35	50 77	8 72	28 54	14 97	16 33	3 95	41 60	30 55	37 58	58 14	19 16	59 18	40 99	21 63	4 13	34 80	39 31	22 87	13 97	44 85	45 93	27 51	26 45	52 41	64 92	12 97	38 51	5 31	11 3	65 27	49 49	33 23	51 57
2 77	53 30	12 49	38 56	65 64	68 15	60 48	16 87	17 65	29 59	9 38	8 72	39 25	3 4	63 38	11 96	50 96	31 46	55 8	47 72	58 41	24 92	33 55	49 1	69 64	13 72	5 75	66 39	64 75	18 51	44 83	48 94	35 76	67 68	42 15	14 84	22 92	28 22	7 27	36 61	26 24	32 33	62 78	61 96	10 78	52 19	21 20	23 23	20 52	27 14	57 69	40 7	15 38	34 5	54 67	56 39	51 45	59 40	43 61	19 87	0 29	1 37	45 22	6 97	4 29	46 98	37 90	25 89	30 32	41 26
27 96	66 26	65 24	29 67	50 26	61 57	36 65	16 84	38 15	35 76	13 51	11 17	10 58	44 16	32 91	68 71	25 76	4 8	22 20	0 53	56 53	55 87	21 57	46 13	28 87	2 39	6 87	42 74	8 92	41 96	3 67	26 46	48 24	5 15	51 7	18 48	15 5	54 54	60 62	49 86	40 7	69 55	53 34	37 11	58 70	52 3	33 28	57 32	31 81	30 31	47 39	67 2	23 76	62 61	45 28	39 15	43 29	24 67	19 91	17 92	9 96	64 18	14 41	7 22	20 19	1 55	12 31	34 6	59 53	63 49
