40	5
3 36	0 48	4 63	1 45	2 47
0 57	4 56	2 53	1 48	3 46
2 50	0 50	3 46	1 40	4 46
4 54	2 51	0 49	1 58	3 60
1 53	2 55	3 56	4 52	0 48
1 57	4 44	2 47	0 48	3 47
4 50	3 42	2 49	0 50	1 48
1 45	4 55	0 48	2 51	3 55
0 40	3 46	1 55	2 45	4 55
2 44	3 51	0 47	1 52	4 43
1 55	2 52	0 55	3 46	4 52
4 51	1 48	0 40	2 48	3 59
1 45	0 46	4 46	3 43	2 44
0 52	4 48	1 52	3 44	2 56
3 51	0 59	1 53	2 46	4 50
0 51	2 43	4 52	3 42	1 49
2 53	0 46	4 47	1 43	3 45
0 44	2 53	4 52	3 48	1 54
3 52	4 51	0 56	2 42	1 50
1 45	3 50	0 55	2 58	4 59
2 47	0 50	1 55	4 46	3 51
2 51	1 47	4 48	3 56	0 55
4 51	1 51	3 48	0 41	2 58
3 41	4 55	2 49	0 53	1 51
1 51	3 54	4 42	0 48	2 51
3 58	1 50	0 43	2 43	4 47
2 54	4 60	3 49	0 45	1 55
0 47	2 46	3 51	1 44	4 47
0 44	2 53	1 52	4 58	3 59
3 54	4 54	2 41	0 49	1 54
0 52	3 51	2 49	1 54	4 53
2 40	0 42	3 49	4 52	1 41
2 47	1 53	3 49	0 51	4 58
0 48	2 43	1 46	4 51	3 52
2 42	1 55	4 49	3 54	0 46
3 49	1 53	2 47	0 48	4 60
0 58	2 53	4 51	1 41	3 45
2 52	0 61	3 46	4 44	1 51
0 48	1 59	3 42	2 53	4 55
4 57	2 54	0 46	1 48	3 46
