20	5
0 145	4 120	3 45	1 98	2 28
2 87	1 111	0 10	3 100	4 95
2 191	3 167	0 61	1 64	4 62
2 36	3 9	1 120	4 161	0 186
0 142	3 88	2 53	1 39	4 20
4 46	3 155	1 180	2 26	0 89
1 51	2 34	3 110	4 158	0 55
4 3	3 44	0 20	1 11	2 174
3 19	4 118	2 123	0 74	1 193
1 175	0 86	4 179	3 181	2 55
0 113	3 49	2 26	1 87	4 123
1 80	4 43	2 136	0 29	3 187
3 97	0 2	4 180	1 107	2 12
3 90	0 102	2 71	1 104	4 194
4 43	1 101	2 51	3 91	0 81
0 35	4 6	3 60	1 167	2 17
3 17	2 23	0 140	1 150	4 106
1 89	4 56	0 75	2 161	3 90
4 46	1 170	3 154	2 51	0 37
4 110	3 137	1 36	2 78	0 191
