50	70
65 61	5 15	27 90	2 39	55 32	69 78	22 36	58 67	21 84	30 6	24 39	18 22	47 69	1 28	13 81	33 20	23 28	4 61	12 60	26 76	50 32	10 21	3 40	37 87	8 5	0 30	16 12	6 23	29 32	51 35	31 40	54 96	48 48	43 51	17 60	35 40	40 31	45 8	9 54	49 9	66 59	63 32	19 32	59 40	38 1	44 44	41 55	53 24	67 39	64 1	62 41	36 10	14 8	42 80	20 79	61 41	68 22	15 23	32 74	7 97	39 97	46 16	57 82	28 97	60 2	34 10	52 14	11 16	25 64	56 3
18 2	20 17	60 91	44 8	54 86	7 70	8 61	68 67	29 36	14 53	40 95	42 69	24 47	46 70	26 35	64 10	61 86	41 47	55 3	58 75	28 64	65 93	25 60	21 15	11 34	23 54	35 45	15 1	36 71	6 35	2 90	12 12	9 55	53 25	13 94	66 39	39 18	56 22	4 70	62 40	59 63	32 36	27 79	50 27	45 77	48 55	63 70	47 94	51 4	5 13	69 16	49 94	1 22	52 21	10 7	33 92	3 15	57 75	37 7	43 72	0 98	31 7	19 88	22 25	17 37	34 6	67 69	30 95	16 6	38 48
24 6	17 98	55 87	12 83	6 93	10 59	9 75	18 25	29 50	21 56	14 38	46 94	40 91	67 48	4 25	37 42	1 87	57 27	44 54	69 61	48 4	20 8	25 9	11 83	63 62	28 2	49 47	51 86	30 72	3 28	15 90	34 9	39 71	38 4	66 37	65 7	27 67	16 25	13 9	19 42	60 61	32 93	36 48	52 42	7 75	2 25	61 51	62 77	33 56	23 39	64 4	43 67	59 98	22 1	0 46	5 36	58 56	31 34	45 90	53 52	26 54	47 30	35 30	54 31	50 86	56 87	41 93	42 85	68 88	8 19
2 27	17 16	8 19	3 17	12 14	24 69	23 95	28 45	9 71	0 94	33 52	34 26	19 43	57 47	53 63	50 89	41 86	42 18	25 58	18 5	5 24	45 91	43 75	15 1	63 64	30 33	59 10	38 6	66 45	16 81	7 39	14 1	47 38	51 26	46 24	67 10	49 41	62 83	36 19	56 34	29 22	58 50	22 83	55 50	20 57	54 18	4 98	60 42	35 45	21 98	65 37	37 66	64 86	44 54	48 88	26 84	1 16	32 63	11 52	69 67	40 89	52 87	27 13	10 56	61 39	6 92	13 70	31 90	39 83	68 37
65 80	37 58	30 40	55 47	8 89	13 22	15 30	36 38	7 50	56 2	17 48	34 74	29 87	61 53	5 64	63 29	66 50	25 94	19 48	46 67	11 82	3 14	6 17	60 31	45 82	10 25	43 96	22 87	26 14	68 92	62 82	28 51	14 65	59 57	24 57	41 90	69 9	32 19	64 38	67 77	9 75	35 51	42 78	38 60	58 50	44 51	2 37	18 55	50 13	21 47	57 78	49 89	53 97	33 95	52 5	0 8	51 33	48 81	20 63	39 73	31 56	16 32	12 36	40 72	54 98	1 82	4 11	27 12	23 12	47 75
13 73	2 51	67 33	7 8	19 9	63 33	23 90	21 22	14 27	48 88	61 19	45 45	15 50	4 32	22 4	54 14	69 5	62 78	57 34	5 59	16 37	49 94	55 60	18 39	26 70	11 64	31 73	39 88	32 3	28 61	17 17	0 61	44 54	41 61	42 23	8 28	1 83	34 95	36 37	58 48	53 1	3 13	10 67	60 11	46 53	35 24	51 88	50 54	38 62	56 1	33 23	66 23	6 65	9 39	65 53	64 32	12 50	25 39	52 43	43 68	30 63	47 24	20 90	24 48	68 33	29 97	27 66	59 94	40 31	37 25
24 82	40 37	23 24	10 4	31 36	67 29	13 67	51 7	50 34	53 47	33 74	48 88	36 56	22 17	47 97	49 95	21 90	18 53	25 79	61 39	7 27	46 3	28 89	30 12	20 44	0 40	66 35	45 89	3 45	39 44	68 31	14 74	32 62	56 39	11 5	37 60	63 71	9 90	1 5	58 1	6 1	60 59	62 89	57 65	34 29	35 31	27 84	17 98	29 7	38 42	2 6	54 9	8 67	26 19	69 33	44 62	64 19	4 93	52 3	42 89	12 24	43 17	19 60	15 10	59 34	41 5	16 14	5 5	65 99	55 48
45 2	16 57	13 90	1 52	57 12	25 59	53 87	7 29	59 82	36 20	67 8	19 77	48 17	11 69	15 41	26 89	66 90	14 4	34 45	20 93	40 84	18 42	22 23	51 98	21 9	68 9	0 84	5 2	64 80	50 60	63 89	4 12	17 3	54 99	9 76	12 23	39 78	6 61	37 20	62 16	65 8	56 3	61 5	55 34	44 64	23 33	42 23	35 90	32 7	43 14	58 93	60 71	30 27	29 3	49 14	31 53	2 19	8 31	46 52	47 83	24 15	3 37	41 68	52 19	38 26	28 75	10 88	69 12	27 87	33 80
51 46	44 41	9 13	26 21	52 28	50 49	62 29	30 96	19 56	32 97	25 2	21 55	10 17	34 81	2 22	53 48	6 29	38 90	47 65	31 7	56 31	57 48	68 69	49 11	16 79	4 88	15 10	29 54	1 82	64 57	35 47	37 84	67 76	8 60	60 30	36 27	69 27	39 13	20 99	0 74	13 22	7 50	14 80	11 56	54 32	28 65	40 87	45 57	63 28	59 21	48 29	27 46	43 63	5 92	46 77	61 57	12 1	24 42	55 74	41 44	58 18	3 40	66 96	22 48	42 96	23 15	65 79	18 98	33 27	17 99
34 54	65 67	6 35	16 52	69 8	36 8	33 75	5 89	56 48	0 63	20 71	61 40	50 61	63 43	52 69	7 57	62 1	21 68	43 24	38 26	60 62	37 67	22 29	11 9	19 31	13 36	53 70	44 62	28 36	46 67	49 34	66 84	9 43	14 16	47 88	17 15	12 29	68 36	67 45	48 66	26 90	1 68	31 38	18 31	2 28	51 8	27 42	41 53	59 10	64 15	55 35	29 87	54 50	35 57	40 41	39 85	10 60	32 26	3 90	8 97	42 34	4 4	30 55	23 10	58 58	57 55	24 47	15 24	25 47	45 85
42 85	3 36	46 87	1 54	69 94	45 91	35 71	38 35	8 14	24 81	41 90	23 17	61 6	53 16	5 4	6 64	66 43	30 82	64 80	67 1	7 60	19 74	58 6	55 20	9 63	60 27	25 12	37 35	56 79	40 99	47 16	28 83	65 55	33 46	4 86	12 29	10 90	59 88	49 35	18 10	57 86	32 15	43 91	22 71	39 99	48 82	26 43	15 50	44 86	16 44	2 25	13 87	21 98	14 8	17 55	54 80	29 42	31 63	63 68	51 84	0 95	34 42	36 34	27 37	11 83	52 63	20 95	68 63	62 86	50 93
