90	10
8 107	1 65	7 142	4 86	2 102	5 185	6 2	0 170	3 87	9 11
1 40	7 96	4 184	8 34	5 34	3 38	9 142	6 128	0 142	2 92
5 143	1 113	6 37	8 10	2 184	3 92	9 34	7 90	4 51	0 50
0 116	7 91	4 104	6 199	1 85	9 33	3 137	8 157	5 166	2 80
5 165	3 37	8 27	7 122	6 139	2 110	1 73	9 106	4 131	0 127
3 68	2 108	4 171	8 25	0 102	6 86	9 81	7 78	1 70	5 149
2 101	3 131	7 164	5 70	4 144	0 149	6 161	9 149	1 142	8 170
0 91	6 23	1 29	8 187	4 192	2 17	5 189	9 5	7 188	3 19
6 161	4 98	3 52	5 28	7 12	9 7	1 184	0 102	2 92	8 137
1 25	3 40	6 19	0 165	7 44	4 26	2 16	9 138	5 162	8 8
3 186	6 21	4 38	9 33	0 104	2 147	8 154	5 140	7 65	1 158
5 105	2 194	7 134	3 79	1 178	8 6	6 74	9 5	4 44	0 90
7 111	9 174	8 190	6 124	5 14	4 53	2 104	1 83	3 180	0 21
2 154	0 33	9 158	7 194	6 74	3 131	1 143	5 153	4 110	8 115
1 123	9 114	6 38	5 161	8 47	3 150	0 10	2 158	4 167	7 135
3 79	8 99	2 88	4 34	1 194	9 120	7 86	5 98	6 91	0 192
0 33	5 173	2 184	1 50	4 167	9 7	7 50	6 157	3 30	8 185
6 175	3 142	4 113	9 129	1 59	5 109	7 11	2 118	0 72	8 180
1 148	8 134	4 72	9 61	3 60	2 187	6 169	0 5	5 24	7 196
0 72	4 88	6 77	1 59	7 122	2 197	8 132	5 187	9 39	3 143
0 198	1 150	9 191	5 43	6 198	8 169	3 65	7 76	4 8	2 13
5 145	9 120	8 165	2 90	4 72	7 92	0 49	6 108	3 102	1 195
4 23	3 8	6 150	0 52	1 125	7 40	8 175	5 126	2 77	9 17
0 25	6 51	4 36	3 46	8 179	1 128	7 122	2 20	9 50	5 68
5 192	9 64	7 119	3 48	4 31	6 44	0 35	1 25	2 171	8 113
9 123	6 163	8 193	2 187	1 120	7 136	0 134	4 52	3 99	5 93
3 20	7 192	8 48	0 108	2 101	1 35	4 200	6 112	9 118	5 90
2 185	8 137	3 145	5 43	6 114	0 132	7 18	4 111	1 175	9 150
3 104	0 50	1 104	9 114	7 30	4 114	2 168	8 145	6 182	5 49
2 72	1 194	7 91	0 128	9 126	5 200	4 49	6 75	8 186	3 43
9 18	7 66	4 169	1 72	0 38	6 176	2 164	5 186	8 171	3 111
2 16	0 142	8 196	7 181	3 38	6 79	4 85	5 65	1 63	9 83
4 34	0 149	6 167	2 171	3 58	8 142	7 52	9 21	5 171	1 118
7 90	4 106	3 16	1 81	8 53	2 144	6 74	0 142	5 54	9 162
5 8	4 198	1 150	3 122	7 20	8 145	6 37	9 192	0 53	2 122
0 196	9 19	7 85	1 195	3 77	4 62	6 50	8 18	2 58	5 152
7 116	5 121	2 40	0 69	8 77	6 49	1 174	3 176	4 83	9 156
1 98	0 36	3 6	5 161	2 90	7 177	9 146	6 195	4 187	8 43
2 43	7 100	4 152	9 167	3 92	0 3	5 52	8 168	6 95	1 130
6 35	0 90	4 18	1 47	3 175	9 6	8 159	5 69	2 126	7 199
1 77	0 22	3 160	9 158	5 140	6 12	2 97	7 187	8 132	4 189
9 133	3 180	6 57	8 46	0 147	4 11	7 68	2 91	5 14	1 17
8 151	1 6	7 141	3 24	4 175	6 117	2 67	5 40	9 191	0 124
7 104	9 70	3 28	2 75	6 123	5 129	4 50	0 25	8 149	1 148
4 118	6 155	0 152	7 85	5 78	2 52	3 57	9 59	8 57	1 95
5 35	2 178	0 128	7 186	4 177	8 99	1 29	9 195	6 177	3 193
0 107	1 179	6 124	4 6	5 163	7 197	3 98	2 152	8 43	9 129
8 59	9 182	5 12	3 6	2 6	6 74	4 191	1 64	0 150	7 104
0 135	5 184	9 192	1 197	7 151	4 117	3 144	6 125	2 34	8 85
9 177	7 112	2 19	4 182	6 197	0 62	8 133	3 28	1 33	5 22
1 34	3 51	5 38	0 190	4 76	9 190	6 97	7 10	8 53	2 16
7 80	3 94	1 10	8 155	9 88	4 6	5 166	6 124	0 65	2 190
4 111	0 167	7 45	2 108	6 200	3 91	9 69	8 86	1 189	5 5
5 96	8 52	1 72	7 59	3 136	6 176	9 107	0 171	4 142	2 57
6 79	1 164	0 80	2 120	3 15	7 71	8 35	4 125	5 33	9 95
4 119	2 167	7 158	1 188	5 47	3 50	8 72	9 43	6 82	0 155
9 24	0 80	2 195	7 173	8 190	5 60	4 78	6 2	3 65	1 112
7 101	5 189	6 194	8 66	2 41	9 42	4 69	1 61	3 72	0 101
7 34	3 199	4 177	2 139	1 170	6 184	5 137	9 157	8 11	0 89
5 37	1 187	3 36	0 162	6 53	8 127	7 54	9 132	4 129	2 40
1 170	0 143	6 133	2 3	8 11	3 40	4 38	7 79	5 13	9 111
8 56	6 110	1 47	7 52	9 188	5 78	0 75	2 68	3 162	4 116
1 113	3 38	7 88	4 134	0 128	6 181	2 150	8 168	9 7	5 114
0 173	6 51	4 22	9 149	7 182	2 107	3 25	1 137	8 82	5 9
7 80	3 136	8 140	0 133	9 90	1 62	4 29	5 165	2 47	6 99
9 3	1 133	5 1	2 186	3 139	7 92	4 135	8 72	0 193	6 10
9 51	3 95	8 24	0 137	4 49	1 41	5 49	6 67	7 77	2 102
2 185	1 184	4 199	7 187	3 37	8 47	9 52	0 101	6 109	5 12
6 180	2 162	4 62	1 90	0 127	8 156	7 146	9 177	3 17	5 184
4 60	8 89	7 48	2 114	1 130	6 159	0 131	5 20	9 32	3 111
8 55	9 87	2 159	7 165	6 127	0 97	3 100	4 135	5 104	1 37
8 24	6 152	1 151	0 13	5 170	3 133	7 120	9 140	2 69	4 93
2 200	6 45	7 144	0 37	5 49	9 87	8 41	3 188	4 91	1 43
5 195	4 134	3 186	9 119	0 37	1 197	7 34	2 27	8 78	6 150
6 157	1 40	5 71	7 51	8 128	4 159	9 8	0 144	3 123	2 80
0 16	3 34	2 156	9 76	5 35	6 102	4 127	8 99	7 59	1 178
2 14	9 171	0 131	1 197	6 60	5 114	7 106	3 118	8 85	4 178
8 117	1 53	0 83	5 85	4 145	6 47	7 121	2 56	9 50	3 121
8 103	7 83	9 105	1 92	0 165	5 97	3 87	2 26	4 150	6 11
9 126	3 157	0 55	4 26	6 142	5 26	2 86	1 41	7 97	8 125
1 135	7 182	0 106	8 8	3 14	6 78	9 18	5 56	2 94	4 77
9 122	5 2	0 175	8 113	6 156	2 112	3 44	1 9	4 83	7 180
9 164	0 141	5 12	3 151	6 74	8 155	4 72	7 10	1 61	2 10
2 51	1 73	0 67	4 171	9 191	7 79	6 67	8 36	3 146	5 87
6 43	5 151	4 169	3 131	2 182	8 55	1 157	0 83	7 111	9 4
