50	5
3 32	4 166	1 199	2 128	0 65
0 52	1 66	2 83	3 25	4 18
3 139	1 42	2 126	4 140	0 64
1 52	3 47	2 85	4 27	0 166
1 11	2 92	3 143	0 1	4 149
3 33	0 67	2 175	1 102	4 28
1 102	3 175	0 4	4 161	2 158
3 58	4 137	2 159	1 65	0 112
4 109	3 173	0 86	2 80	1 105
2 41	1 80	4 9	0 125	3 18
3 77	0 73	4 189	2 32	1 199
2 105	3 123	4 43	0 32	1 27
2 181	4 198	1 13	0 115	3 26
4 194	2 139	1 65	3 142	0 161
3 185	0 113	2 169	4 6	1 26
4 5	1 171	3 102	0 151	2 142
2 118	3 162	4 188	1 16	0 57
3 178	2 9	0 116	1 70	4 35
4 39	2 37	0 17	1 178	3 40
1 8	2 69	3 111	0 90	4 54
2 32	1 130	4 125	3 120	0 61
3 15	4 108	2 101	1 186	0 196
3 1	4 61	1 159	2 17	0 141
3 53	4 8	0 16	1 157	2 142
1 150	4 56	3 186	0 182	2 154
0 181	2 9	3 58	4 51	1 149
4 194	0 133	1 157	3 124	2 150
3 50	4 148	2 60	1 175	0 132
4 159	2 58	3 44	0 117	1 160
4 137	2 42	0 115	3 2	1 31
1 69	2 50	4 120	3 167	0 19
0 114	2 38	4 109	3 82	1 120
3 199	1 41	4 187	2 124	0 124
2 112	1 68	4 86	0 31	3 58
1 163	2 29	3 198	0 121	4 24
1 76	0 28	2 88	3 115	4 1
3 73	1 173	4 187	0 137	2 93
1 170	2 162	4 169	0 141	3 97
4 75	3 198	1 60	2 17	0 120
1 147	0 171	4 74	3 126	2 39
4 188	1 193	2 116	0 158	3 107
1 33	3 148	2 109	0 18	4 132
3 105	4 27	1 65	0 51	2 139
3 93	0 168	1 22	2 70	4 72
2 38	0 78	4 178	3 102	1 186
2 127	4 57	3 90	0 108	1 92
4 109	0 165	1 93	2 155	3 121
1 111	4 150	0 102	3 97	2 94
3 114	4 122	1 137	0 89	2 122
0 91	1 40	3 43	4 152	2 28
