50	70
52 63	36 94	65 43	54 52	5 28	16 45	44 71	3 48	55 53	11 24	1 33	66 89	7 12	47 60	26 13	30 77	63 22	28 21	25 64	69 74	59 40	53 66	41 14	49 66	13 81	22 43	58 25	40 57	42 49	8 82	17 48	68 57	35 23	60 57	34 97	10 77	39 13	37 75	62 43	21 48	61 61	57 67	48 57	14 96	9 97	27 64	38 7	2 73	23 62	29 19	43 95	51 17	12 33	64 73	45 93	46 52	67 88	20 52	15 52	31 69	18 20	6 8	4 47	50 11	56 16	33 51	0 80	32 38	24 68	19 5
3 32	12 44	4 10	69 9	28 56	19 18	45 10	9 49	2 73	41 23	65 16	52 58	47 13	35 44	40 28	43 50	16 5	63 15	34 71	15 86	62 32	58 50	10 62	0 28	25 91	26 63	21 17	33 30	14 73	44 36	64 84	54 73	61 6	32 28	51 43	66 73	42 91	49 84	68 40	20 79	53 25	18 4	31 20	11 5	59 75	23 50	6 81	67 73	13 27	38 25	17 73	24 5	22 18	60 79	56 86	46 61	50 26	36 45	55 88	39 2	8 66	7 83	27 95	48 3	57 22	37 12	30 12	1 57	29 29	5 34
53 93	52 40	12 59	9 47	51 2	54 78	39 77	50 31	13 90	4 63	55 29	5 84	47 4	11 79	41 27	10 89	48 18	24 29	8 23	67 27	63 21	59 19	21 40	49 25	61 65	60 63	7 91	45 1	64 11	16 76	46 76	26 57	28 73	40 18	14 44	33 10	44 6	65 98	68 39	23 60	43 5	0 66	34 43	18 35	66 11	37 52	57 62	31 67	56 15	15 26	58 30	22 14	19 30	27 8	17 73	42 46	20 52	29 39	2 8	36 65	30 17	25 65	38 43	6 60	62 79	3 51	35 86	1 14	69 66	32 1
55 71	22 40	58 47	32 88	27 69	40 86	65 42	42 68	48 9	56 77	31 1	14 83	43 86	35 6	25 91	20 54	63 53	8 66	57 27	69 84	4 55	7 13	59 66	28 37	12 62	61 79	1 36	46 26	44 28	19 34	36 52	18 68	5 80	15 70	0 81	11 8	38 78	16 23	68 16	45 32	52 64	3 55	10 40	30 92	54 30	2 96	33 14	6 83	39 45	37 75	62 82	50 1	34 43	47 21	67 77	49 82	21 46	26 62	66 47	29 36	23 77	51 46	17 19	53 95	13 97	64 54	60 10	9 82	41 88	24 49
25 27	28 93	27 8	42 27	12 34	4 16	65 43	33 74	48 13	39 22	54 56	31 23	17 12	23 2	8 51	15 64	57 58	3 29	59 67	46 28	34 12	61 62	11 20	41 86	30 53	67 89	18 37	49 38	63 19	19 86	43 5	2 81	50 94	62 76	32 49	44 57	64 29	14 89	36 63	40 55	58 12	22 63	53 4	38 84	5 62	45 77	35 98	60 46	10 97	7 10	66 75	56 67	16 77	55 81	47 7	29 40	51 92	26 37	24 45	37 53	20 33	0 71	69 5	68 90	13 91	6 14	1 22	21 17	9 98	52 55
55 96	28 26	20 58	58 80	18 93	54 16	23 97	21 20	47 7	69 7	14 2	43 95	8 36	9 61	17 17	32 89	67 12	64 24	5 53	50 11	13 17	33 98	53 78	48 83	4 28	2 6	7 72	34 32	6 98	11 22	60 17	42 43	35 95	65 1	37 15	68 3	10 24	12 38	62 97	39 38	49 6	19 57	52 23	51 27	59 98	22 80	57 5	38 29	24 19	30 36	31 21	44 16	61 40	26 15	1 6	29 70	25 81	27 13	3 43	56 8	16 13	66 60	46 9	45 29	36 58	63 98	41 75	0 43	15 34	40 88
35 1	44 47	6 98	42 46	31 40	8 45	60 2	50 69	16 39	66 26	0 32	34 65	13 48	51 41	26 83	9 28	48 55	53 56	43 84	38 89	21 49	1 68	3 4	57 3	36 99	68 52	63 88	28 19	7 47	33 2	22 35	23 36	47 51	19 38	5 75	65 29	67 27	40 24	41 92	18 36	61 21	45 97	12 76	62 56	56 28	32 41	37 71	2 90	69 4	59 91	27 46	25 15	14 26	52 60	58 50	20 34	30 17	39 54	4 90	46 26	55 33	64 59	11 43	17 65	10 94	29 47	15 13	54 38	24 80	49 25
49 74	6 86	2 6	63 25	41 65	10 44	69 61	37 2	12 24	40 32	20 63	55 66	60 23	28 82	9 35	56 9	52 87	15 10	38 63	27 14	25 86	58 90	11 64	23 97	59 62	14 76	4 68	46 73	3 42	61 37	34 47	8 35	43 7	65 19	0 62	57 35	22 45	33 64	66 34	51 8	31 58	62 26	18 38	67 76	32 57	17 75	47 9	39 25	35 34	30 33	44 85	21 21	1 92	68 71	19 42	16 97	29 67	26 2	48 96	42 44	13 77	50 83	7 57	5 3	36 82	53 93	24 99	54 45	45 21	64 2
46 26	45 55	64 76	23 5	4 72	8 30	66 17	34 39	51 61	33 95	55 10	27 75	41 59	67 33	2 1	1 69	56 53	58 67	36 49	7 24	69 76	63 1	37 59	21 88	11 76	57 52	54 16	61 55	52 67	24 41	44 74	12 1	3 88	20 41	59 44	43 90	14 80	47 77	5 17	35 79	39 88	65 76	10 29	25 48	16 10	38 77	49 2	42 67	15 38	22 13	32 79	48 44	19 98	60 17	0 37	18 21	40 66	6 2	31 81	29 62	30 38	26 25	17 27	9 39	50 97	68 11	13 44	62 80	53 53	28 22
11 22	12 52	25 3	6 41	64 6	46 4	19 81	16 95	20 79	57 73	31 88	22 41	3 19	29 59	62 75	63 17	13 80	58 91	45 99	33 98	41 5	28 3	44 37	23 57	54 38	55 48	37 18	38 1	27 83	2 72	10 68	5 36	59 60	48 22	49 60	68 85	47 80	43 19	66 79	40 28	24 8	17 25	15 43	61 18	21 84	51 82	7 11	39 56	36 14	42 97	52 36	56 60	14 81	34 83	65 41	50 67	8 98	53 28	9 23	69 23	35 80	4 49	18 69	26 14	32 23	0 11	1 98	67 7	60 85	30 88
44 69	19 38	8 4	31 45	16 82	54 66	65 23	42 51	38 26	61 46	41 18	57 69	37 73	58 22	14 35	1 89	5 66	66 53	55 24	26 84	4 76	23 38	46 86	24 23	20 69	22 12	18 90	7 23	6 9	45 58	35 26	36 13	68 11	25 23	12 33	13 29	51 47	62 9	43 48	60 21	33 79	9 36	39 64	34 55	47 68	27 28	52 22	10 29	64 96	11 84	53 26	59 2	3 36	56 57	15 15	48 46	50 36	29 65	28 80	2 60	63 11	21 52	67 39	30 68	40 3	32 97	49 59	17 11	0 51	69 80
40 29	44 37	36 55	50 57	57 59	54 31	37 29	58 22	66 76	30 43	51 76	43 44	41 48	19 41	2 33	24 90	0 46	20 34	25 30	3 46	6 61	60 65	1 40	15 76	23 44	32 50	31 78	14 86	45 22	9 33	8 42	28 49	29 32	52 45	34 74	59 40	62 59	33 4	22 13	49 87	35 80	38 36	39 16	17 41	4 56	42 92	46 85	67 13	55 52	11 19	68 90	12 63	27 34	16 72	65 14	18 96	53 40	26 48	61 82	7 92	21 38	56 49	64 5	10 65	48 67	69 21	47 9	13 41	63 20	5 96
62 1	60 44	23 39	9 76	10 86	3 72	47 80	22 58	58 22	37 40	32 80	11 94	51 84	1 87	24 85	7 27	17 44	54 46	30 6	14 66	25 84	12 29	31 65	16 41	69 41	42 76	27 11	64 57	68 13	41 3	33 20	36 59	48 44	34 82	46 97	18 14	29 74	21 37	39 25	8 84	38 57	26 32	44 6	56 61	15 49	49 42	67 74	35 99	52 40	65 47	53 62	63 86	43 90	66 81	50 46	20 45	28 75	61 54	2 59	6 68	5 15	4 60	55 45	57 2	59 36	45 10	13 64	40 62	0 76	19 18
38 80	35 31	6 62	28 50	39 56	26 99	32 61	0 49	66 23	24 64	33 1	60 3	17 41	40 63	68 5	57 18	61 63	46 82	48 51	58 17	2 55	56 42	50 24	49 27	8 94	21 91	59 99	25 48	62 99	16 2	27 3	47 88	10 43	42 55	69 75	45 87	41 8	1 85	19 57	20 48	67 60	11 68	52 79	36 47	23 19	37 51	22 15	15 21	65 66	53 2	7 14	44 63	55 93	51 84	64 16	9 23	5 27	18 54	14 30	63 79	12 59	54 51	31 31	13 68	43 96	34 7	30 80	29 56	4 4	3 31
66 49	64 1	32 7	36 93	8 83	35 73	34 92	9 41	65 10	44 80	67 97	18 62	42 31	26 12	22 89	37 45	48 78	2 56	20 56	51 14	0 9	17 79	33 36	60 36	45 57	28 52	38 66	50 6	59 65	52 98	3 41	24 95	19 12	5 13	23 56	69 37	68 20	54 48	39 87	15 67	56 69	14 60	10 12	6 1	53 47	31 76	63 69	61 28	41 57	1 32	62 89	7 45	47 58	40 22	13 40	27 70	21 82	29 46	30 98	58 80	46 59	4 40	55 93	11 82	49 31	57 14	25 14	12 35	43 79	16 28
59 45	2 3	18 71	49 24	23 5	63 90	21 76	62 22	69 38	37 79	55 1	25 43	27 23	66 75	7 38	67 74	53 34	33 67	51 19	57 75	39 68	16 76	38 52	32 33	34 4	22 7	64 32	60 54	41 40	40 78	31 93	44 29	8 43	24 69	3 79	15 52	56 66	30 93	47 90	54 62	17 56	45 43	13 10	52 6	12 91	58 57	9 30	35 30	10 67	50 82	6 56	36 69	5 8	4 56	28 47	65 68	46 99	48 33	29 16	68 49	61 91	0 46	20 68	14 87	19 96	26 19	1 75	43 97	11 55	42 13
39 77	50 19	2 74	36 10	48 73	57 85	56 73	6 36	52 99	13 76	1 65	58 53	25 90	60 83	43 36	63 98	47 83	54 79	10 46	41 83	8 72	14 38	29 72	15 57	12 21	7 20	33 31	17 87	31 18	34 69	35 84	69 74	40 47	61 80	62 89	27 28	5 45	59 26	20 62	3 92	23 94	67 34	44 91	22 1	4 34	38 95	68 71	16 58	37 22	32 29	46 27	18 77	55 61	11 10	42 3	45 71	51 96	65 76	24 84	21 18	53 65	0 18	19 47	26 62	66 58	64 88	30 63	28 10	49 35	9 60
