20	5
4 92	3 106	0 137	2 100	1 81
4 59	2 39	0 183	3 197	1 161
2 105	3 65	4 180	0 148	1 149
0 129	1 3	3 187	2 121	4 24
4 187	1 76	3 38	0 22	2 50
1 110	0 146	2 16	4 162	3 92
2 153	3 104	1 131	0 79	4 71
2 90	1 3	0 61	4 120	3 35
3 159	2 30	0 188	1 58	4 110
2 177	4 20	0 183	1 157	3 3
3 109	1 61	0 71	4 98	2 97
1 113	3 172	2 124	0 83	4 109
3 38	2 145	0 197	4 30	1 119
3 36	0 31	2 71	1 2	4 150
1 182	3 114	0 24	2 103	4 89
0 178	3 8	2 23	4 5	1 134
2 4	0 70	1 115	3 35	4 158
1 26	3 194	0 55	2 36	4 159
4 58	1 73	0 6	2 126	3 169
4 27	3 29	2 64	0 165	1 114
