15	10
2 101	4 124	1 140	9 39	0 63	7 146	8 82	3 79	5 25	6 183
6 61	2 139	3 12	9 123	1 113	0 162	8 117	5 38	4 158	7 44
3 105	2 85	7 154	6 56	9 108	4 170	0 19	8 15	1 87	5 99
0 31	1 69	8 119	9 73	5 173	6 36	3 72	2 90	4 183	7 97
3 89	8 30	7 81	6 176	1 115	0 89	5 51	2 8	9 39	4 174
9 6	1 4	6 76	7 20	4 77	0 40	2 174	5 137	3 141	8 200
6 68	5 70	4 67	1 140	2 145	0 138	9 156	8 47	3 112	7 13
3 30	9 20	7 126	8 108	4 76	2 199	6 45	5 57	0 133	1 105
0 160	9 97	1 54	5 136	8 10	7 137	6 4	3 117	2 30	4 77
9 188	5 104	7 185	6 19	8 173	1 98	4 133	0 160	3 122	2 18
3 12	9 166	6 144	1 84	7 70	4 125	2 32	0 47	5 134	8 146
9 195	5 9	2 44	8 41	7 25	3 53	6 39	4 149	0 169	1 21
0 29	6 42	2 66	9 51	3 98	4 38	8 7	1 181	5 200	7 137
1 102	0 42	8 194	2 190	3 21	7 56	5 22	9 111	6 140	4 80
9 166	5 86	1 108	6 163	7 55	0 30	8 116	2 165	3 131	4 120
