20	15
9 173	1 119	5 56	10 17	12 72	0 141	8 141	14 141	3 166	7 12	2 155	11 42	4 157	13 148	6 58
7 83	5 117	9 36	2 18	3 193	4 4	11 72	14 152	8 133	10 137	1 86	12 125	0 139	13 113	6 128
9 49	11 185	0 106	8 178	14 84	10 200	13 177	6 169	4 181	7 24	1 52	5 189	3 200	12 83	2 91
1 102	12 163	10 53	11 100	13 11	9 160	2 68	0 13	6 190	8 175	7 199	3 182	14 19	4 156	5 108
5 60	7 55	0 138	14 109	12 174	8 127	9 80	10 128	6 120	2 27	13 42	1 89	11 132	3 140	4 124
2 146	6 153	12 195	14 155	1 87	0 88	7 130	8 186	3 48	9 13	4 119	11 44	5 36	13 128	10 90
6 5	1 151	0 26	8 54	12 5	5 26	10 181	2 39	9 98	11 148	13 173	4 97	7 147	3 165	14 129
4 154	12 120	7 40	0 23	14 108	3 109	11 75	13 191	9 97	5 56	10 28	8 35	6 88	1 62	2 198
12 15	2 51	14 46	9 126	0 154	4 59	10 50	6 35	8 199	7 118	11 200	1 74	5 116	3 105	13 32
5 146	10 185	0 5	13 88	14 29	4 51	1 51	8 54	9 111	12 93	11 17	2 24	7 102	3 36	6 135
11 96	14 150	13 187	9 98	2 57	8 64	0 33	4 107	6 181	12 140	3 78	1 161	5 111	7 175	10 46
9 41	8 47	5 23	4 43	13 129	10 27	0 41	3 184	14 186	1 19	12 121	11 127	7 61	2 189	6 25
6 29	13 15	11 87	8 60	2 119	3 186	4 67	1 139	14 26	7 187	0 91	12 37	9 2	5 127	10 130
10 61	1 200	3 81	9 23	7 173	2 131	12 129	0 104	8 122	6 37	5 62	4 170	13 136	14 64	11 48
3 119	12 166	0 127	9 23	13 108	10 7	5 68	4 27	6 152	8 102	14 17	7 67	11 152	1 23	2 18
9 20	1 146	4 106	7 146	6 172	11 40	0 95	3 70	5 24	2 2	12 176	10 171	13 87	8 12	14 140
3 2	5 184	10 46	7 142	12 173	0 189	11 169	13 51	6 14	8 135	9 20	1 147	2 62	4 196	14 99
7 75	11 148	6 163	4 170	5 198	2 74	9 103	8 111	10 175	12 155	1 102	14 120	0 162	3 181	13 34
11 10	4 126	3 100	10 92	8 140	2 76	5 26	6 48	14 151	0 156	12 6	7 178	13 23	1 36	9 125
1 178	7 22	9 48	14 151	2 74	11 79	0 112	10 62	3 8	6 161	13 66	4 7	5 183	8 17	12 189
