100	90
15 51	66 55	29 43	45 31	20 27	0 84	46 1	82 83	88 12	26 5	22 61	27 12	33 19	13 84	32 91	2 3	73 52	5 74	6 35	41 20	61 47	85 52	1 68	74 3	21 79	69 28	44 48	12 2	8 89	42 90	65 58	63 84	36 98	62 83	79 46	38 1	11 8	3 17	23 25	78 68	17 36	86 36	77 13	9 82	24 7	72 81	54 78	4 3	83 37	55 63	56 10	35 94	19 44	39 80	75 48	52 8	87 27	81 2	43 1	84 70	60 27	80 51	49 14	16 39	28 91	89 6	76 26	71 3	51 28	31 29	70 9	25 71	10 45	57 36	14 46	68 74	48 64	40 56	58 76	53 70	47 24	34 70	59 18	67 83	64 13	37 94	18 58	50 64	30 91	7 74
19 38	3 33	54 63	12 33	7 69	31 72	58 1	47 24	24 75	16 55	66 62	30 35	4 78	65 26	59 18	25 14	34 80	63 50	68 40	21 60	9 49	56 47	62 8	51 39	10 91	35 4	44 47	84 21	73 66	37 71	85 5	36 92	42 92	70 25	8 6	72 41	50 42	29 5	46 14	39 81	40 5	23 94	83 1	22 49	11 44	71 4	27 71	75 19	38 69	43 80	20 30	87 53	2 14	28 24	79 4	81 47	74 26	33 84	88 61	1 27	5 79	82 79	76 98	18 70	89 46	61 89	26 36	15 30	0 8	49 35	86 59	14 62	41 47	67 96	6 26	13 93	53 34	78 48	45 13	60 91	52 55	55 15	57 86	69 72	32 57	80 11	77 59	64 25	48 99	17 68
22 68	24 98	69 68	33 94	63 40	54 80	77 47	51 31	85 78	64 81	23 7	36 8	17 20	84 42	49 74	87 76	20 63	60 53	48 93	16 34	65 61	45 96	57 3	43 22	25 64	12 94	26 31	21 95	66 5	53 40	6 90	35 11	67 71	30 98	75 60	59 66	2 26	52 68	9 44	18 1	78 42	82 73	80 2	28 35	3 92	42 65	50 81	13 49	47 8	40 35	34 27	70 38	31 81	4 74	72 52	79 39	29 39	41 18	7 1	10 95	5 82	1 59	58 49	32 32	27 96	44 69	86 87	15 47	62 9	14 7	39 8	55 36	8 10	88 35	83 50	19 14	89 71	81 87	11 99	37 72	38 68	73 64	0 38	76 21	46 78	71 31	56 80	68 87	61 29	74 1
79 82	75 32	19 46	8 10	34 34	15 10	2 48	57 67	70 40	32 11	21 24	87 95	40 65	7 15	89 41	9 12	49 69	0 88	76 47	42 51	66 43	44 58	69 11	72 89	60 96	82 78	37 73	54 91	68 99	29 1	65 25	18 69	84 40	17 1	47 72	88 53	10 55	28 34	26 45	33 90	78 96	62 46	12 90	25 44	20 21	36 95	85 20	38 29	48 85	30 2	67 72	86 77	6 54	43 28	27 46	58 53	46 43	77 14	14 25	83 84	73 64	23 20	52 18	11 58	1 27	59 29	24 21	5 46	35 21	16 51	4 47	13 66	80 15	41 80	31 67	22 4	53 59	64 18	74 6	61 64	55 55	71 21	3 20	45 33	63 25	81 34	39 79	50 42	56 7	51 40
40 65	44 13	6 15	35 46	55 2	2 15	13 76	62 1	15 51	7 96	76 93	84 29	3 7	71 11	65 10	54 27	0 3	34 35	52 60	51 15	43 43	12 42	27 43	80 34	29 58	49 74	20 21	81 70	23 70	87 56	69 36	31 8	21 55	82 73	89 54	36 24	88 15	41 52	67 82	45 23	85 31	1 55	86 5	46 3	60 59	39 73	11 14	4 14	24 54	14 31	74 53	48 18	50 66	72 6	28 16	79 67	59 92	18 24	17 84	57 76	47 96	83 83	78 24	77 66	66 49	25 36	42 61	8 28	22 59	68 48	37 39	64 36	38 52	5 15	53 65	19 93	33 25	10 21	75 8	30 28	63 37	58 99	56 48	26 45	70 9	9 63	32 74	61 38	16 81	73 45
61 53	46 35	18 90	85 44	30 97	16 30	59 53	45 81	63 57	24 50	19 26	43 97	20 4	8 27	80 99	23 13	33 44	81 99	44 87	39 76	1 79	89 55	70 7	56 44	76 35	13 7	14 16	41 48	68 35	53 84	35 34	26 62	3 53	29 46	37 42	12 12	2 42	9 37	74 19	83 68	77 75	51 93	55 83	78 2	32 53	36 17	49 65	72 99	84 84	6 13	82 61	25 40	58 56	0 38	47 38	31 85	66 51	57 98	21 82	28 49	67 96	75 33	62 26	17 20	86 41	54 26	4 33	34 74	40 13	22 56	88 50	48 65	65 86	60 14	87 24	27 57	79 30	7 44	15 16	73 37	52 50	38 38	5 83	64 24	10 44	71 68	11 31	42 67	50 81	69 5
33 68	85 71	77 1	1 69	82 20	63 9	74 64	4 60	32 79	83 36	54 45	50 37	67 31	9 78	34 48	7 35	30 36	26 61	6 52	72 91	14 60	29 40	84 19	22 36	16 45	37 39	28 30	86 37	41 96	2 41	11 66	56 39	80 74	68 25	46 82	60 55	19 48	18 93	49 75	35 82	66 33	48 41	20 35	45 44	17 46	58 14	71 16	53 8	36 16	62 68	76 56	70 30	25 26	31 57	57 68	47 9	24 78	52 17	51 55	13 60	42 26	3 76	43 86	8 52	73 14	69 40	27 11	39 26	78 56	38 37	61 42	88 15	12 94	59 45	64 98	5 6	79 77	65 10	81 82	87 95	23 98	40 5	10 65	21 20	44 55	0 38	15 72	75 81	89 45	55 53
66 53	15 81	70 43	10 58	9 4	2 21	65 4	87 9	23 95	28 60	6 5	71 88	18 86	88 91	77 12	61 45	45 13	55 95	58 95	37 50	32 81	74 93	51 67	44 63	78 79	68 99	76 79	3 35	4 93	33 52	63 41	73 39	5 94	12 39	54 25	30 65	41 75	38 5	79 1	25 93	22 41	1 49	75 81	86 82	24 15	7 81	59 92	46 21	14 60	8 71	53 43	19 52	69 6	20 73	56 2	85 70	13 27	64 35	36 38	48 26	35 69	21 53	62 99	42 70	89 73	34 26	67 5	29 61	27 46	52 71	31 21	60 82	39 44	0 83	11 26	72 14	40 53	49 87	83 17	43 7	47 51	17 18	81 27	84 88	16 62	57 83	26 18	50 46	82 73	80 51
9 53	63 10	11 99	7 26	21 78	23 36	34 14	87 48	0 63	62 9	17 90	86 11	74 91	47 70	10 30	5 9	44 91	40 95	13 39	29 23	1 88	68 99	58 76	25 14	20 99	30 39	16 32	57 53	61 87	14 6	24 91	3 36	76 49	67 82	89 58	27 84	42 12	19 9	51 47	64 4	43 42	85 89	65 95	8 22	32 77	2 77	52 93	59 74	6 9	53 55	83 56	28 79	39 94	41 34	37 60	26 12	66 96	22 14	88 84	73 49	77 41	31 73	78 99	46 69	33 48	12 19	60 86	38 17	71 18	15 22	48 64	75 58	4 65	69 12	82 58	54 36	55 33	45 75	35 6	81 6	70 18	56 18	49 31	50 24	18 91	72 59	36 66	84 83	80 25	79 31
84 49	26 50	62 31	10 88	75 91	33 99	82 97	63 85	38 89	30 47	50 54	86 5	2 14	41 6	6 52	36 24	87 12	66 43	14 25	70 48	9 90	40 63	23 15	89 27	34 80	45 73	58 57	78 32	39 64	61 5	16 52	68 22	24 94	0 55	83 78	29 72	19 86	18 26	11 79	65 65	21 92	1 97	53 68	20 57	13 13	54 63	77 42	3 81	4 86	80 31	46 70	55 73	59 37	25 21	69 43	79 8	47 43	42 55	67 31	12 51	15 19	7 72	56 53	64 78	52 51	27 60	51 71	37 65	49 25	48 42	44 68	60 31	76 22	31 97	72 42	43 88	35 91	74 46	85 14	28 58	22 35	5 44	17 77	73 61	57 54	8 79	81 86	88 68	32 66	71 45
8 89	60 18	42 11	13 56	45 24	44 83	7 70	39 80	82 43	89 27	3 88	88 61	56 71	11 37	27 89	80 72	84 30	17 45	70 50	52 34	1 5	35 92	12 99	2 39	79 57	16 75	0 13	31 90	40 83	10 48	28 79	29 36	58 90	76 20	30 93	62 25	46 40	86 7	22 94	75 2	6 36	65 85	26 94	74 62	71 81	33 53	41 4	73 81	87 80	48 11	14 43	32 4	66 16	81 76	25 45	5 23	57 6	50 67	38 87	37 35	77 4	21 14	64 54	68 32	69 93	20 25	23 35	24 32	51 61	85 15	78 74	36 93	19 4	47 88	59 22	34 24	18 90	49 98	83 56	63 71	54 88	15 22	67 97	4 22	9 22	53 41	55 21	43 29	61 98	72 61
