70	10
2 103	4 110	1 46	9 112	0 182	7 110	8 167	3 71	5 182	6 112
6 171	2 193	3 157	9 103	1 186	0 95	8 87	5 133	4 71	7 195
3 133	2 102	7 17	6 43	9 46	4 187	0 64	8 109	1 1	5 96
0 140	1 63	8 40	9 105	5 47	6 79	3 61	2 54	4 45	7 33
3 9	8 173	7 51	6 100	1 11	0 99	5 82	2 127	9 183	4 72
9 108	1 32	6 50	7 187	4 16	0 154	2 63	5 144	3 180	8 86
6 23	5 52	4 168	1 116	2 128	0 192	9 21	8 102	3 119	7 171
3 11	9 195	7 45	8 145	4 192	2 162	6 144	5 167	0 134	1 168
0 57	9 187	1 16	5 103	8 113	7 193	6 135	3 54	2 145	4 104
9 95	5 84	7 24	6 70	8 69	1 110	4 25	0 41	3 26	2 139
3 197	9 30	6 91	1 41	7 19	4 145	2 150	0 55	5 65	8 104
9 51	5 190	2 162	8 38	7 125	3 105	6 182	4 24	0 135	1 65
0 56	6 34	2 185	9 135	3 97	4 137	8 11	1 164	5 137	7 37
1 96	0 119	8 187	2 87	3 45	7 20	5 170	9 150	6 176	4 106
9 70	5 112	1 121	6 28	7 73	0 123	8 141	2 105	3 124	4 75
9 49	4 102	0 184	8 49	5 25	3 139	2 150	1 91	6 137	7 157
9 200	5 37	6 183	4 12	1 24	7 81	2 80	8 69	3 65	0 7
1 82	9 199	2 110	7 149	4 184	8 87	0 98	3 64	6 111	5 60
4 45	1 175	5 96	8 112	9 198	6 156	7 198	2 115	0 13	3 45
5 150	8 110	3 70	1 81	7 39	9 106	4 36	0 124	2 175	6 184
8 104	3 137	7 12	6 169	0 55	9 68	4 6	1 140	5 59	2 77
0 13	4 139	8 75	5 193	9 75	6 111	1 9	7 162	2 59	3 16
1 85	8 29	6 193	4 130	5 96	9 115	3 148	2 181	0 22	7 105
4 13	7 135	1 53	0 169	5 26	2 104	3 129	8 117	6 22	9 22
2 91	8 199	9 34	7 12	1 34	5 79	3 73	4 127	6 7	0 75
7 104	9 154	8 96	3 79	2 171	1 77	6 71	5 179	0 98	4 188
0 70	4 93	3 97	2 131	5 190	6 128	7 133	1 190	9 172	8 112
7 34	3 108	5 6	9 199	6 48	1 66	2 116	8 153	4 14	0 31
2 194	5 58	3 114	9 54	7 119	1 161	8 79	0 96	6 166	4 171
1 44	6 90	3 168	9 180	4 19	2 29	8 130	0 27	5 185	7 51
2 186	9 163	4 33	3 12	6 90	8 72	0 64	1 133	5 56	7 154
3 151	7 37	5 135	6 59	2 137	4 138	8 194	1 20	9 80	0 163
9 75	4 35	6 52	0 87	1 70	7 59	5 122	3 123	2 22	8 21
3 187	9 129	5 78	2 7	6 93	0 65	1 17	8 128	7 23	4 58
8 9	6 124	4 125	9 21	3 52	7 98	0 89	1 127	2 16	5 74
5 195	9 39	0 99	4 70	8 73	6 92	1 33	7 39	2 130	3 146
7 116	6 35	8 109	1 20	0 92	9 25	3 120	2 23	4 171	5 36
2 8	0 159	1 2	5 145	3 19	8 27	4 65	9 63	7 58	6 77
0 144	3 72	5 65	4 62	2 28	9 78	8 95	1 28	6 110	7 42
4 196	5 34	3 117	8 51	6 126	9 3	1 170	7 120	0 110	2 164
8 142	3 120	7 13	4 44	1 159	5 112	9 174	0 143	2 30	6 49
3 73	6 8	5 193	7 126	4 20	1 45	9 41	0 7	2 24	8 84
1 121	6 166	8 178	0 45	2 171	3 164	7 26	5 150	9 21	4 47
7 51	0 65	2 189	5 99	1 150	6 28	4 126	9 155	8 148	3 61
9 28	2 81	3 159	7 154	0 142	5 111	8 144	4 102	1 87	6 49
1 36	8 135	0 31	4 143	5 150	9 101	2 149	3 6	7 27	6 188
1 178	5 27	7 135	0 2	6 114	9 124	4 123	2 199	8 69	3 74
1 140	3 84	5 196	2 69	9 71	4 74	6 49	8 82	7 186	0 36
