100	15
1 196	5 3	13 158	9 87	14 192	4 83	12 185	2 106	6 14	7 182	10 115	8 160	0 186	3 137	11 97
5 193	13 156	11 85	1 185	3 68	7 8	8 162	0 52	10 132	4 93	6 49	12 27	2 95	14 145	9 161
3 103	11 133	0 27	14 48	2 152	6 28	13 42	10 77	7 187	8 158	5 14	1 109	9 12	12 19	4 19
0 19	4 40	3 129	7 156	8 46	6 164	14 1	12 15	9 154	1 77	13 189	5 135	2 181	10 108	11 18
9 160	10 127	11 94	14 51	12 113	0 83	2 152	13 183	4 183	3 113	1 192	6 132	5 30	7 78	8 66
12 126	6 71	7 132	11 38	10 101	2 121	9 63	1 29	4 166	5 103	13 20	3 8	0 20	14 11	8 157
13 74	14 168	8 48	0 153	3 110	4 36	11 102	10 90	1 170	5 171	2 187	9 200	12 148	6 40	7 73
14 3	2 84	8 195	4 16	3 18	5 173	9 130	10 46	6 102	12 175	1 193	13 1	7 167	0 100	11 98
4 113	7 193	5 68	13 145	8 84	9 185	3 186	10 170	11 25	0 46	2 172	14 166	1 176	6 112	12 114
6 131	3 83	5 135	0 54	10 128	1 82	9 2	11 71	8 74	13 104	4 70	2 105	12 142	14 177	7 100
6 45	11 101	0 135	3 116	1 191	4 95	2 17	7 81	8 14	13 167	12 53	14 167	9 106	10 23	5 32
4 189	6 65	8 45	3 7	0 170	11 69	14 63	5 24	9 25	1 30	13 55	2 70	12 99	10 146	7 41
4 45	2 45	0 50	7 69	1 51	9 25	8 13	5 72	6 148	10 20	12 46	13 167	3 34	11 102	14 138
1 152	14 89	3 49	6 39	4 9	5 8	2 1	13 48	7 84	12 138	9 162	10 200	8 91	0 182	11 158
0 168	1 9	14 178	10 161	9 68	6 53	11 136	12 199	7 93	4 13	2 51	8 40	13 34	5 179	3 102
11 196	6 17	9 178	8 55	14 62	10 56	1 103	12 177	0 131	13 144	5 74	4 200	3 24	7 85	2 173
12 95	5 74	3 94	10 3	2 139	4 127	11 77	0 8	14 191	7 36	9 21	6 120	8 185	13 72	1 54
13 20	9 121	3 81	2 72	4 61	7 64	14 17	5 124	1 10	0 94	8 31	11 45	10 116	12 90	6 73
12 104	5 87	8 30	6 41	14 149	7 53	13 113	9 56	11 171	0 144	3 17	2 70	4 63	10 24	1 167
12 149	14 59	9 66	3 119	7 123	11 12	0 28	8 64	2 113	5 41	10 48	4 85	1 94	13 3	6 26
7 114	4 19	9 122	8 163	3 128	10 94	13 25	2 166	1 78	6 181	5 55	0 147	11 176	12 119	14 187
9 2	10 54	5 16	1 24	3 107	13 199	7 2	2 57	4 124	6 14	14 155	12 21	8 6	11 57	0 188
7 117	1 169	12 175	11 187	8 50	4 16	6 9	9 158	14 160	10 113	2 163	5 68	13 5	0 139	3 194
13 19	14 66	4 147	9 192	0 143	8 118	2 73	10 34	7 106	3 124	5 192	1 126	11 60	12 109	6 104
14 58	2 47	3 40	12 91	6 165	10 71	7 97	5 14	13 10	4 129	1 169	9 111	8 101	0 37	11 114
5 35	7 6	12 194	10 35	9 47	3 35	11 33	0 176	1 126	4 79	8 17	2 192	13 152	14 192	6 46
10 43	5 154	14 40	4 165	2 167	8 64	12 33	11 49	1 101	7 3	3 52	6 33	0 94	13 69	9 133
7 60	9 81	12 1	6 12	3 123	8 35	11 127	5 120	0 130	14 56	13 164	10 90	2 25	1 46	4 55
2 65	6 122	4 186	1 158	12 133	3 173	5 58	7 98	0 33	8 156	10 18	9 164	11 9	14 11	13 96
12 48	1 167	2 163	3 31	0 168	7 95	13 44	14 142	11 32	8 105	10 186	9 106	5 25	6 90	4 91
4 44	8 66	0 96	2 147	7 164	9 141	6 108	14 40	5 154	11 120	12 108	1 147	13 25	10 8	3 105
6 9	12 105	7 81	9 85	4 113	3 154	5 124	14 79	11 184	8 121	1 44	0 130	10 22	2 156	13 38
9 79	8 138	0 167	10 100	11 134	2 74	1 111	4 97	14 40	12 125	7 101	3 175	6 163	13 155	5 44
13 88	12 97	8 79	6 90	9 36	4 116	10 159	14 140	3 24	11 63	7 34	0 56	5 185	2 146	1 151
10 93	12 60	4 200	9 57	8 31	14 42	1 103	3 147	7 15	5 152	0 171	2 96	11 197	13 175	6 68
11 34	7 28	14 43	8 41	2 160	12 68	1 63	10 140	9 65	5 123	4 147	13 184	6 38	0 45	3 4
10 183	12 95	13 66	4 88	3 4	7 94	8 140	5 33	9 148	2 184	11 109	0 164	1 184	6 75	14 31
9 197	13 182	4 83	1 152	12 48	7 64	11 33	3 59	5 147	0 91	14 189	10 138	8 56	6 179	2 124
13 154	0 94	7 108	1 156	14 27	2 135	10 129	11 147	3 181	4 95	6 11	5 10	9 139	8 143	12 128
8 104	14 178	13 29	3 132	12 57	10 154	6 181	7 184	1 181	9 41	2 127	5 176	0 178	4 84	11 50
6 89	10 153	9 122	7 144	5 1	0 192	3 173	14 197	2 144	12 177	8 145	1 66	11 130	4 18	13 55
12 176	10 55	6 180	1 63	13 64	9 185	2 7	7 178	5 197	3 121	8 34	11 80	14 134	0 162	4 133
13 151	11 198	6 179	7 106	1 152	2 138	12 51	4 79	10 46	9 33	14 84	5 8	8 7	3 7	0 178
5 125	0 130	11 45	12 144	14 150	2 175	9 164	4 106	10 14	8 34	7 199	6 135	13 91	1 55	3 131
13 187	1 24	12 33	9 78	7 30	3 78	10 125	2 114	6 67	8 188	11 32	5 60	4 161	14 128	0 85
11 183	12 114	10 193	2 197	14 121	13 185	5 171	4 94	6 183	8 158	1 81	3 146	9 180	7 3	0 90
6 47	11 104	3 180	12 175	2 113	4 187	14 146	9 123	1 32	8 75	0 70	5 176	10 64	7 200	13 199
7 10	11 144	3 4	13 99	0 137	14 147	10 154	9 45	6 119	1 91	2 189	5 107	12 173	4 9	8 165
5 50	0 72	10 14	13 121	14 117	12 95	9 175	3 153	11 2	7 92	6 99	1 79	8 48	2 166	4 12
13 117	4 148	5 86	8 39	9 95	7 63	11 120	1 27	6 116	0 141	14 55	3 33	12 98	2 174	10 163
10 195	2 128	6 9	11 25	0 6	13 44	5 27	12 155	8 77	3 65	7 116	4 150	9 195	14 61	1 103
14 102	4 13	13 126	10 64	7 74	0 154	11 113	5 4	12 99	1 29	3 120	2 3	6 132	9 105	8 171
5 189	11 24	13 18	12 182	1 131	3 15	2 171	4 25	7 104	8 25	9 52	0 90	6 87	14 3	10 10
9 134	14 108	7 116	10 23	4 195	3 167	1 124	5 107	12 88	6 68	11 66	0 104	13 199	2 179	8 31
7 84	4 158	11 136	1 31	13 46	8 131	0 116	3 86	12 195	6 85	14 41	10 179	5 109	2 60	9 82
2 178	10 163	9 184	4 74	5 111	0 18	3 74	6 15	1 99	8 64	13 48	11 120	12 137	7 195	14 176
13 137	12 70	7 173	11 39	3 26	1 80	10 198	0 73	8 64	9 11	5 182	2 74	4 55	6 98	14 172
9 24	13 50	10 97	11 126	2 123	0 134	4 194	3 28	7 170	5 130	12 98	6 106	14 104	8 158	1 121
13 56	12 30	10 36	14 19	1 32	3 145	11 163	5 152	8 192	2 21	4 4	7 120	6 196	9 167	0 188
5 99	4 169	14 171	8 99	3 60	10 42	6 122	2 182	12 19	0 86	1 157	13 83	11 95	7 130	9 186
1 88	14 84	2 25	8 13	11 156	3 95	6 37	9 93	7 145	12 172	10 151	5 177	4 1	0 177	13 14
3 120	4 162	0 135	8 83	1 24	12 59	13 147	2 42	9 74	5 96	6 3	7 73	10 5	11 108	14 42
