90	15
4 56	2 56	10 116	11 122	3 183	12 65	14 196	8 89	1 78	7 58	6 17	0 98	5 66	13 109	9 102
10 160	6 2	1 92	4 175	14 194	8 31	3 107	0 165	9 63	13 111	2 116	12 80	11 70	7 115	5 177
12 195	11 182	4 73	8 135	7 160	2 30	6 126	13 192	14 157	1 41	3 155	0 134	9 5	10 22	5 96
9 193	13 36	7 105	10 136	5 84	4 85	2 48	8 197	12 151	14 136	11 197	1 5	0 155	6 45	3 49
13 40	7 124	12 77	5 194	2 106	8 145	14 127	9 123	6 91	11 23	3 41	1 154	10 15	4 159	0 106
4 135	7 30	13 90	6 191	9 179	5 158	14 61	1 115	10 11	3 187	12 53	0 55	8 117	11 99	2 143
7 123	6 72	1 55	3 127	8 118	4 11	0 147	14 153	9 101	5 87	11 199	13 133	2 77	12 2	10 1
7 96	0 190	12 35	14 197	13 99	5 42	4 72	11 164	2 58	8 127	1 141	10 155	3 169	6 41	9 110
8 166	10 198	7 171	1 14	9 110	14 83	0 14	13 39	6 175	3 103	4 132	5 145	11 140	12 76	2 200
7 121	14 68	2 62	5 93	13 150	0 119	8 30	12 32	4 106	9 43	11 56	1 87	3 33	6 135	10 14
0 19	3 34	13 170	2 184	7 111	6 169	5 182	14 74	9 158	4 109	1 12	10 181	11 121	12 144	8 143
9 179	3 159	6 156	14 12	4 135	2 93	13 192	1 155	12 80	7 190	8 79	10 200	0 121	11 11	5 104
0 106	4 12	6 105	12 64	11 19	8 82	13 191	7 47	3 133	5 84	2 128	10 16	1 198	14 86	9 50
11 23	14 3	7 171	10 92	5 156	0 46	4 132	3 56	2 177	13 193	9 76	1 32	12 141	8 120	6 24
1 130	6 53	12 109	10 105	7 45	3 197	2 21	5 118	9 90	0 198	11 72	4 54	8 82	14 109	13 95
4 51	8 175	1 18	2 166	11 186	6 174	3 32	5 72	13 194	10 99	14 44	9 85	0 166	7 140	12 160
11 161	4 180	2 91	7 142	10 157	9 188	14 164	0 150	8 142	13 143	3 172	6 46	5 143	1 146	12 36
5 109	11 80	4 137	9 53	8 37	14 173	12 194	1 28	7 150	2 3	0 28	6 156	10 83	13 67	3 45
11 132	6 30	5 139	2 136	9 170	10 78	14 76	13 30	12 105	1 16	4 95	0 182	3 37	7 22	8 82
7 7	14 111	12 36	9 149	1 165	2 149	11 99	10 200	13 168	8 10	6 193	3 153	0 77	4 51	5 55
0 111	9 34	12 169	10 39	2 182	7 45	11 97	4 58	8 168	14 66	1 2	5 89	3 29	13 59	6 140
13 103	12 88	0 2	11 129	10 163	14 85	1 182	2 27	4 190	8 27	6 94	3 26	5 93	9 194	7 118
13 25	0 126	3 175	9 170	1 139	11 189	12 173	4 191	14 124	8 70	5 125	7 63	2 100	6 2	10 200
12 23	6 183	9 103	2 3	5 174	0 154	8 109	1 171	14 147	13 77	7 182	10 47	3 189	4 71	11 168
12 129	3 174	7 163	1 21	13 38	10 92	9 30	14 156	5 99	8 168	0 174	6 147	4 148	11 109	2 152
8 91	14 4	9 33	5 134	10 39	6 169	12 131	13 53	7 105	4 175	3 9	0 176	11 3	1 105	2 156
9 1	4 90	12 122	2 107	0 66	10 79	13 136	5 31	14 93	3 126	8 7	6 9	7 2	11 35	1 1
9 189	12 156	11 38	2 42	6 137	8 34	7 161	4 74	1 186	3 97	13 156	5 194	0 90	14 160	10 182
6 185	8 176	9 183	2 25	11 185	5 39	1 65	10 184	4 20	14 31	3 148	7 29	0 162	13 88	12 143
7 132	2 113	8 33	3 142	5 35	12 190	1 116	4 103	10 16	14 134	13 197	6 93	0 70	11 87	9 146
13 151	3 22	9 154	2 23	8 69	5 68	0 154	6 155	12 173	11 161	4 173	10 167	1 27	14 23	7 170
4 20	8 29	5 78	2 200	1 160	13 24	0 90	3 170	11 134	12 80	6 151	14 75	10 123	9 127	7 93
2 116	7 80	3 190	12 59	1 64	8 182	5 22	14 111	13 111	10 156	4 166	11 111	6 144	9 102	0 190
14 199	5 49	4 13	3 106	8 158	12 94	6 189	9 72	0 91	11 5	10 108	13 59	1 35	2 185	7 120
8 101	14 163	6 25	5 105	0 134	11 44	12 113	13 168	9 58	1 165	3 163	2 198	4 176	7 42	10 181
