20	10
7 69	1 41	3 28	8 21	5 94	4 89	2 63	6 42	0 1	9 65
4 40	0 93	9 89	5 57	7 56	3 94	2 49	6 1	8 72	1 80
0 90	6 56	1 77	5 72	3 67	4 27	2 1	8 75	7 25	9 99
9 6	8 86	3 95	7 8	5 77	2 2	6 37	1 66	0 4	4 60
3 91	1 29	8 78	9 13	7 46	2 56	4 18	0 86	6 5	5 91
8 26	6 5	1 6	3 63	9 40	5 25	7 32	4 88	0 25	2 53
5 53	2 13	9 82	8 10	0 47	4 10	7 34	6 55	3 91	1 67
6 12	8 44	3 85	0 1	9 7	5 88	2 88	4 19	1 13	7 82
1 84	0 74	4 47	8 29	5 60	3 7	7 26	6 84	9 8	2 5
0 11	3 91	7 73	2 92	8 51	9 66	6 10	1 26	5 91	4 59
1 75	9 19	6 52	4 38	8 29	3 54	2 77	7 25	0 32	5 40
1 38	7 3	6 12	4 25	0 45	5 50	9 35	3 82	2 68	8 39
8 35	3 95	1 46	5 89	9 71	0 71	7 79	2 4	6 53	4 63
3 89	9 55	0 30	2 20	7 95	5 7	1 51	8 3	6 9	4 87
9 12	2 97	1 50	6 78	3 70	7 96	0 94	4 11	5 31	8 18
5 93	4 52	8 55	7 58	3 70	9 38	2 81	0 77	6 98	1 51
0 16	7 16	9 36	2 29	1 82	8 80	3 46	6 3	4 59	5 59
5 2	1 9	3 59	2 70	8 81	0 59	9 5	6 55	4 26	7 74
4 37	7 78	9 98	1 92	0 66	3 18	8 89	5 68	6 92	2 9
1 73	3 77	2 59	6 84	9 51	0 16	7 76	8 88	4 50	5 28
