90	100
80 10	30 23	98 67	33 92	13 16	26 76	0 96	77 30	65 79	46 88	82 83	58 93	55 91	74 45	37 48	36 81	71 4	69 76	95 28	87 89	70 42	29 61	7 23	24 95	54 10	14 68	35 71	15 37	6 56	96 16	44 59	19 7	41 39	39 14	64 39	59 14	53 82	75 24	34 12	78 11	52 12	28 57	84 16	12 16	93 74	90 7	56 85	94 50	31 27	38 21	25 27	61 25	47 2	97 89	20 35	48 33	32 45	81 89	11 46	86 53	49 45	23 68	16 74	4 10	43 6	66 44	10 63	63 76	88 53	73 17	67 79	89 59	91 63	8 6	62 95	5 27	9 88	18 92	79 76	1 34	40 60	2 16	50 12	57 8	51 5	99 25	42 26	85 31	45 69	72 61	3 58	21 21	27 69	22 72	17 97	76 43	68 51	83 51	92 48	60 49
35 76	99 23	84 7	37 16	25 10	34 62	3 37	53 51	94 53	90 97	31 74	69 56	92 21	42 51	20 9	8 50	56 79	68 23	59 17	43 76	55 85	65 27	9 28	5 20	26 61	38 60	49 63	19 18	66 29	93 37	63 89	29 41	74 35	86 35	33 4	82 41	6 92	51 47	79 27	62 37	73 91	16 49	36 68	97 28	72 72	11 29	57 40	10 29	40 9	88 19	61 97	12 27	77 5	17 39	44 16	45 35	83 38	60 34	28 3	30 82	15 81	75 14	41 66	24 61	91 40	70 44	87 59	64 1	1 93	76 71	18 89	7 68	67 63	95 31	80 64	52 43	50 48	14 18	32 34	22 75	2 2	27 8	21 61	58 44	81 64	47 53	78 20	54 12	46 60	71 37	39 73	13 28	89 2	4 39	48 16	23 30	85 45	0 78	96 13	98 71
60 77	34 18	7 60	71 31	54 55	5 82	93 62	28 42	52 1	70 90	32 47	89 84	30 45	55 24	3 4	69 68	53 90	13 5	66 74	57 73	27 84	36 48	31 74	46 6	98 62	58 90	17 76	95 70	74 73	83 86	42 36	47 24	94 29	11 16	29 42	77 87	37 72	20 33	18 52	4 16	49 89	85 68	35 92	64 21	39 83	81 85	75 21	82 16	99 40	59 62	38 97	0 83	16 38	9 23	12 98	67 53	23 95	97 10	22 44	63 46	61 17	84 69	45 63	25 61	79 33	80 54	62 34	24 49	26 47	96 94	72 27	2 74	14 33	90 96	50 47	92 14	1 33	33 12	43 98	21 15	48 27	8 36	51 30	87 47	6 96	68 83	78 81	91 61	65 14	19 74	44 51	88 46	76 5	73 50	40 32	86 68	56 84	41 83	10 37	15 4
19 91	36 18	17 39	38 87	21 67	24 85	13 30	31 4	78 67	61 81	98 79	70 72	23 42	2 77	28 46	34 76	46 42	62 79	48 31	60 44	64 85	41 47	55 39	1 10	51 95	22 63	90 5	20 67	79 87	10 76	7 54	54 58	14 68	89 82	56 14	92 14	73 35	87 35	97 20	63 79	39 47	86 25	65 19	5 71	81 10	96 28	72 88	4 95	85 37	45 68	9 47	74 77	93 64	99 18	57 66	76 55	83 35	95 60	50 42	42 59	43 52	66 54	80 24	15 87	3 86	27 25	82 62	30 94	77 8	11 82	6 22	33 12	53 41	91 12	32 82	26 98	49 98	8 80	18 2	94 5	69 81	68 43	58 46	52 74	88 87	37 55	67 43	71 65	40 87	47 22	75 63	16 82	84 75	12 78	29 16	0 12	59 67	35 82	25 45	44 65
74 87	40 18	83 11	60 48	39 82	48 14	21 29	32 76	8 69	50 88	62 83	64 63	31 59	7 91	36 18	65 79	25 3	44 36	76 60	67 88	14 75	73 46	75 87	2 70	56 47	45 44	11 52	55 82	38 75	84 78	35 6	81 32	28 19	4 3	57 59	58 13	78 44	0 13	87 92	95 43	29 36	86 84	43 84	12 40	61 76	3 68	77 51	90 72	20 59	88 40	53 83	94 29	98 85	6 62	82 28	69 5	41 96	89 7	34 81	26 85	52 3	51 61	16 22	37 39	42 69	71 7	18 5	23 26	30 77	70 60	92 58	91 26	24 71	1 14	9 51	93 84	47 29	79 43	5 61	33 72	68 80	54 82	80 10	72 88	63 59	27 92	59 50	10 28	17 51	46 67	22 83	13 74	85 31	49 9	99 93	96 41	19 39	97 3	15 98	66 29
52 47	12 91	26 45	39 20	1 45	74 43	68 60	9 38	43 71	54 82	7 44	23 89	51 20	92 86	35 61	81 28	58 56	46 70	17 11	20 65	93 37	56 21	75 23	5 72	85 77	91 88	94 69	65 52	71 26	88 50	33 30	49 72	38 79	13 20	37 32	6 38	70 5	22 90	15 40	73 68	14 56	28 99	97 9	8 96	99 41	77 74	79 30	2 14	61 50	10 91	89 39	53 13	64 96	95 12	41 39	42 42	30 18	25 45	76 42	83 96	72 39	11 19	0 16	78 32	32 52	29 75	86 2	80 87	67 7	90 20	96 9	48 46	59 46	45 62	27 27	34 75	40 30	24 61	36 64	4 77	62 90	55 59	44 65	47 8	84 72	18 35	87 55	69 74	50 23	98 95	57 58	19 19	16 94	31 57	60 98	3 55	21 51	66 1	82 49	63 95
45 20	67 34	4 98	9 7	39 44	28 22	15 30	68 56	56 13	12 93	32 2	83 71	86 69	43 84	53 34	13 42	42 54	79 30	81 3	49 84	24 64	33 54	62 43	54 88	34 16	85 50	94 44	26 32	36 77	71 31	88 25	55 77	14 52	93 57	92 34	46 82	69 60	22 1	73 81	41 36	37 3	70 97	78 9	10 12	77 7	29 97	3 71	58 92	91 85	84 59	0 38	72 28	50 15	11 58	16 88	95 13	27 14	87 57	82 66	47 28	64 83	75 31	57 50	61 59	1 49	89 18	21 79	65 12	74 83	44 21	98 9	66 24	8 97	51 50	96 42	59 10	23 63	90 85	17 19	80 62	99 72	18 28	2 23	35 46	63 29	60 23	97 63	19 8	20 72	6 27	52 45	31 13	25 52	30 27	38 23	76 18	48 24	5 11	7 73	40 44
6 9	94 62	93 42	96 78	59 72	4 62	9 2	2 9	90 60	8 91	99 62	67 21	46 37	86 99	47 77	75 62	81 49	60 22	68 70	52 58	70 35	97 57	55 9	12 41	15 62	50 22	89 4	30 35	39 56	82 14	32 83	16 96	45 42	80 59	73 35	42 39	88 24	76 25	19 74	13 6	72 40	26 59	78 98	31 79	53 85	62 8	33 72	0 41	36 84	28 41	43 4	21 47	54 67	61 8	63 94	22 4	66 27	10 72	65 98	11 72	87 34	44 34	18 80	1 87	77 59	3 37	98 81	23 4	49 74	74 60	14 36	38 72	24 10	37 87	34 66	7 54	29 18	48 82	64 95	95 11	41 43	58 87	92 95	83 49	71 33	27 30	40 84	17 81	84 58	35 16	85 72	79 16	25 18	69 71	5 32	20 49	57 26	91 47	51 87	56 70
48 1	25 30	81 68	95 29	19 49	27 70	63 74	75 61	8 89	55 99	91 7	83 56	42 84	6 97	32 47	26 30	43 63	69 79	30 47	21 82	93 24	60 77	9 39	98 35	87 39	59 96	52 98	64 77	54 13	49 62	40 40	23 3	88 68	94 66	86 44	13 69	82 76	16 60	74 90	22 45	46 11	24 35	77 85	2 63	76 24	68 27	41 8	0 81	39 62	97 21	29 74	61 58	67 66	73 96	51 66	31 7	5 8	28 8	15 30	71 28	20 12	90 60	56 50	45 63	18 72	62 33	38 40	57 65	35 14	92 81	14 67	80 9	4 15	1 80	66 75	47 60	85 40	17 88	10 94	3 51	58 70	7 39	37 96	11 29	34 88	70 93	78 42	65 37	89 72	12 41	96 62	44 28	72 16	36 59	99 78	50 24	53 30	33 98	84 15	79 14
96 29	73 26	69 82	30 38	79 98	10 77	37 88	61 29	60 10	70 34	46 2	25 96	74 67	92 63	35 44	81 21	52 24	50 3	58 22	83 44	23 30	78 64	80 72	1 26	2 37	48 5	17 73	94 5	97 33	3 9	85 60	6 15	5 36	90 82	4 42	12 91	88 68	43 64	75 79	44 85	7 11	64 34	57 40	62 4	72 47	55 31	26 24	65 49	84 29	22 93	42 46	15 28	18 5	40 72	34 89	59 49	49 88	98 53	89 81	8 64	16 29	41 3	19 48	53 1	24 93	33 10	54 40	13 69	95 52	27 98	99 68	9 30	93 99	21 35	76 18	87 33	82 56	31 87	63 2	91 28	38 52	77 56	36 68	14 28	47 7	51 37	86 9	29 77	45 66	20 86	28 66	56 77	11 46	68 78	67 82	0 85	71 68	66 93	39 39	32 53
69 58	18 12	29 81	5 73	83 80	86 10	62 56	90 88	34 45	68 42	71 64	35 47	95 54	10 38	45 11	93 55	26 47	75 89	47 45	97 72	13 98	67 10	55 49	91 5	96 79	87 54	54 83	99 4	39 99	25 21	57 14	0 15	73 99	12 47	7 88	58 33	72 50	11 99	46 65	63 34	70 25	40 64	94 39	3 76	51 21	79 2	74 5	36 66	85 72	78 59	1 65	53 24	43 55	44 28	49 48	77 60	56 46	33 80	37 19	20 64	17 12	60 77	24 23	28 96	21 69	84 82	14 54	65 99	31 55	30 8	89 92	22 50	8 69	15 73	41 94	38 75	81 93	6 68	19 59	98 58	59 28	61 79	48 35	23 58	27 40	16 88	82 79	50 84	4 40	2 86	92 76	64 30	88 89	52 8	32 42	66 19	76 71	80 3	42 54	9 32
