40	60
29 32	44 84	35 72	46 2	0 8	20 29	11 64	8 72	51 84	57 4	34 89	18 25	27 78	53 9	21 61	41 84	45 9	33 27	47 48	2 83	58 94	5 79	16 89	36 20	6 76	3 95	43 74	37 90	25 89	40 83	32 62	30 16	52 68	39 81	22 84	4 95	54 91	9 51	26 86	23 10	48 86	28 16	7 9	10 99	50 57	12 14	17 62	49 14	14 18	59 67	55 77	24 33	1 96	13 54	15 92	56 99	19 61	31 58	38 10	42 31
50 10	16 32	31 63	56 87	40 24	35 15	4 79	30 96	59 9	20 90	13 59	21 98	41 5	44 59	49 60	52 44	36 37	27 20	34 87	43 30	46 3	32 21	45 93	39 86	25 50	23 38	47 21	53 42	51 9	29 66	6 68	2 89	58 62	11 11	1 74	15 66	26 25	28 5	57 7	3 62	18 65	22 37	7 88	0 37	48 23	10 11	14 6	37 20	42 16	5 6	38 20	54 84	24 20	9 76	19 84	33 69	8 59	12 54	55 85	17 99
30 36	35 57	23 24	13 28	32 19	10 61	22 69	46 85	6 46	33 30	52 52	31 15	40 6	37 25	58 80	44 69	48 87	18 45	41 68	12 94	57 4	51 55	3 75	17 41	28 98	47 25	9 83	49 63	15 87	29 27	0 82	24 26	27 26	7 39	59 33	8 74	5 9	55 94	56 84	20 9	38 24	4 44	43 69	16 34	21 83	39 3	25 43	53 96	14 75	42 77	34 73	45 28	36 20	54 51	1 45	50 31	2 11	11 69	19 6	26 54
0 41	32 72	57 30	38 52	9 98	4 19	24 44	41 69	15 31	25 2	37 52	53 82	54 45	52 51	50 14	26 56	33 18	11 11	7 28	51 65	22 76	48 58	16 21	30 48	42 18	40 75	20 30	19 16	31 24	23 46	44 1	8 96	2 30	56 53	12 77	13 82	14 75	58 25	1 83	6 78	43 24	28 56	21 16	3 31	17 15	39 52	49 12	45 66	29 8	5 97	10 87	18 55	46 79	35 99	36 33	34 90	27 64	47 43	55 1	59 67
11 44	33 94	12 56	16 29	37 23	43 15	13 69	26 55	47 26	46 6	18 88	38 36	22 73	48 94	17 79	45 23	23 35	39 87	2 58	59 95	58 99	1 68	32 41	50 10	0 73	49 66	41 98	20 67	53 98	52 59	54 15	5 30	57 86	36 14	40 7	21 74	31 67	42 95	24 6	29 24	3 27	10 62	4 57	35 81	19 82	25 46	51 45	44 76	56 18	6 13	27 98	7 89	34 2	14 33	30 7	55 64	9 99	8 70	15 73	28 94
9 95	6 32	36 32	40 92	58 97	30 87	45 96	52 60	38 59	4 13	19 34	22 46	7 98	56 82	34 40	24 17	5 32	47 63	11 61	26 17	18 76	8 73	59 25	43 28	3 18	20 53	46 40	51 8	32 76	42 98	12 92	27 67	23 23	10 1	25 34	13 54	33 72	15 41	53 41	28 3	21 27	41 75	49 83	55 38	29 88	39 30	14 8	35 12	2 7	44 59	37 81	1 77	50 11	17 74	16 11	57 52	54 51	48 27	0 77	31 68
15 29	8 9	56 11	52 13	31 19	2 10	45 39	18 17	47 39	29 81	38 25	39 95	33 35	5 44	13 18	20 94	59 58	35 84	54 34	22 79	49 80	40 21	19 4	24 29	30 19	57 92	7 10	9 54	58 81	55 45	44 53	28 36	37 62	21 83	1 45	6 48	0 70	16 70	46 28	17 13	10 37	4 19	11 61	12 74	34 94	51 92	53 26	14 4	3 43	32 53	25 97	48 42	23 41	27 57	42 5	26 1	43 71	41 78	50 27	36 86
46 64	49 6	2 12	32 58	41 8	57 80	31 23	52 82	47 21	20 82	16 23	12 20	54 72	37 49	53 50	23 43	9 25	45 67	4 62	0 87	8 95	24 70	59 84	15 23	25 31	7 46	11 26	50 74	35 62	26 58	44 67	55 73	30 58	36 57	29 59	1 80	21 71	48 79	56 76	34 10	22 35	51 20	14 51	40 76	39 96	6 39	42 28	10 5	43 92	13 57	27 91	33 32	58 90	28 93	5 10	38 83	17 5	3 52	18 28	19 14
31 98	40 29	20 13	57 4	55 40	33 23	13 35	11 23	1 69	37 23	29 98	39 34	58 82	2 85	49 19	24 97	18 37	22 16	27 40	54 99	21 95	47 75	26 14	6 94	17 76	4 34	14 63	38 1	10 71	52 12	44 1	45 96	7 63	36 66	0 13	43 29	42 40	25 15	46 83	32 65	15 60	19 45	35 40	30 67	48 45	28 73	56 62	50 35	9 51	23 69	5 31	41 59	12 97	16 95	53 10	59 68	34 24	3 7	51 20	8 8
3 92	5 87	0 66	58 27	35 75	57 5	16 66	14 65	10 69	44 21	15 66	19 19	47 79	40 96	13 68	38 56	34 4	2 34	33 81	39 88	12 56	59 96	21 96	6 55	23 71	37 79	29 43	8 40	48 21	7 4	55 7	11 36	36 28	46 23	54 97	50 98	56 80	4 65	24 90	53 17	43 57	22 36	41 57	52 73	28 56	49 19	31 4	42 25	9 25	27 47	30 30	20 2	17 48	25 63	18 72	51 65	1 80	26 13	45 11	32 61
58 43	48 39	23 84	17 33	30 41	18 18	28 28	53 82	38 22	14 66	33 41	26 35	37 49	12 36	43 63	9 14	27 90	6 48	49 87	35 6	54 46	15 6	22 60	36 57	57 97	42 66	1 74	19 60	10 53	8 34	59 75	31 21	55 42	41 36	0 18	34 77	21 48	47 57	51 47	56 11	46 63	7 44	3 79	25 68	39 10	52 51	50 29	4 76	32 43	2 99	16 24	29 70	24 11	11 77	45 5	20 36	13 3	44 93	5 69	40 23
