20	20
15 33	10 7	14 96	8 11	16 38	11 54	4 83	17 86	18 84	19 70	9 29	3 9	2 19	6 45	12 19	13 73	7 61	1 31	5 81	0 70
3 44	17 43	18 16	11 2	6 38	1 46	12 60	2 22	10 13	9 62	15 22	0 64	7 92	4 42	5 3	16 95	19 57	8 29	13 82	14 43
0 69	8 51	12 85	13 58	19 62	15 42	3 18	17 47	18 60	1 67	14 54	10 72	5 2	9 71	7 67	11 69	16 36	2 32	4 11	6 49
1 42	5 93	11 30	6 15	7 31	18 76	13 5	4 50	19 55	9 61	17 52	3 76	15 83	10 48	12 12	16 68	0 2	8 73	2 18	14 92
0 54	3 97	16 55	2 75	6 84	14 63	5 84	1 64	12 42	9 56	19 61	18 18	8 44	13 31	7 68	11 87	4 49	17 98	10 64	15 11
4 72	1 48	12 47	7 43	19 8	0 35	14 93	13 18	3 4	10 32	6 21	15 69	8 13	5 66	11 60	9 23	2 22	17 92	18 48	16 95
4 56	10 28	19 87	15 59	7 75	14 48	17 84	11 22	0 77	8 84	16 98	12 35	9 81	13 58	3 26	2 5	1 23	5 82	18 64	6 46
0 63	1 20	12 39	17 39	5 36	7 16	16 1	11 47	8 47	9 17	13 93	14 99	10 59	18 4	4 3	6 44	15 76	19 19	2 73	3 49
17 11	18 52	12 85	11 39	16 69	14 85	19 52	8 17	0 32	2 4	1 23	10 15	7 63	5 59	4 95	15 22	13 43	6 82	9 93	3 34
17 85	5 71	16 5	4 24	6 25	14 10	9 66	12 32	13 34	1 95	19 34	10 86	2 62	7 75	8 21	3 28	18 7	15 5	11 13	0 58
14 72	5 10	12 25	0 42	6 64	4 60	16 87	2 91	11 84	18 32	13 1	8 49	15 4	3 73	7 33	9 45	1 26	19 38	10 18	17 22
5 87	2 14	8 75	3 72	11 53	10 17	17 36	9 15	18 2	0 96	4 41	14 46	13 21	12 25	7 89	16 82	1 98	15 15	6 64	19 80
10 30	7 19	16 75	5 67	4 70	9 91	1 82	3 86	0 58	18 31	6 50	14 23	17 21	2 20	19 1	11 17	8 43	15 51	13 94	12 18
15 23	7 67	14 2	3 6	4 69	10 61	2 58	8 20	11 40	9 39	12 80	1 87	0 18	17 15	18 80	13 7	19 35	5 33	6 78	16 24
15 11	13 54	11 45	4 52	0 39	5 35	1 60	19 23	7 56	14 99	17 60	18 93	8 38	9 96	6 26	10 81	12 46	16 36	2 3	3 83
17 38	19 11	10 2	14 7	0 54	16 60	6 11	3 28	4 45	2 52	8 88	18 71	11 32	13 31	1 45	7 26	9 78	15 49	5 25	12 91
12 34	6 10	3 95	13 90	8 50	1 4	9 74	14 96	17 23	0 42	18 2	19 63	10 4	4 95	7 89	15 68	16 33	11 37	5 56	2 76
6 42	8 93	5 87	10 73	19 18	13 61	7 34	18 14	14 93	12 87	1 86	11 31	9 86	3 70	15 46	0 8	16 87	17 93	4 15	2 34
11 93	14 41	19 66	8 1	17 74	10 83	5 56	18 30	13 93	4 37	1 46	12 44	9 24	16 91	0 46	6 27	15 74	2 59	7 13	3 5
8 82	9 36	12 29	6 55	4 61	17 1	7 77	10 91	2 68	16 63	15 21	1 2	5 28	3 20	13 95	11 22	19 65	14 41	18 40	0 58
