15	70
63 44	60 49	54 56	3 45	46 51	21 48	66 55	16 49	0 63	51 51	30 49	39 45	11 49	49 52	65 45	35 47	24 46	61 57	47 60	48 51	37 55	12 49	33 51	57 54	64 55	34 53	59 40	42 50	56 50	10 48	69 47	52 56	68 55	6 47	17 46	15 50	50 44	14 47	8 51	19 43	44 52	5 57	67 54	23 42	27 52	32 55	2 49	31 59	26 44	13 47	25 53	53 44	18 44	4 42	28 42	62 55	22 57	20 52	40 53	29 49	58 45	41 44	43 52	9 53	55 49	45 48	1 55	7 54	38 48	36 44
62 42	7 51	2 46	22 44	38 48	64 53	51 59	5 51	66 50	36 43	31 50	67 47	55 50	42 49	8 48	58 59	1 45	3 52	4 55	56 63	21 59	35 47	53 50	0 52	10 59	15 43	50 48	68 47	69 41	18 53	27 51	12 50	49 52	33 51	54 51	32 50	14 43	6 35	61 51	20 57	26 51	63 46	65 45	48 54	11 54	13 53	16 48	40 56	46 46	30 49	41 51	25 45	60 48	19 50	17 54	45 59	29 54	47 56	57 46	43 47	52 55	23 48	37 53	28 55	59 51	9 43	39 54	44 51	34 48	24 59
52 54	20 46	42 61	6 51	54 50	48 55	57 48	4 52	11 48	47 43	56 43	16 54	10 41	64 58	14 46	65 49	5 45	39 49	38 48	36 57	41 47	21 51	50 56	22 48	8 54	7 51	49 51	28 48	3 51	2 52	53 48	46 46	1 53	51 53	9 43	61 49	37 48	60 58	59 47	0 48	29 52	69 54	30 45	44 54	45 55	18 64	35 52	67 50	15 49	19 53	27 46	17 49	63 49	24 53	34 49	33 55	23 55	68 55	58 45	31 51	26 40	13 51	62 58	25 46	55 57	32 46	12 48	40 58	43 45	66 59
29 53	8 44	3 47	21 53	54 48	52 43	63 57	2 44	15 43	27 52	10 57	0 52	11 46	44 49	7 55	43 50	25 51	6 57	33 47	65 57	24 44	53 47	20 52	4 45	13 46	30 57	35 53	61 41	32 53	1 45	14 59	18 53	69 60	64 49	58 42	17 55	48 55	46 53	60 46	34 51	67 59	28 41	47 59	45 48	23 42	66 53	16 43	19 56	9 50	12 54	59 49	49 52	56 49	37 51	50 51	39 55	36 54	42 46	38 50	62 45	31 54	57 50	41 54	51 53	40 51	26 45	5 50	68 48	22 58	55 44
34 61	60 53	12 48	9 53	4 54	68 60	55 59	48 43	2 60	54 46	65 53	16 41	63 52	38 56	64 49	3 55	69 53	29 50	31 49	36 52	22 51	7 52	58 50	21 54	62 43	37 44	56 59	35 55	32 62	15 46	47 52	20 52	53 49	51 51	30 54	26 54	5 54	39 51	57 44	52 47	11 53	18 58	0 48	67 55	1 46	61 50	33 41	13 45	19 53	44 53	59 61	40 53	6 53	27 44	42 56	24 46	28 47	41 46	46 55	50 59	10 43	25 41	49 50	66 53	43 49	14 46	17 53	23 55	45 48	8 50
24 47	57 45	5 62	14 48	36 55	31 48	65 46	33 46	38 50	32 50	41 47	58 50	9 50	53 44	0 56	25 49	44 55	22 54	8 57	54 46	10 52	66 47	19 49	59 49	64 48	50 53	42 48	49 47	2 48	29 49	3 61	68 45	13 49	21 52	56 55	43 48	11 46	39 40	6 48	28 50	62 46	63 44	27 50	40 57	37 54	52 57	46 54	48 54	30 49	26 48	61 54	1 56	45 51	18 51	55 44	60 49	67 46	16 55	69 48	20 47	15 54	7 52	4 53	17 55	23 51	35 58	47 45	51 51	34 51	12 43
53 46	60 47	67 53	48 46	7 43	24 49	36 54	56 50	2 51	12 55	42 48	22 48	9 52	64 51	10 54	54 60	43 48	19 49	37 49	26 57	34 51	57 45	8 57	44 46	61 45	51 46	18 52	4 43	65 53	25 50	5 54	35 47	14 51	68 49	58 47	0 55	11 47	20 49	45 65	1 51	46 54	69 45	52 50	15 58	17 52	28 57	27 43	13 43	59 53	38 46	21 52	47 42	66 56	41 45	49 47	63 44	29 54	30 50	6 51	55 54	39 47	16 48	33 49	31 50	23 44	40 54	32 47	50 54	3 54	62 46
39 55	69 54	38 55	13 42	52 51	57 57	23 53	42 57	17 51	35 54	12 50	6 52	26 50	4 50	19 53	53 57	50 54	55 48	59 59	68 43	16 45	10 51	67 60	66 49	31 53	63 53	37 45	65 51	1 47	36 49	8 46	32 51	15 53	61 49	54 44	3 49	33 55	64 51	7 54	49 49	56 49	25 50	24 44	60 57	48 50	51 53	34 45	62 52	29 53	46 54	58 39	22 47	2 52	30 48	45 49	14 48	11 47	27 51	47 58	21 48	5 60	44 53	9 52	40 51	41 52	0 46	43 46	20 53	18 58	28 56
26 49	16 49	6 49	23 47	67 47	34 52	49 46	2 48	62 45	1 56	17 53	42 51	22 44	57 54	45 46	21 50	15 47	51 54	66 50	31 49	5 52	61 54	8 51	7 52	44 49	39 41	24 65	13 47	48 52	20 45	25 54	11 53	60 48	54 48	35 54	30 54	65 50	53 41	18 53	40 50	37 59	36 49	58 47	4 46	52 52	10 48	38 53	50 44	9 47	3 46	27 43	47 51	68 43	12 52	0 49	29 49	28 55	41 53	19 54	64 48	32 43	43 55	55 41	69 51	14 49	59 55	63 51	56 52	33 53	46 53
10 44	68 51	28 52	17 49	55 52	62 49	56 52	50 50	38 55	32 56	14 52	18 43	21 44	1 45	44 61	59 40	36 43	41 47	63 48	0 60	57 49	69 47	3 45	49 58	34 45	23 54	30 46	52 58	22 50	65 62	42 45	29 56	4 56	7 52	58 63	39 49	61 46	31 51	64 44	40 50	12 50	37 47	19 46	46 51	35 45	47 49	25 54	26 51	15 50	67 51	66 52	20 50	27 61	2 43	11 43	5 56	9 37	53 56	43 41	6 55	16 58	13 53	51 45	8 48	45 58	60 49	48 42	33 52	54 65	24 45
29 48	22 53	20 59	9 54	30 51	51 46	21 46	26 45	55 51	44 44	25 50	69 48	3 50	68 49	17 50	42 51	38 49	64 54	36 55	67 52	46 51	65 58	28 45	43 46	4 48	50 51	14 62	40 52	15 49	63 51	10 46	53 59	0 49	45 48	11 43	27 59	49 43	54 53	59 42	62 50	39 43	37 60	58 53	57 51	5 49	32 56	24 65	60 53	12 56	52 60	66 40	56 54	31 49	61 56	34 53	2 45	33 52	13 56	6 55	16 51	47 52	48 50	8 45	1 46	35 57	7 41	19 49	18 44	23 47	41 55
43 48	26 48	35 49	16 55	23 48	13 45	51 56	40 49	55 46	2 45	14 50	68 44	11 50	46 48	49 53	42 46	60 46	22 46	67 51	69 50	8 48	7 48	59 41	0 59	62 50	50 48	1 55	64 45	25 56	20 54	21 55	24 43	44 57	30 46	47 44	57 50	53 48	34 47	12 55	65 53	63 58	6 41	15 52	41 53	61 61	33 52	28 57	66 52	31 48	17 49	3 44	56 52	9 51	29 56	39 42	54 60	18 46	4 42	10 61	5 53	58 54	27 57	52 43	32 55	38 45	36 57	48 56	45 64	19 56	37 50
