20	10
5 74	6 195	0 47	4 166	3 120	8 90	1 54	7 99	9 122	2 103
1 142	5 130	7 98	0 121	2 43	4 190	3 72	8 5	9 180	6 47
5 148	9 56	8 177	3 199	0 14	4 127	1 10	6 39	7 91	2 29
1 54	4 70	9 195	6 128	8 152	2 192	5 135	3 114	7 95	0 175
8 135	6 161	7 185	5 1	3 192	4 119	1 94	9 188	2 120	0 120
8 105	4 22	9 33	1 70	2 6	5 64	3 125	7 152	6 90	0 72
2 79	3 120	8 58	9 194	5 37	6 152	1 70	0 55	7 140	4 26
6 93	9 43	5 179	0 8	4 128	1 166	3 185	7 25	2 192	8 113
1 161	7 88	9 12	2 55	3 10	0 144	8 94	6 162	5 167	4 16
6 87	7 41	4 101	1 38	9 194	2 181	8 146	5 87	0 166	3 139
0 149	9 170	5 56	4 26	3 144	6 185	8 83	2 21	1 176	7 43
4 67	9 143	8 55	5 75	0 100	1 174	3 147	6 188	2 29	7 160
4 152	7 166	3 141	9 63	1 191	8 86	0 20	6 62	2 20	5 95
2 36	0 48	4 83	6 24	1 121	3 7	8 189	9 188	7 106	5 49
7 86	5 1	4 69	2 116	8 143	9 134	0 41	6 121	1 139	3 166
8 162	3 61	5 12	9 174	0 109	7 88	4 146	1 86	6 184	2 3
8 153	6 20	0 138	2 123	7 112	4 10	9 41	1 195	3 84	5 191
7 92	4 174	0 3	5 133	9 118	8 39	2 37	3 39	1 127	6 176
1 14	5 147	9 122	2 152	8 68	6 129	4 78	0 91	7 82	3 41
9 2	4 4	1 76	0 28	8 13	3 103	5 11	7 15	2 101	6 119
