20	15
1 126	4 169	3 128	2 181	9 156	14 195	8 18	10 5	11 153	6 178	13 29	0 106	5 99	12 98	7 169
4 136	7 150	2 148	12 107	3 27	13 112	14 161	1 114	9 116	0 148	8 78	10 78	5 38	11 82	6 39
14 73	4 135	2 94	3 89	13 162	7 81	12 190	9 42	1 150	6 32	10 90	0 184	5 166	11 172	8 167
2 67	11 137	8 192	12 139	7 114	5 189	10 52	4 38	14 177	0 159	6 53	1 185	13 146	9 25	3 128
10 60	7 126	1 26	11 80	9 38	5 189	4 147	3 70	0 33	6 108	8 123	12 157	13 36	2 27	14 137
13 9	0 168	12 23	4 77	6 48	2 61	10 120	5 158	9 35	3 93	11 58	14 159	8 7	1 147	7 120
2 182	0 100	11 114	9 168	12 72	5 84	8 69	10 19	13 101	3 154	14 194	1 96	4 42	6 140	7 1
7 50	10 14	1 152	14 15	13 117	6 40	12 46	9 115	8 10	4 54	2 152	3 16	5 80	0 128	11 129
10 117	5 8	2 39	6 109	13 181	4 138	1 66	7 106	12 5	0 174	8 155	14 4	9 20	11 47	3 147
8 62	9 166	0 187	3 38	6 106	5 7	12 48	4 121	2 58	11 82	13 187	10 153	1 187	14 3	7 86
9 60	6 97	10 78	5 124	14 131	11 183	12 36	13 120	3 164	8 61	4 183	2 29	0 15	1 129	7 55
11 136	3 34	10 132	12 173	1 34	4 111	2 14	0 110	6 179	5 119	9 136	7 83	13 196	14 127	8 80
4 73	3 3	1 88	7 190	0 92	12 134	13 76	5 132	11 95	2 159	8 67	14 184	9 50	10 49	6 142
1 182	5 123	10 186	3 128	14 26	2 89	4 54	11 195	7 92	9 104	8 153	12 75	13 109	6 176	0 90
12 38	14 109	10 24	8 178	0 130	5 9	1 170	13 132	3 106	6 26	4 94	7 192	9 64	2 63	11 30
6 56	4 181	12 117	3 39	8 69	9 75	7 104	2 72	11 132	0 140	5 149	1 45	13 187	14 27	10 68
11 180	3 67	0 103	2 80	7 161	9 151	14 116	8 180	6 160	1 196	4 41	12 152	5 154	13 162	10 33
13 139	5 176	9 136	2 16	14 195	11 76	7 79	6 187	1 163	12 75	3 119	4 55	10 25	8 195	0 33
2 36	1 164	5 74	12 54	0 48	13 64	11 198	10 56	6 174	9 44	8 131	7 53	3 160	4 134	14 187
9 104	5 12	0 116	12 92	3 179	2 190	8 7	6 165	1 37	4 162	13 128	11 49	10 65	7 188	14 108
