20	10
8 6	6 17	9 53	7 83	2 29	0 72	5 28	1 49	3 34	4 89
6 28	5 58	3 44	4 38	7 81	0 99	9 78	2 81	1 41	8 60
1 7	5 65	6 20	2 6	8 27	3 28	0 2	4 22	7 64	9 92
8 90	6 54	0 40	9 65	1 31	7 4	4 12	3 9	5 70	2 36
7 22	9 42	1 64	3 96	8 96	6 11	0 56	2 95	5 52	4 9
5 15	2 49	9 36	3 4	7 66	8 64	4 81	0 35	1 51	6 46
5 58	7 87	4 79	6 63	3 65	1 83	2 86	8 25	0 67	9 95
3 50	1 33	8 97	9 40	2 71	6 33	4 85	5 81	7 39	0 45
5 60	1 81	9 14	8 67	0 22	6 25	4 48	7 43	3 44	2 58
8 63	6 2	2 97	4 27	9 87	0 69	1 87	3 43	5 97	7 75
7 79	0 80	3 47	5 17	6 18	9 72	4 66	1 1	8 67	2 47
3 66	2 64	0 89	7 39	4 81	6 63	1 48	9 16	8 54	5 74
6 72	1 23	9 2	5 15	4 94	2 8	8 13	3 17	7 17	0 22
1 91	5 51	9 24	6 38	4 60	3 91	7 93	0 92	2 37	8 45
7 52	8 31	0 35	1 23	9 20	5 27	4 10	2 60	6 10	3 75
2 54	6 60	4 99	5 99	9 67	8 26	1 78	7 10	3 90	0 79
4 52	8 91	6 70	3 28	2 1	7 73	1 20	0 38	5 25	9 22
8 83	0 31	4 93	5 97	1 78	2 11	9 82	6 54	3 31	7 4
9 99	7 22	5 20	1 6	2 16	0 7	3 10	4 43	8 5	6 67
9 71	5 95	3 94	0 98	1 23	4 78	6 42	2 31	7 31	8 91
