15	20
2 57	14 54	7 50	8 51	19 47	9 59	10 51	4 48	18 48	5 51	6 43	0 44	15 45	11 57	16 42	12 48	17 54	13 60	1 45	3 47
9 44	17 51	15 42	7 58	6 46	16 58	10 46	11 46	2 51	4 51	13 54	5 49	1 55	0 54	3 52	8 51	12 51	18 52	14 55	19 52
12 51	17 49	13 37	4 57	18 51	2 54	16 45	19 44	5 45	1 56	9 50	11 54	14 50	10 53	0 47	3 55	6 48	7 52	8 56	15 48
18 49	7 43	3 50	13 45	5 43	2 51	15 50	9 51	11 47	8 44	10 46	16 51	0 51	4 61	1 48	19 37	12 53	17 51	6 49	14 42
14 51	18 53	3 38	19 47	9 49	7 47	1 53	15 48	11 60	6 51	12 41	13 55	16 51	4 50	10 50	8 50	17 48	2 45	5 51	0 56
9 40	15 48	7 53	11 56	1 51	3 49	4 51	2 57	10 45	14 43	17 51	5 53	16 55	6 46	8 43	0 50	19 53	18 52	12 46	13 53
6 41	17 47	1 50	18 49	7 54	5 55	10 44	12 57	3 53	8 49	19 53	2 56	4 56	11 46	15 47	13 60	16 50	0 45	9 51	14 53
1 47	9 47	5 48	0 49	15 54	8 51	3 53	11 63	16 55	14 54	2 42	17 42	12 44	7 45	6 51	4 44	10 56	19 50	18 53	13 54
10 56	18 45	13 52	5 48	9 50	0 53	1 42	4 56	7 45	14 54	2 48	16 50	6 51	17 47	11 41	8 45	3 56	15 47	12 54	19 53
2 52	18 50	13 53	4 47	12 49	5 41	19 56	7 47	17 53	6 42	11 52	15 54	3 45	0 47	10 55	14 45	16 53	1 44	8 51	9 45
2 58	6 48	17 51	7 48	18 43	10 58	15 43	14 60	1 48	11 62	16 48	5 50	8 50	3 53	13 53	12 55	4 46	9 55	19 55	0 52
18 56	4 51	16 61	19 44	17 55	7 49	2 49	3 48	9 49	11 49	0 53	12 50	1 50	15 48	8 43	6 47	13 50	14 48	10 52	5 43
14 48	6 46	15 53	19 52	17 56	4 53	0 39	1 55	13 51	10 52	8 50	5 52	7 50	3 58	12 53	11 52	18 48	9 47	2 50	16 53
9 59	12 52	2 45	14 61	0 54	16 54	8 46	11 47	3 49	17 52	5 56	4 55	1 48	19 45	7 51	18 59	6 56	13 41	15 47	10 49
12 54	16 55	0 49	7 50	13 49	10 48	15 51	14 50	11 52	19 50	17 55	5 55	1 48	4 53	18 62	9 56	6 40	3 52	8 57	2 60
