15	10
1 16	7 150	0 61	8 3	3 32	2 39	5 47	6 57	9 47	4 59
1 141	9 16	8 4	3 144	2 15	4 87	7 58	6 117	0 199	5 27
1 60	6 3	4 56	2 38	3 11	5 186	0 187	7 18	8 121	9 88
9 158	4 32	5 80	1 158	6 199	3 131	8 51	0 104	2 169	7 78
9 165	0 52	2 122	4 165	8 158	7 18	1 159	5 8	6 158	3 13
3 114	2 106	5 170	7 77	6 193	0 45	1 7	4 61	8 81	9 196
7 134	3 154	9 119	1 160	8 175	4 145	6 36	0 48	2 31	5 10
7 58	8 182	6 134	4 101	3 95	0 192	5 180	9 73	1 151	2 9
6 57	8 78	7 152	9 161	5 120	3 124	0 105	4 153	2 18	1 50
1 141	9 177	0 18	3 140	7 122	4 91	8 185	2 114	6 33	5 29
4 99	1 131	5 177	8 142	0 124	2 58	9 68	6 18	7 18	3 119
1 154	3 105	7 152	4 90	9 166	0 149	8 88	5 97	6 151	2 13
9 113	1 145	6 165	4 82	5 186	3 26	2 142	8 170	0 177	7 152
7 155	2 148	3 8	6 72	5 17	4 124	9 193	8 140	0 157	1 118
5 44	7 178	0 195	3 119	2 188	8 141	1 40	9 134	6 77	4 115
