40	10
2 73	7 71	3 15	5 40	0 77	4 72	6 86	9 62	8 78	1 27
9 97	7 84	3 87	8 3	1 43	5 94	2 15	6 32	0 45	4 23
1 31	4 42	6 53	5 9	3 82	9 36	0 66	8 19	7 81	2 10
9 69	8 99	0 95	4 5	3 25	2 9	7 13	5 97	1 98	6 3
2 67	7 70	5 23	6 32	0 74	4 91	8 38	9 6	1 24	3 57
5 93	7 58	4 51	8 82	1 44	3 79	6 6	2 33	0 79	9 13
8 23	4 37	2 72	7 16	3 4	9 73	1 41	0 42	6 29	5 5
5 59	3 47	1 64	2 28	7 40	8 98	4 8	0 49	9 11	6 35
0 38	1 19	7 87	2 10	9 47	3 59	5 57	4 63	8 17	6 32
5 40	0 51	1 10	3 94	7 99	8 43	6 12	9 1	2 40	4 14
3 9	2 79	9 90	0 94	5 52	1 97	6 59	7 52	8 92	4 96
7 49	4 75	9 95	5 70	3 74	0 7	8 58	1 58	2 77	6 22
6 61	0 33	9 32	5 71	2 72	1 76	3 47	7 66	4 88	8 83
3 3	1 97	0 30	2 26	9 53	7 54	5 76	8 53	6 11	4 69
2 57	1 32	3 63	5 87	7 48	6 19	4 14	9 95	8 29	0 97
7 43	5 34	8 60	9 29	3 81	2 8	6 94	4 22	0 83	1 70
7 13	5 79	0 97	4 60	2 77	3 28	8 84	6 97	9 96	1 50
7 6	9 40	1 93	2 89	6 10	4 7	3 70	5 13	8 75	0 10
3 4	1 19	2 68	8 33	7 65	4 43	6 55	9 51	5 95	0 45
6 13	4 7	3 81	1 77	0 20	9 92	8 63	5 91	2 98	7 83
6 21	1 23	9 23	4 34	3 70	0 62	8 78	7 82	5 8	2 72
3 89	7 92	1 98	6 86	9 58	8 58	2 43	0 26	4 42	5 63
1 1	0 3	4 19	9 75	3 88	2 80	7 65	6 87	5 32	8 55
4 48	1 85	7 20	9 94	8 44	3 44	6 41	5 11	2 54	0 33
0 39	5 33	7 86	1 53	2 79	8 60	9 64	4 87	3 18	6 87
2 15	3 95	5 22	4 63	1 8	7 76	9 34	0 69	8 12	6 94
4 95	3 68	0 76	6 51	2 55	8 60	5 84	1 82	9 97	7 88
4 24	7 38	6 71	9 86	2 1	1 78	0 83	5 22	3 15	8 97
6 11	2 79	7 95	3 48	8 62	1 51	4 75	5 92	9 52	0 63
3 88	1 29	5 46	7 90	9 81	2 86	4 68	0 77	8 15	6 3
9 22	1 34	5 64	3 8	7 95	6 67	4 86	2 48	0 32	8 1
9 64	2 69	4 43	8 78	1 8	3 42	5 96	7 10	6 39	0 44
4 80	6 85	8 16	5 54	7 63	1 63	0 81	3 43	2 18	9 41
9 50	7 70	8 41	5 73	1 81	0 21	6 89	3 38	2 98	4 5
2 80	8 92	7 59	6 24	9 68	5 65	1 87	3 17	4 13	0 46
4 16	6 80	9 7	5 22	3 63	7 44	2 14	1 70	0 92	8 24
2 63	5 38	0 78	4 75	7 27	8 33	6 28	9 17	1 37	3 4
6 67	9 16	2 86	0 78	4 29	5 19	3 44	1 91	8 9	7 69
7 46	2 46	6 27	4 9	1 21	5 75	3 96	0 56	8 96	9 12
1 44	7 65	0 49	5 15	9 48	6 83	8 85	2 40	3 81	4 4
