60	15
14 91	2 53	1 134	5 114	9 10	11 63	10 138	4 3	8 183	6 126	0 159	12 29	3 3	7 97	13 67
6 117	8 149	10 44	4 24	13 96	9 2	5 87	1 58	14 18	7 179	11 179	12 18	3 76	0 88	2 91
11 18	13 101	0 55	5 76	10 5	8 49	4 54	3 38	7 103	9 117	14 26	12 195	2 27	1 25	6 138
2 22	9 41	11 43	12 93	13 176	0 124	4 178	6 186	10 50	8 72	5 12	1 195	14 124	7 158	3 12
11 189	5 144	6 11	2 177	13 59	12 99	8 113	7 169	14 123	0 199	1 163	4 125	9 119	10 93	3 55
10 115	5 23	8 154	2 136	14 109	13 200	3 103	6 64	9 122	12 58	11 68	4 161	7 70	1 191	0 61
14 145	2 55	1 95	11 143	7 11	0 61	10 136	13 13	12 162	6 74	5 70	8 71	3 179	4 7	9 31
12 41	10 2	6 57	0 16	11 152	9 13	8 136	7 91	5 128	14 93	13 80	4 38	2 86	3 175	1 157
9 9	12 126	11 113	4 199	8 190	2 170	6 157	13 191	1 42	14 14	5 136	3 10	7 108	10 183	0 59
7 61	4 182	13 89	2 104	14 36	1 118	12 194	10 184	0 37	5 130	3 104	9 187	11 187	8 34	6 185
5 85	7 112	2 125	10 6	11 25	0 30	14 98	3 55	1 123	9 59	13 99	8 126	12 124	4 128	6 70
14 13	4 65	11 163	9 24	3 12	10 119	6 12	7 109	13 132	5 24	12 73	2 95	1 156	0 58	8 191
0 134	11 159	10 159	5 150	1 182	14 32	8 155	6 117	2 90	12 84	4 50	3 119	9 5	7 112	13 111
14 40	10 180	4 191	8 52	6 58	11 190	9 130	2 127	1 27	13 74	3 1	5 73	0 33	12 44	7 25
0 110	10 25	11 148	1 143	12 130	9 25	2 28	3 90	5 125	8 68	6 143	14 2	7 111	4 63	13 124
5 92	4 148	8 102	14 165	3 102	10 162	11 98	9 3	13 14	2 112	1 9	0 48	6 114	12 146	7 67
12 141	1 189	8 148	3 63	4 79	9 105	0 167	14 77	5 155	2 172	13 120	7 140	6 89	11 98	10 69
10 191	6 86	0 126	9 135	3 54	1 145	7 140	14 136	2 178	13 176	8 63	11 153	4 67	12 50	5 25
5 153	7 176	14 36	13 196	11 55	8 39	2 94	12 123	10 192	4 177	3 168	0 5	6 165	1 106	9 98
6 188	0 135	14 44	1 133	7 62	12 7	2 141	5 179	8 3	13 15	11 51	3 83	10 8	9 55	4 176
2 189	3 129	14 21	11 106	12 138	10 68	1 22	4 177	13 64	7 36	5 161	6 72	0 68	9 126	8 44
4 102	1 121	7 140	12 89	8 133	5 30	3 125	11 37	6 36	0 121	9 179	13 177	10 94	14 188	2 24
13 2	14 18	0 59	8 129	1 134	5 24	9 96	2 113	11 81	6 30	10 105	7 121	12 129	3 59	4 140
11 68	1 146	14 165	10 152	5 79	7 71	0 127	13 113	9 45	12 61	4 15	3 62	2 90	6 113	8 42
8 157	3 119	9 131	1 103	12 34	13 181	5 78	0 130	6 83	7 200	14 184	10 99	4 95	11 60	2 184
1 42	4 166	6 160	0 43	2 130	8 28	3 59	10 47	5 91	11 147	12 181	14 75	9 117	7 113	13 168
2 73	13 96	3 164	12 155	10 3	0 99	14 83	4 90	9 112	7 171	5 73	11 15	8 151	6 52	1 30
4 74	9 132	7 78	2 139	1 96	11 107	5 54	13 197	12 51	3 114	6 140	10 133	14 118	0 5	8 125
