60	5
3 45	0 92	4 30	2 59	1 23
4 94	1 27	2 92	0 53	3 79
1 40	0 79	3 99	4 15	2 62
1 74	2 22	0 19	4 80	3 71
1 57	2 22	4 83	0 57	3 11
4 78	2 66	1 78	0 79	3 17
1 39	0 83	2 74	4 7	3 5
0 80	4 72	2 25	1 28	3 84
2 77	1 32	3 97	4 20	0 20
3 6	2 85	4 18	1 18	0 66
3 55	1 14	2 72	4 15	0 2
1 18	2 62	4 83	3 84	0 51
2 20	1 32	4 68	0 84	3 68
4 40	0 29	2 79	1 66	3 52
3 17	0 70	4 83	2 83	1 78
4 13	2 71	0 49	3 25	1 11
1 39	3 68	4 75	0 86	2 20
4 4	1 32	3 44	2 15	0 87
3 43	0 25	1 52	4 29	2 91
4 14	1 88	3 32	0 14	2 80
1 82	2 64	4 79	0 55	3 88
2 5	3 51	1 22	0 83	4 49
4 85	0 8	1 77	3 6	2 79
4 96	2 98	1 67	0 85	3 52
0 54	1 78	2 58	4 50	3 32
0 52	4 2	1 23	2 65	3 89
1 11	2 70	0 22	3 70	4 40
3 61	1 65	4 39	0 1	2 36
4 44	1 56	2 30	0 50	3 75
3 34	1 45	4 3	2 41	0 77
3 27	1 92	4 84	0 15	2 94
0 18	4 62	3 43	2 89	1 77
2 19	0 89	1 91	3 8	4 38
3 88	2 39	1 73	4 18	0 39
0 30	4 88	3 6	1 33	2 68
3 43	1 2	4 45	0 13	2 31
3 13	0 43	4 15	1 45	2 58
4 34	2 44	1 44	0 12	3 39
1 55	0 38	3 80	2 14	4 58
2 25	0 10	3 71	4 54	1 69
2 17	0 65	3 33	4 47	1 39
2 90	1 85	0 44	4 72	3 2
1 28	4 76	0 9	2 19	3 22
4 96	3 81	1 32	0 46	2 43
0 33	4 39	2 94	3 24	1 61
4 93	3 92	0 61	2 76	1 89
3 31	2 51	1 50	0 83	4 61
0 98	4 55	3 86	1 16	2 19
1 40	2 31	3 57	4 53	0 95
1 17	4 84	3 54	2 60	0 54
2 55	0 21	3 23	1 13	4 57
3 82	2 13	1 76	0 49	4 76
0 95	4 48	1 85	2 36	3 51
0 67	3 69	1 79	4 80	2 58
1 46	0 33	2 57	4 68	3 33
3 34	1 86	4 92	0 90	2 65
4 83	2 90	3 13	1 21	0 60
0 79	2 32	1 49	3 56	4 2
1 90	2 48	3 15	0 97	4 8
3 85	0 88	2 7	1 11	4 79
