50	15
12 150	3 197	7 185	1 153	11 140	5 56	6 37	4 109	14 189	13 121	0 192	2 85	9 129	10 107	8 4
14 123	13 10	1 80	4 155	0 173	11 113	9 181	8 18	12 191	7 134	2 11	3 108	10 39	5 133	6 5
6 199	4 87	5 36	12 32	0 107	11 100	1 75	9 14	7 44	2 119	8 142	13 61	10 129	3 134	14 47
12 39	10 128	4 21	1 186	6 43	2 78	8 102	13 196	0 107	14 179	3 101	9 68	5 3	7 180	11 146
7 30	9 133	6 78	14 93	10 117	0 33	12 42	2 134	3 62	13 180	8 4	5 105	1 41	11 132	4 176
11 31	9 2	3 198	10 98	8 160	1 2	0 134	12 82	7 113	13 141	6 135	5 182	2 42	4 176	14 29
8 129	7 152	6 93	2 75	10 79	14 62	4 185	0 75	12 149	11 99	3 198	9 83	5 185	13 71	1 22
10 49	11 198	13 15	6 73	7 76	9 107	12 51	5 187	8 64	3 24	14 81	0 181	4 187	2 191	1 131
5 110	13 113	9 26	2 164	6 185	10 36	11 145	12 153	7 37	0 149	3 61	1 27	4 79	14 98	8 33
5 40	7 141	6 190	11 75	12 83	10 100	8 97	1 58	13 115	9 130	3 149	0 4	4 112	2 35	14 120
11 84	7 105	0 36	1 136	6 176	5 80	3 83	10 197	2 18	14 163	9 163	8 183	4 171	12 179	13 174
12 18	11 98	6 189	8 195	13 95	2 46	3 35	5 49	10 115	1 148	7 186	0 186	14 37	4 193	9 74
3 70	6 185	4 6	14 52	8 186	0 99	5 132	12 95	7 107	2 200	10 197	1 12	9 169	11 70	13 100
10 128	8 95	4 116	13 30	11 167	1 109	9 188	0 34	5 198	12 97	14 135	6 52	2 14	7 95	3 128
6 3	2 74	13 182	5 200	3 28	4 50	9 17	11 64	1 197	8 166	10 63	7 134	14 167	0 136	12 118
8 32	0 125	5 75	3 59	13 67	14 185	4 61	10 112	2 25	12 41	7 65	1 158	6 11	11 12	9 136
8 156	12 164	7 152	13 44	9 33	14 182	6 164	1 60	3 180	4 139	2 184	10 74	0 152	5 180	11 14
0 64	5 7	6 34	4 19	12 42	11 167	10 20	8 29	2 114	3 122	14 51	7 165	9 183	13 168	1 46
2 18	9 26	1 9	3 103	6 17	12 133	10 114	8 117	13 150	5 137	0 187	7 168	4 55	14 11	11 41
12 52	3 192	7 190	4 190	0 26	10 78	1 69	9 127	2 36	14 149	13 28	6 161	11 187	5 77	8 51
14 5	13 82	6 43	7 198	9 135	3 43	1 148	4 85	11 75	0 181	12 142	2 107	5 112	8 109	10 182
12 56	5 145	13 100	6 128	8 83	7 93	3 50	1 6	10 86	11 40	2 37	9 148	0 59	14 140	4 45
2 23	7 129	11 75	8 108	0 154	4 115	12 113	10 125	9 80	5 53	1 57	6 66	13 106	14 94	3 146
4 92	11 79	8 11	13 76	14 149	0 163	2 124	6 115	3 79	7 115	9 63	5 180	10 115	1 198	12 27
3 157	14 88	11 167	9 112	13 82	0 84	6 31	1 199	4 62	7 10	2 99	10 160	8 5	12 54	5 51
0 176	7 188	11 126	4 86	10 135	1 125	14 73	5 48	9 100	8 85	13 198	3 18	2 197	6 35	12 52
4 76	2 83	11 140	3 159	10 21	13 144	5 80	6 67	1 19	12 15	7 131	8 142	14 7	9 66	0 128
1 57	13 165	2 22	7 59	4 57	8 130	3 1	0 149	14 141	5 73	12 126	10 162	9 56	6 108	11 169
0 133	10 43	3 170	12 131	2 161	1 134	6 78	14 50	9 105	7 198	13 113	11 38	8 61	5 27	4 78
2 91	4 196	10 125	1 86	7 166	5 75	11 68	12 137	13 69	9 1	14 1	8 7	6 70	3 113	0 163
2 50	12 189	3 35	11 29	13 21	10 136	0 4	4 131	1 101	7 165	8 52	9 132	6 28	5 67	14 153
0 95	12 196	14 4	1 157	5 167	8 75	10 196	11 104	2 132	9 85	7 110	4 191	6 179	13 48	3 197
3 149	14 97	2 77	11 71	13 52	10 38	6 32	4 15	7 26	8 159	5 4	1 64	12 5	0 41	9 36
10 49	1 189	11 146	7 7	2 30	3 138	5 69	8 177	12 98	9 132	6 134	13 96	4 58	0 7	14 139
9 52	10 150	3 188	11 184	13 17	12 169	7 99	6 154	5 17	14 101	2 200	4 137	8 133	0 23	1 10
4 49	5 89	0 50	13 152	7 101	12 158	8 35	9 32	14 41	6 75	3 117	10 31	2 164	11 114	1 75
14 110	7 65	2 122	11 164	8 32	4 197	5 138	12 194	6 161	3 94	0 47	9 132	10 105	13 170	1 68
5 43	0 71	6 122	11 118	12 6	14 126	2 135	1 172	9 184	7 169	13 128	3 41	10 17	8 116	4 140
6 58	5 96	3 175	8 32	4 57	2 76	10 149	12 119	13 32	0 76	11 183	7 67	14 83	9 162	1 42
1 93	8 198	13 80	11 84	14 27	2 91	3 131	7 198	4 138	10 123	12 121	5 12	6 26	9 26	0 179
5 116	11 195	0 161	8 130	4 81	14 127	1 167	2 36	9 51	6 195	13 22	7 16	12 157	10 150	3 180
9 127	8 94	1 56	5 47	10 199	12 199	3 164	6 23	7 29	2 124	13 177	14 122	4 112	11 27	0 92
1 125	4 36	12 173	3 11	9 177	0 35	14 186	2 16	11 199	5 162	7 10	10 42	6 156	13 52	8 74
4 21	1 195	12 152	10 107	13 185	8 24	9 17	3 76	2 159	5 168	14 110	6 20	11 67	0 80	7 175
7 171	8 110	11 131	9 113	12 44	1 3	2 26	5 65	10 171	14 154	0 6	6 152	13 14	4 70	3 88
5 158	6 36	2 127	8 142	12 78	0 71	14 81	13 83	9 140	1 9	3 159	4 32	7 72	10 172	11 194
1 146	10 118	2 11	8 147	12 34	6 44	5 90	9 27	3 130	4 184	0 66	7 71	13 166	11 166	14 1
2 122	6 20	5 196	13 194	9 177	10 158	8 139	14 70	12 37	1 106	4 97	0 11	3 91	11 148	7 92
8 125	14 187	9 65	0 39	5 89	4 52	12 126	6 35	7 51	11 163	13 30	3 178	1 45	10 179	2 82
