30	5
4 54	0 29	2 23	3 88	1 79
1 65	3 3	2 69	4 31	0 77
1 77	2 9	4 1	3 3	0 21
4 77	2 59	3 37	1 79	0 1
0 23	3 76	4 1	1 54	2 64
3 81	1 44	0 35	4 79	2 15
3 63	1 40	2 33	0 56	4 50
3 65	4 29	1 35	0 14	2 77
0 22	1 1	4 70	2 28	3 64
2 13	1 78	0 43	4 87	3 28
2 38	0 9	1 10	4 85	3 98
3 34	0 67	1 84	2 12	4 29
3 59	4 27	2 69	1 20	0 76
3 68	4 17	1 14	0 19	2 39
4 23	3 32	1 18	2 85	0 98
0 17	3 21	2 29	4 21	1 98
4 12	2 6	0 95	3 58	1 82
0 81	2 21	1 37	3 48	4 71
1 53	2 53	3 6	0 9	4 20
0 90	2 20	4 57	3 71	1 52
1 21	4 25	3 49	2 91	0 9
2 7	3 60	4 86	1 43	0 92
2 51	4 43	3 28	0 68	1 4
2 67	0 58	1 70	3 33	4 80
2 78	1 60	3 4	0 15	4 17
1 7	4 69	3 56	0 75	2 13
0 45	2 57	3 33	1 16	4 76
0 32	1 3	3 94	2 39	4 75
2 15	1 42	4 98	0 76	3 65
1 27	3 6	4 30	2 9	0 99
