30	15
7 57	3 200	1 192	9 64	12 105	8 98	4 172	6 174	13 177	10 168	2 136	5 101	0 41	14 107	11 45
7 64	2 198	14 138	13 180	4 176	3 59	9 196	8 34	5 29	1 18	11 193	10 149	6 41	12 122	0 56
6 7	4 93	1 140	2 96	14 169	9 170	8 138	7 91	5 28	13 172	12 118	3 9	0 69	10 154	11 159
5 189	12 59	8 200	13 31	2 141	7 57	1 62	10 74	6 127	14 140	0 51	3 39	11 11	4 134	9 138
13 160	5 12	0 69	14 105	1 83	11 154	3 189	4 15	6 148	10 142	7 161	8 43	12 172	2 86	9 29
4 151	14 30	11 147	1 163	6 195	7 13	5 129	13 115	3 19	8 161	10 68	0 6	12 42	9 33	2 136
6 169	13 126	0 99	12 88	11 137	4 122	2 155	8 3	14 48	5 38	10 115	1 10	9 108	7 125	3 54
4 13	8 65	12 184	11 119	6 84	5 194	1 194	14 164	2 22	7 168	3 136	10 200	0 174	9 25	13 125
4 101	0 106	1 183	2 128	5 146	13 132	6 119	9 64	8 164	10 77	12 121	7 116	3 64	14 151	11 97
13 107	7 50	12 80	14 52	9 147	5 19	8 200	1 193	0 15	6 17	10 183	11 79	2 19	3 13	4 121
7 20	13 99	4 167	12 162	6 70	8 186	0 149	3 1	11 17	1 173	2 199	10 178	5 171	9 97	14 192
12 31	8 59	4 74	1 198	0 26	5 82	7 84	13 200	14 87	10 108	2 1	3 146	6 116	9 75	11 151
12 158	10 138	0 22	11 51	6 47	3 102	7 179	1 65	4 47	14 121	9 118	5 83	8 75	13 19	2 135
13 170	4 85	11 119	2 102	14 82	6 85	0 115	8 165	3 37	5 14	10 148	1 93	12 178	7 118	9 31
7 83	0 6	6 5	4 153	2 123	12 35	14 61	10 121	1 155	9 87	3 107	13 53	5 46	11 104	8 194
3 200	12 10	4 143	6 20	8 1	1 17	14 159	9 21	7 27	0 4	5 19	2 92	10 178	13 164	11 148
2 88	3 16	5 40	4 112	12 9	1 61	6 125	0 124	14 136	9 16	11 148	13 155	8 119	10 32	7 59
2 151	5 17	10 132	1 171	8 95	0 99	9 68	12 67	4 64	7 46	14 177	6 181	13 196	3 99	11 54
14 194	9 96	4 128	0 78	3 13	12 52	13 47	6 149	11 81	8 164	10 8	5 179	1 172	2 128	7 171
5 104	2 107	0 106	10 189	3 180	14 180	4 149	11 159	6 28	12 16	1 103	7 101	13 41	9 9	8 177
3 79	2 192	14 128	7 145	5 35	1 117	4 113	12 37	11 152	9 112	6 105	10 65	8 44	13 152	0 175
1 147	11 97	8 173	3 153	13 57	9 86	12 177	14 104	7 119	10 32	2 143	0 175	5 118	4 137	6 102
1 149	3 79	9 166	12 145	6 44	10 139	2 65	4 12	11 100	0 17	5 175	8 103	14 120	13 9	7 1
14 9	6 193	13 140	9 69	0 147	7 128	5 48	1 73	4 137	12 176	3 29	8 183	2 140	11 113	10 32
9 173	14 28	5 180	11 117	12 144	6 9	7 118	4 145	3 171	2 37	1 177	10 7	0 150	8 158	13 189
5 155	11 25	13 59	12 176	9 112	2 24	14 47	7 151	4 106	6 3	3 67	0 63	1 91	10 160	8 2
6 50	13 161	11 159	4 35	12 189	5 90	9 11	2 101	8 47	3 73	0 108	1 189	7 15	10 96	14 172
1 139	11 200	9 15	2 200	5 140	7 97	8 84	4 185	3 181	14 117	6 23	13 53	10 194	0 165	12 68
10 67	1 159	7 59	3 17	12 143	0 70	14 152	5 7	11 169	13 128	6 193	2 143	9 12	4 38	8 172
7 189	0 35	2 105	1 98	12 34	5 56	14 3	4 73	9 61	13 126	11 193	10 83	6 94	8 94	3 100
