20	5
4 184	3 105	2 168	0 129	1 37
4 9	3 25	2 185	1 35	0 134
4 104	3 97	2 30	1 166	0 60
2 166	4 191	1 193	3 187	0 122
3 42	0 146	1 26	2 85	4 105
2 14	1 141	3 36	4 173	0 45
0 47	3 92	1 49	4 38	2 29
3 65	4 136	2 61	1 169	0 29
1 199	4 81	0 163	3 128	2 189
2 149	1 30	4 89	0 20	3 15
0 195	1 102	2 61	4 55	3 98
4 61	3 146	0 69	2 21	1 47
2 121	1 37	3 191	4 176	0 170
1 98	3 144	2 29	0 190	4 38
2 39	0 166	4 121	1 61	3 77
3 68	2 92	0 166	4 141	1 38
0 26	2 29	4 54	1 19	3 51
3 53	4 174	1 133	2 84	0 197
2 69	3 28	0 107	4 118	1 139
4 75	0 174	3 176	2 137	1 30
