30	20
17 95	14 176	7 146	5 126	4 65	0 35	10 177	6 62	16 85	11 169	2 44	15 158	18 142	8 72	19 46	3 111	9 14	12 175	13 57	1 141
18 76	11 23	19 158	14 196	15 127	16 35	13 61	10 54	17 189	8 46	12 87	7 68	6 139	0 179	3 161	9 158	5 200	4 68	2 101	1 37
7 154	9 84	0 127	6 138	15 92	5 90	3 120	11 120	17 87	4 20	10 190	14 112	1 109	18 47	13 180	8 194	19 13	16 170	12 64	2 90
17 69	11 25	4 18	13 20	1 25	15 115	5 100	3 44	10 13	19 126	16 12	7 32	9 23	12 118	18 80	0 140	8 80	2 180	6 28	14 104
17 169	0 111	3 114	5 28	18 39	4 150	9 26	1 95	8 164	14 130	6 27	16 53	2 46	19 92	12 164	7 158	10 98	13 165	15 192	11 142
4 61	0 118	17 176	13 112	19 1	14 198	7 69	6 117	5 64	1 156	3 40	2 133	8 143	16 181	9 70	18 82	11 45	12 187	15 51	10 21
18 129	6 32	11 142	8 127	19 86	14 175	15 144	2 91	3 123	13 152	5 150	7 65	9 194	17 29	16 9	1 82	0 76	12 60	4 189	10 148
14 18	8 7	2 142	6 47	18 173	17 120	1 83	16 87	4 61	9 188	5 114	12 100	19 6	7 15	3 171	15 184	11 116	13 33	0 191	10 93
8 55	9 114	4 187	14 173	3 120	10 172	13 85	0 3	1 106	5 60	15 70	17 12	16 13	12 44	19 47	18 33	11 165	6 30	7 109	2 70
4 133	2 32	12 187	11 158	14 89	10 48	15 199	1 53	3 48	0 146	5 192	9 123	8 183	7 161	16 188	18 23	13 191	17 124	19 117	6 4
4 11	2 17	16 3	12 170	9 38	11 83	10 120	13 95	17 58	5 22	14 5	7 20	1 95	3 9	18 15	15 167	6 116	0 27	8 42	19 197
10 5	18 36	5 188	0 152	4 106	11 51	12 88	15 147	19 184	14 151	17 145	2 6	8 120	3 42	6 2	7 119	16 87	9 192	1 98	13 95
9 198	7 4	8 101	13 56	11 125	3 6	14 196	1 74	12 19	5 153	17 193	0 125	10 93	2 45	19 157	4 40	18 12	6 184	16 144	15 102
14 74	16 200	10 54	0 40	8 158	1 45	12 37	4 20	7 59	3 157	15 179	11 107	18 16	19 61	6 113	9 157	13 128	17 102	5 73	2 172
2 138	16 23	8 189	6 115	1 73	15 188	7 19	12 175	3 108	4 35	14 26	10 25	13 7	19 79	11 151	9 19	18 114	5 34	17 144	0 34
4 50	7 22	19 107	8 10	5 2	3 81	14 99	16 71	17 7	6 159	1 83	10 177	12 93	11 12	13 146	15 10	0 183	2 5	9 71	18 2
3 140	2 73	15 185	18 181	6 54	4 63	1 39	8 53	19 134	7 174	13 126	10 129	17 139	11 53	9 165	12 191	14 183	0 135	16 147	5 71
3 82	16 6	1 84	12 70	19 79	17 100	4 98	13 149	9 138	15 164	18 119	10 123	8 53	11 27	7 15	2 187	0 23	6 136	14 129	5 100
16 122	2 156	1 35	9 106	6 16	12 114	5 102	13 58	18 39	0 108	17 122	4 117	11 113	8 75	3 78	14 25	10 180	15 104	7 48	19 31
16 79	6 181	3 142	12 31	10 7	11 17	15 188	8 31	2 118	4 7	1 58	18 19	9 175	19 163	0 133	14 46	17 11	5 56	13 131	7 110
12 89	10 124	17 81	2 154	4 46	18 7	15 103	16 20	8 168	3 37	1 72	13 51	14 120	19 14	5 4	11 114	0 141	9 51	7 179	6 150
2 48	1 16	6 64	10 74	16 102	19 82	17 19	7 110	13 189	9 44	12 103	8 32	15 175	3 165	18 32	4 116	0 12	11 168	14 106	5 23
13 159	15 54	4 69	1 167	11 11	12 5	16 82	5 74	2 29	7 53	17 14	10 148	18 79	9 125	6 1	3 109	14 160	0 153	8 68	19 96
15 18	11 159	2 100	8 198	6 104	17 156	7 162	0 170	19 164	16 165	10 44	4 76	13 162	9 105	14 166	3 177	18 15	5 56	12 8	1 163
13 59	2 21	1 92	4 91	7 86	0 99	11 9	17 80	15 47	8 102	9 99	10 110	16 65	12 74	14 91	6 110	18 148	3 186	19 65	5 196
0 26	3 166	16 151	5 139	19 10	9 111	8 179	14 156	17 141	10 16	12 81	11 33	18 181	6 75	1 120	4 102	15 168	13 51	2 196	7 197
18 67	3 46	7 24	17 93	9 74	1 6	5 101	6 36	15 135	10 157	12 185	4 61	19 22	13 82	16 139	11 184	14 112	8 92	2 2	0 102
10 118	14 185	5 131	6 128	4 27	8 7	1 79	17 11	9 170	18 89	13 86	11 51	0 68	7 68	16 120	2 111	19 53	3 148	12 5	15 39
8 186	2 180	11 69	3 175	9 73	17 135	15 120	10 47	14 67	5 59	12 148	18 110	16 113	7 125	0 146	1 41	6 76	4 139	13 86	19 30
18 128	17 24	6 181	14 4	3 34	10 91	11 32	2 152	0 175	8 129	7 32	9 59	19 31	1 45	5 166	4 55	12 66	15 144	13 146	16 5
