15	20
1 100	4 91	10 52	9 50	16 61	13 67	12 187	7 62	11 159	0 171	6 175	18 186	2 30	5 50	3 8	8 142	14 23	15 21	17 196	19 128
8 18	13 96	18 33	12 133	15 175	17 128	1 59	2 112	16 183	4 6	0 57	11 163	5 20	19 188	3 130	7 18	14 125	6 172	10 156	9 14
9 29	16 65	3 51	19 78	15 87	13 21	14 168	8 182	2 48	18 154	1 122	7 89	11 163	5 77	12 175	6 48	10 27	4 145	0 139	17 77
2 106	19 20	15 95	11 91	1 89	4 190	7 97	8 75	10 195	16 159	14 123	3 122	17 100	5 175	9 71	13 5	12 33	6 163	18 128	0 45
11 142	5 121	2 86	14 117	13 137	17 18	10 199	18 176	4 104	6 184	9 57	7 142	8 171	1 5	0 193	19 21	15 135	12 41	16 15	3 167
4 180	8 22	11 43	6 191	15 178	16 89	2 162	0 48	1 150	7 167	13 127	19 153	9 173	17 81	10 138	14 100	5 25	3 10	12 7	18 5
18 102	3 63	6 24	16 170	13 71	19 117	10 25	9 73	7 166	17 1	2 1	15 184	14 101	0 74	5 118	12 29	1 194	4 70	8 47	11 56
15 29	19 64	9 128	0 151	16 125	1 19	14 27	13 135	7 142	17 14	8 158	3 5	18 5	5 39	6 88	2 20	11 48	4 142	10 8	12 79
13 136	7 160	17 114	0 186	5 63	6 164	15 160	11 157	16 117	3 134	1 127	9 186	10 88	4 73	8 56	14 148	2 113	19 163	12 56	18 86
17 108	1 200	9 71	6 199	8 120	10 65	12 11	5 132	16 108	18 75	7 182	14 31	11 56	19 160	3 164	0 124	13 185	4 190	2 132	15 3
9 3	10 168	6 82	4 3	18 140	15 72	11 132	19 111	16 35	0 66	2 152	1 166	5 146	14 112	12 170	7 37	8 173	17 5	3 54	13 21
18 1	12 152	8 93	7 41	9 15	14 134	6 23	3 106	17 168	1 125	16 61	0 23	10 171	13 94	19 138	2 171	5 42	11 164	4 51	15 58
17 16	6 123	13 97	16 165	15 160	9 43	0 197	1 163	8 113	5 114	2 39	10 33	12 103	4 183	7 83	18 13	14 184	11 45	3 26	19 151
6 11	3 129	5 144	13 85	16 142	12 77	15 66	18 17	8 109	14 31	9 89	0 157	10 32	17 168	1 128	11 66	2 81	4 113	19 7	7 131
5 79	13 149	18 16	17 105	15 127	11 72	12 21	2 23	19 198	7 68	6 187	8 24	4 88	16 51	9 182	1 16	10 107	14 71	0 18	3 17
