15	100
84 14	94 16	92 99	99 94	28 2	70 77	79 41	15 79	16 42	58 22	34 58	74 97	4 90	66 59	52 42	41 93	81 97	20 8	48 12	68 52	56 9	37 86	7 15	98 45	43 54	73 11	85 23	46 98	80 7	88 27	3 21	61 89	0 20	96 20	72 26	22 57	57 47	11 36	13 36	62 91	39 50	95 95	38 85	78 81	64 15	91 7	86 19	54 42	97 24	1 13	93 61	6 24	17 33	77 10	67 36	8 94	76 53	45 45	36 59	31 90	82 85	44 83	63 36	12 3	23 74	90 58	10 9	21 61	69 11	2 40	33 53	87 62	25 34	89 30	27 41	65 86	9 13	35 32	30 10	75 64	19 30	32 36	24 49	60 26	40 13	42 68	59 45	83 36	53 82	29 79	49 98	14 3	47 75	55 32	18 57	26 97	51 80	71 13	5 82	50 35
37 30	78 70	80 11	63 34	99 78	61 45	27 8	90 2	94 65	33 15	36 30	4 7	75 22	55 5	19 47	51 66	11 7	88 57	46 76	31 80	60 88	95 95	71 83	68 14	8 95	12 35	0 77	39 99	1 43	28 55	76 85	57 73	49 10	9 69	38 81	82 31	6 38	21 38	74 92	87 90	52 77	40 76	44 55	53 45	24 34	64 18	84 50	5 90	17 95	66 51	20 83	89 34	43 11	97 97	7 43	50 37	59 65	86 36	58 4	62 1	81 64	41 26	14 17	10 59	35 66	45 57	47 78	96 10	92 33	42 46	34 39	32 64	93 35	26 40	30 83	98 21	18 4	69 25	77 85	83 20	56 23	72 7	54 29	23 12	29 46	70 69	2 16	67 91	25 15	91 83	79 76	85 80	65 52	22 1	15 62	3 30	13 79	48 6	16 19	73 93
2 72	79 88	39 19	73 87	26 58	46 7	47 46	74 64	7 99	29 53	82 7	6 92	25 98	42 94	55 8	28 65	5 6	52 20	33 85	43 20	51 56	96 45	95 44	56 42	19 76	57 66	93 52	0 70	78 49	84 12	4 69	44 80	68 51	65 45	11 19	30 17	13 2	53 24	36 12	61 17	91 35	89 90	75 52	17 13	15 7	69 32	21 89	12 14	9 33	37 96	23 52	34 63	27 24	49 86	32 38	10 92	40 25	77 77	45 13	3 89	14 31	63 75	50 71	8 25	81 51	86 94	62 77	94 95	76 87	1 21	24 65	67 75	35 46	85 94	16 86	22 48	18 55	71 62	88 97	59 26	48 27	66 30	97 23	98 63	60 61	87 8	54 56	92 41	72 8	58 78	20 70	31 9	80 59	83 9	41 47	99 1	38 99	70 72	64 82	90 61
28 77	76 55	1 47	51 87	10 20	11 57	62 62	43 69	2 24	21 35	91 91	95 37	96 37	75 39	5 71	8 68	29 66	79 73	17 76	16 62	41 77	19 33	63 77	31 12	97 35	87 75	39 6	6 25	22 74	53 96	25 36	54 89	67 23	78 51	48 85	38 71	99 83	72 57	69 43	56 52	59 67	85 16	50 73	66 77	73 7	80 65	15 74	24 70	0 68	82 34	65 97	58 70	32 35	52 6	27 77	57 53	93 70	26 85	60 14	64 39	46 59	14 84	49 99	71 78	4 49	83 6	77 84	35 77	88 76	9 51	81 90	12 1	55 69	89 85	7 46	36 12	86 27	68 21	90 69	44 82	20 9	37 67	70 39	40 12	33 85	47 18	98 20	61 5	45 77	92 22	84 6	30 5	94 26	3 34	23 84	42 72	34 63	13 93	18 17	74 80
84 58	70 51	92 21	46 22	7 49	0 2	81 88	35 75	83 90	80 87	38 8	25 87	87 13	61 18	16 82	36 17	34 49	37 76	11 56	53 94	94 54	31 79	58 47	62 40	42 54	26 37	15 79	24 71	90 5	88 64	77 80	55 98	4 52	27 42	22 40	74 43	64 49	13 15	59 62	32 12	28 68	49 57	5 55	95 17	79 31	47 20	40 55	54 50	39 28	29 62	89 9	67 62	18 59	43 32	76 54	63 5	45 19	72 53	56 65	44 97	96 35	20 64	2 57	1 58	10 13	41 80	33 29	12 44	17 5	48 77	60 15	91 23	68 22	66 34	85 7	78 90	9 16	23 32	93 51	82 42	75 60	19 79	57 87	73 5	69 39	6 75	51 60	14 96	65 8	8 96	71 53	3 32	98 92	97 8	99 58	52 4	30 53	21 78	50 28	86 52
80 81	98 82	75 61	86 35	29 20	65 48	32 11	69 58	16 80	38 42	81 58	6 22	94 59	24 63	9 58	15 84	43 21	49 85	48 59	74 47	50 99	55 49	62 19	72 10	10 49	90 12	42 15	26 83	36 87	68 18	0 58	8 72	31 94	93 95	83 76	99 49	23 66	25 74	46 85	11 30	22 43	92 46	57 96	37 63	56 78	12 14	19 92	41 14	47 76	61 25	59 90	13 80	27 27	40 98	14 60	44 71	88 57	58 9	77 62	97 60	1 71	45 16	30 48	60 6	71 51	28 21	2 73	82 72	64 71	35 83	51 53	76 30	66 99	95 63	3 12	7 86	67 92	53 21	39 12	84 26	63 97	85 90	54 67	33 1	89 68	5 69	52 55	70 90	20 64	78 82	17 76	73 62	4 51	87 87	18 25	21 20	91 58	79 44	34 48	96 58
46 65	7 48	72 47	90 2	11 79	80 99	73 28	60 18	50 14	12 43	88 21	18 27	26 19	23 28	97 80	67 11	19 63	38 28	64 36	83 45	43 58	21 64	75 11	8 64	39 50	66 11	93 96	81 99	10 77	49 59	94 53	99 52	0 68	74 98	34 25	44 7	52 9	70 24	77 36	36 48	1 36	14 15	82 35	15 18	58 60	9 38	45 87	55 69	24 92	25 34	53 6	85 66	98 36	31 10	5 63	29 84	56 45	91 44	48 89	42 63	65 59	87 79	61 9	32 75	41 48	57 26	51 58	3 66	69 52	22 54	59 71	62 22	2 91	95 35	76 96	28 71	17 93	40 7	4 51	92 22	33 25	20 9	16 66	13 60	37 1	86 99	27 96	63 64	54 81	96 85	47 77	84 97	30 16	89 21	78 70	6 35	35 4	71 48	68 65	79 58
87 1	59 46	54 58	22 46	78 12	98 54	75 23	25 1	32 7	16 11	21 17	89 93	94 58	17 81	90 83	47 40	63 7	3 92	85 86	13 61	43 15	10 97	66 8	19 13	0 56	35 69	82 94	65 51	8 9	81 3	15 70	36 71	5 94	93 35	23 76	74 24	61 50	49 93	50 64	99 55	73 41	44 17	80 88	38 20	51 31	88 28	83 7	28 46	96 41	52 40	26 31	70 90	69 12	27 42	64 34	48 81	18 26	20 89	12 86	42 83	56 47	77 72	60 19	46 44	33 37	53 49	29 1	62 8	76 40	11 50	41 87	40 64	58 70	71 70	39 34	34 17	31 20	30 46	72 96	14 82	9 38	37 97	55 87	24 97	95 96	67 20	79 18	68 98	2 80	7 61	97 2	1 23	84 26	91 22	4 53	92 10	6 65	57 53	86 27	45 38
33 77	11 99	86 33	28 89	51 78	82 65	99 33	48 97	63 71	91 25	72 96	8 80	45 5	67 89	87 17	5 90	42 52	39 11	97 12	98 6	75 42	90 92	49 96	85 98	32 27	89 83	60 59	37 82	18 57	29 10	24 67	96 72	64 31	84 76	22 72	41 61	23 81	81 65	38 63	19 38	70 23	34 94	1 25	92 14	65 48	68 48	21 6	20 2	17 83	79 21	88 90	77 30	54 99	31 37	7 74	26 35	52 80	61 31	76 20	59 75	78 40	3 37	10 87	27 47	62 17	53 29	12 31	94 46	43 16	73 47	55 75	66 32	74 25	83 82	50 59	69 57	14 88	6 14	58 48	25 49	0 52	30 42	44 64	56 7	71 39	9 28	80 31	95 93	93 75	36 46	16 68	40 71	57 34	47 44	35 8	13 96	46 53	2 90	15 97	4 55
44 88	16 22	57 86	48 70	35 55	83 9	42 40	32 68	13 36	70 83	62 92	78 75	8 79	36 87	87 36	45 66	7 89	68 93	82 78	3 71	95 15	59 83	33 94	61 80	54 40	46 48	86 13	98 91	26 44	40 28	29 32	41 15	34 48	71 70	21 6	43 26	14 72	11 72	0 81	55 96	24 86	96 96	51 12	50 64	49 78	79 72	25 95	58 79	65 75	99 33	47 71	12 56	69 74	84 5	37 80	72 25	97 6	15 37	91 33	22 78	64 56	63 26	74 18	56 83	88 8	94 96	31 19	19 42	92 33	5 17	73 72	85 77	1 44	76 77	53 49	27 83	75 84	17 50	77 87	10 70	28 77	23 11	52 80	20 87	90 38	2 38	81 27	6 71	9 45	30 16	89 39	38 84	60 89	4 64	18 64	39 20	66 62	67 20	80 26	93 54
1 51	51 27	26 28	76 67	70 76	11 27	39 41	30 43	41 37	36 63	62 52	9 95	71 20	91 43	19 83	12 43	80 46	34 42	73 1	35 45	15 1	98 24	42 8	94 6	75 71	58 74	25 2	20 39	54 92	53 65	60 11	28 36	13 36	79 99	61 1	6 24	99 75	5 54	47 28	56 1	23 79	40 74	83 32	78 17	50 90	88 43	33 60	59 52	48 46	96 71	68 53	17 80	92 63	7 47	27 96	38 24	89 32	0 5	46 39	8 4	65 47	74 6	29 1	90 12	37 96	3 25	82 9	44 44	67 82	21 22	87 17	84 41	43 3	14 76	66 80	85 27	64 13	49 38	81 18	97 39	93 50	31 44	16 5	77 58	95 42	69 67	2 87	63 80	86 99	22 61	57 17	4 73	32 3	45 5	55 6	10 69	72 11	24 49	52 55	18 73
