30	20
7 57	0 79	17 42	14 150	1 198	19 33	2 16	18 67	5 178	9 64	12 145	11 128	3 56	15 165	6 146	13 138	8 61	16 118	10 163	4 36
16 179	10 170	0 39	5 14	3 107	8 127	6 165	13 34	7 181	2 159	15 176	11 193	18 162	14 128	1 199	4 49	19 60	12 22	17 101	9 116
14 55	8 101	15 38	4 117	9 146	11 8	2 38	7 36	13 148	5 110	0 108	16 142	10 40	6 176	18 138	17 16	3 20	19 21	1 46	12 77
15 12	3 172	13 101	0 200	2 56	12 78	5 22	19 157	9 22	14 118	18 43	17 115	16 48	1 98	10 33	4 2	7 140	8 123	11 20	6 10
16 67	8 153	11 151	13 3	15 182	2 81	1 141	12 35	19 113	5 173	14 41	7 101	4 49	3 4	0 175	6 37	10 40	17 156	18 82	9 168
17 185	12 34	7 135	19 196	18 134	8 2	14 42	2 72	1 87	5 68	6 132	0 160	4 179	11 93	9 102	13 198	3 172	15 146	16 70	10 37
19 147	4 91	5 126	15 165	7 177	11 9	10 21	0 183	16 51	9 118	18 152	17 191	12 193	13 27	1 113	3 174	6 69	14 22	2 139	8 199
11 22	0 188	16 80	12 176	6 157	8 198	2 121	17 163	14 141	10 99	13 65	19 40	5 97	18 174	3 183	1 162	7 116	4 140	15 27	9 40
1 188	4 37	6 123	12 112	2 76	0 195	8 188	7 83	14 40	9 173	11 142	10 19	5 103	3 143	15 187	13 74	17 10	16 187	18 161	19 43
18 115	19 31	1 112	9 168	5 54	14 190	4 106	2 112	10 197	17 67	13 104	12 185	0 33	7 80	11 162	6 83	8 157	15 131	16 32	3 97
19 198	5 105	11 114	16 74	13 69	7 182	8 77	4 125	15 87	6 132	10 160	12 164	3 126	1 102	0 27	17 161	9 77	2 153	18 170	14 28
13 95	12 95	15 185	17 115	2 87	6 80	18 85	16 164	8 140	11 105	10 50	3 117	19 192	4 144	7 65	1 20	5 107	0 43	9 67	14 56
14 47	17 200	2 39	1 63	18 174	0 174	19 174	10 78	9 47	16 47	6 81	12 154	4 158	15 101	3 93	5 90	7 43	11 166	8 25	13 88
5 92	2 149	15 6	10 15	17 30	8 152	7 149	6 157	19 85	12 73	18 155	1 24	9 180	13 200	0 91	3 46	14 142	4 6	11 126	16 138
19 160	0 93	16 189	8 191	14 149	5 179	7 196	12 95	1 5	13 125	9 142	4 80	15 144	17 88	11 189	6 3	2 161	10 61	3 7	18 190
13 174	15 27	14 24	17 9	4 194	0 143	10 48	6 19	2 199	7 12	1 167	8 33	5 154	11 96	18 175	9 58	3 86	16 23	12 16	19 173
9 171	15 7	1 85	0 150	13 53	3 88	12 5	10 184	4 17	2 147	16 169	18 28	6 111	7 168	11 3	5 173	19 49	14 198	17 130	8 137
2 19	0 67	17 38	5 80	14 141	10 183	16 106	15 40	11 111	3 34	8 123	18 173	12 155	19 22	6 8	9 6	1 42	7 177	4 117	13 181
6 147	19 98	12 190	10 81	16 2	14 143	11 16	0 91	13 61	1 134	18 133	5 84	15 59	3 185	2 163	8 109	7 159	9 6	17 26	4 197
16 154	19 40	11 58	0 139	17 63	3 178	12 27	9 194	13 93	7 164	18 33	2 7	15 145	14 79	5 63	8 136	6 80	1 136	10 14	4 79
5 82	9 141	11 111	7 36	15 49	16 141	8 110	6 103	10 161	17 60	13 22	2 140	19 146	0 53	18 33	4 152	12 126	3 105	14 99	1 7
5 57	9 70	18 172	8 102	7 93	11 191	13 11	14 51	10 131	3 53	12 126	2 194	6 157	0 90	4 85	15 40	1 52	16 10	19 181	17 67
16 71	8 7	10 77	4 82	5 45	17 133	2 67	9 81	19 94	14 153	7 144	12 24	3 51	15 130	18 187	6 177	0 138	13 154	1 177	11 2
13 90	6 143	5 72	1 20	17 44	7 136	8 71	3 76	2 125	12 35	0 130	11 16	9 97	18 64	10 193	19 14	15 161	14 22	16 81	4 48
12 60	14 67	7 65	0 70	16 23	13 85	19 33	4 4	8 156	1 123	5 176	10 51	3 149	11 200	6 193	18 200	15 98	2 86	9 119	17 89
0 91	4 113	12 68	5 187	14 50	7 176	18 6	19 20	10 15	1 49	16 144	11 24	15 35	13 186	3 21	2 41	8 115	17 10	9 94	6 40
10 6	11 185	14 109	1 120	7 29	4 114	9 80	5 100	13 25	3 126	18 199	6 193	0 123	12 53	2 1	15 46	16 184	19 36	8 17	17 132
7 158	2 117	10 139	15 20	9 137	12 80	3 73	0 102	4 49	13 141	5 50	8 181	17 94	14 65	1 22	18 87	16 157	11 167	19 112	6 148
10 13	0 155	7 149	14 138	15 92	18 7	16 169	12 38	4 140	6 49	19 9	17 124	5 70	11 192	2 177	3 9	13 71	9 142	1 29	8 174
6 87	3 23	17 63	8 109	4 189	13 198	16 134	0 153	14 115	11 75	1 173	19 55	18 83	5 139	10 99	2 107	15 52	7 199	9 64	12 36
