50	20
17 140	9 52	11 18	6 72	18 188	2 107	1 145	8 38	12 189	0 25	14 117	16 101	10 84	13 170	5 50	15 162	19 117	7 17	3 53	4 65
9 53	10 180	8 52	14 61	18 61	15 129	2 92	13 80	0 98	4 95	12 186	7 152	11 143	5 159	17 136	1 121	3 110	16 49	19 35	6 107
14 6	10 6	7 29	17 199	18 32	4 49	15 118	5 132	19 136	9 106	2 13	1 34	0 189	8 91	16 112	13 90	6 29	11 80	3 28	12 100
10 108	6 100	18 150	8 200	5 197	13 119	7 117	15 174	3 192	1 23	2 82	0 33	11 127	16 193	4 153	9 146	14 165	19 95	17 155	12 38
8 121	1 114	14 57	2 95	4 140	9 152	5 128	16 93	6 189	12 183	7 92	18 25	11 123	13 117	0 57	15 130	19 104	17 164	10 188	3 138
4 135	9 111	8 51	6 64	17 1	11 17	15 109	18 78	1 75	2 172	3 53	16 59	5 63	14 95	10 164	0 84	7 3	13 2	12 41	19 81
7 180	8 65	13 13	11 182	2 14	14 132	4 167	5 160	1 52	9 52	19 186	3 178	15 144	17 191	18 122	16 182	0 44	12 196	6 43	10 191
13 117	4 10	19 146	3 110	5 96	6 132	17 22	16 196	8 181	0 91	2 135	12 12	1 112	7 161	11 111	9 132	15 39	10 121	18 140	14 158
17 26	3 147	11 55	19 162	16 81	15 76	5 95	13 136	10 81	2 71	9 186	6 10	18 106	1 80	7 48	0 6	8 175	4 123	14 195	12 154
19 58	14 62	7 183	6 45	11 91	18 134	2 77	8 65	10 154	9 170	17 55	13 11	1 189	12 152	4 6	16 148	3 2	0 143	5 57	15 5
6 40	10 167	17 9	1 170	15 152	3 76	5 145	8 84	0 55	9 66	16 12	7 188	2 5	18 169	4 11	11 30	13 17	14 188	12 145	19 75
13 71	0 1	17 100	14 123	9 189	18 121	11 49	16 128	2 64	3 39	15 97	1 62	6 96	8 57	7 70	5 5	12 161	10 191	19 91	4 19
15 18	10 76	14 174	1 91	4 68	11 122	6 71	18 163	12 78	9 62	0 22	8 52	17 110	7 129	2 118	19 134	16 125	5 27	3 104	13 135
15 99	2 142	14 124	3 109	5 74	9 71	4 123	8 22	16 178	19 162	6 85	17 155	13 87	11 86	12 189	7 104	0 184	1 174	10 125	18 72
13 128	16 104	5 109	8 146	14 163	3 174	4 92	2 110	7 196	11 117	17 106	12 157	18 10	19 61	15 157	0 65	6 197	9 12	1 135	10 74
7 59	6 52	0 77	2 120	11 149	1 165	19 48	18 80	12 191	10 185	8 121	13 76	17 92	4 176	3 165	9 146	5 106	15 134	14 129	16 170
16 15	7 35	12 78	14 80	18 44	4 109	17 69	2 110	15 189	6 47	10 165	1 158	0 86	11 106	5 62	8 170	13 150	19 73	9 200	3 156
12 44	14 50	15 111	7 70	11 118	10 17	5 148	8 159	3 70	13 101	9 79	2 76	6 45	18 65	4 196	1 80	17 153	19 143	0 81	16 74
13 133	10 102	15 173	1 40	18 114	16 186	0 90	7 30	2 79	4 149	9 69	19 99	5 39	14 182	12 8	11 2	8 7	6 57	17 122	3 90
13 189	1 101	11 70	9 61	0 51	3 153	5 116	10 197	12 165	16 112	15 20	8 33	19 36	18 176	6 109	14 21	17 182	4 195	2 62	7 81
13 185	16 121	4 191	3 133	1 187	11 163	6 41	0 44	2 69	15 185	8 28	19 179	7 4	5 117	14 27	18 143	12 59	17 79	9 101	10 169
15 15	1 21	16 47	9 170	11 83	6 199	7 25	5 183	18 199	12 100	0 101	4 105	2 132	13 95	8 127	3 124	19 68	14 67	17 128	10 43
14 148	9 151	13 182	7 69	16 126	10 164	12 40	2 60	0 15	3 163	8 174	19 69	4 84	5 137	15 31	17 39	11 110	6 132	1 99	18 44
8 108	16 47	4 74	13 138	10 134	11 150	7 116	3 159	6 22	9 14	0 56	1 123	19 80	14 8	5 39	17 67	18 25	2 51	15 126	12 167
4 134	10 82	9 151	17 188	2 154	5 98	3 170	0 79	7 66	19 80	8 115	15 141	12 21	14 86	11 172	13 25	18 153	1 28	16 196	6 152
12 157	4 96	2 153	7 6	5 101	17 168	1 140	19 85	14 119	18 17	6 58	13 189	10 189	11 173	0 133	16 163	15 164	3 81	8 59	9 69
1 76	3 6	0 59	18 85	17 183	13 145	16 99	8 103	11 66	12 141	19 184	15 31	9 9	5 10	14 100	7 198	2 74	10 37	4 195	6 77
13 144	18 145	4 84	0 29	15 5	19 79	6 192	2 190	11 147	10 17	8 138	5 74	14 112	7 41	1 115	9 173	12 28	17 178	16 151	3 119
10 63	13 200	1 127	9 162	11 154	3 188	16 178	19 2	2 19	15 40	18 114	14 72	12 163	4 34	8 155	6 110	5 62	7 85	17 53	0 140
12 140	6 80	9 159	14 16	7 55	19 141	15 142	11 173	16 115	3 178	10 4	0 65	4 49	17 33	5 106	8 85	18 199	1 148	13 39	2 33
4 79	6 64	16 106	13 183	7 184	10 192	11 152	17 133	14 2	19 71	2 72	1 137	15 172	12 119	18 198	3 1	5 88	8 146	0 172	9 36
15 86	2 70	16 149	17 182	3 66	14 81	9 30	10 29	4 190	0 180	5 192	7 15	13 131	18 99	6 118	19 59	12 152	11 136	8 132	1 129
10 140	18 67	1 130	14 117	3 125	0 32	4 122	6 103	2 198	5 180	7 66	16 37	9 174	15 159	8 142	11 17	17 169	19 14	12 92	13 166
16 41	15 97	7 48	14 131	17 22	9 199	19 72	12 164	10 35	2 92	13 193	6 54	3 29	0 154	11 117	8 9	4 13	1 187	18 177	5 135
13 138	17 123	10 14	2 131	4 104	3 72	18 55	0 77	7 31	14 101	9 102	16 134	15 145	12 58	8 181	5 178	11 120	19 39	1 118	6 185
19 60	13 174	17 195	10 147	11 192	2 2	4 53	15 26	3 34	9 47	7 45	1 144	8 89	18 113	0 161	5 3	12 98	16 100	6 154	14 178
9 128	3 38	15 137	2 106	7 38	6 104	0 28	17 20	11 20	8 162	12 1	16 35	19 151	18 72	14 131	1 18	4 193	5 122	13 52	10 194
18 4	6 130	11 190	16 185	12 150	7 39	3 143	8 43	5 82	4 81	19 17	2 3	13 11	17 29	15 157	9 25	10 105	14 66	0 128	1 143
4 100	2 193	19 67	13 89	1 123	3 159	14 142	9 178	7 179	11 103	6 71	15 102	0 111	16 92	18 44	12 36	5 162	8 12	17 137	10 2
18 197	3 109	8 189	7 105	5 21	12 163	13 70	9 63	16 44	15 193	6 98	14 141	2 75	11 119	10 28	0 75	4 53	1 10	19 76	17 150
8 141	17 8	6 141	11 85	1 180	18 128	14 165	0 193	7 140	16 38	3 44	13 15	10 195	9 27	5 75	12 61	19 68	2 68	4 143	15 29
7 1	9 53	1 186	11 174	3 188	12 169	10 14	2 183	13 190	6 33	0 199	16 42	18 52	8 83	4 106	14 99	5 171	19 108	17 98	15 186
15 38	4 59	5 65	8 2	6 48	3 5	18 18	14 33	7 65	17 191	11 27	19 132	1 151	12 70	9 166	16 71	2 137	0 129	10 175	13 39
12 179	13 88	7 54	11 86	14 142	18 8	1 190	15 184	16 10	2 34	3 145	4 181	19 129	10 27	8 63	9 89	17 38	6 31	0 63	5 135
0 49	1 127	13 79	12 163	19 124	17 161	10 131	7 54	3 173	2 54	16 129	15 89	14 187	18 174	11 127	8 44	9 190	5 150	6 52	4 166
15 34	3 81	16 195	7 62	9 149	5 45	12 54	8 58	18 196	14 200	4 103	19 180	0 22	10 190	6 193	13 52	2 93	11 163	17 36	1 11
18 38	11 33	8 62	17 115	16 33	4 55	1 65	3 86	13 21	7 143	14 59	15 171	12 69	9 139	0 160	2 131	19 126	6 52	5 121	10 50
0 167	15 132	2 85	13 158	9 38	14 118	11 149	6 118	3 106	17 68	7 104	4 91	16 159	5 52	8 148	10 198	12 75	19 6	1 5	18 113
12 46	10 158	19 13	15 143	3 124	5 105	17 60	0 175	13 107	1 138	16 108	4 43	8 20	9 195	2 156	11 126	18 97	14 166	7 62	6 76
8 165	6 106	17 15	18 16	19 79	1 186	5 41	13 186	9 60	7 1	4 67	11 170	2 86	10 199	15 153	0 179	12 200	3 78	14 141	16 181
