50	5
1 169	4 120	0 63	2 63	3 83
3 76	0 48	1 194	2 84	4 133
4 128	2 14	3 67	1 62	0 113
3 112	4 27	2 53	1 31	0 61
0 128	3 119	1 123	4 194	2 80
3 93	1 170	4 3	0 39	2 54
4 96	1 42	2 73	0 176	3 165
2 191	0 97	3 13	1 152	4 122
4 124	0 2	3 118	1 51	2 93
3 128	4 79	1 30	2 73	0 197
0 153	3 128	2 99	1 143	4 18
0 157	1 126	4 198	3 158	2 152
3 174	0 44	1 37	4 57	2 108
0 129	4 195	1 193	2 92	3 54
3 38	0 161	1 128	2 132	4 148
1 188	0 87	3 37	4 58	2 84
1 188	0 131	3 106	2 141	4 158
4 163	0 86	2 159	3 34	1 132
4 186	2 152	3 145	1 63	0 140
1 191	2 7	3 41	4 3	0 174
1 91	4 125	3 60	0 12	2 14
1 2	2 151	0 106	3 84	4 125
1 33	4 191	3 103	2 29	0 122
1 5	2 38	0 53	3 97	4 5
2 58	4 49	3 182	0 89	1 74
2 80	1 161	4 163	0 75	3 6
1 7	3 42	4 7	0 48	2 85
4 1	2 134	0 147	3 24	1 197
4 53	3 125	0 157	2 21	1 32
4 130	3 15	1 1	2 33	0 96
3 73	2 159	1 3	4 67	0 191
4 126	2 128	3 150	0 158	1 182
3 43	0 51	1 189	2 149	4 83
2 100	1 124	0 108	3 6	4 141
3 199	2 112	4 200	1 59	0 73
2 6	3 48	0 43	4 11	1 153
4 32	3 87	0 59	1 34	2 101
4 87	1 162	0 96	3 179	2 138
1 111	3 174	4 35	0 94	2 200
3 175	0 144	1 133	2 12	4 142
3 30	1 162	4 143	0 180	2 122
3 11	0 159	1 167	2 145	4 82
2 13	1 80	4 113	3 188	0 189
2 179	1 11	0 51	3 173	4 71
4 57	1 178	0 23	3 122	2 169
1 92	0 51	4 40	2 192	3 81
2 82	1 79	4 167	0 156	3 174
4 61	0 48	1 86	3 45	2 54
4 166	0 181	1 30	2 44	3 187
0 131	2 130	1 41	4 47	3 10
