20	100
51 55	32 43	14 47	83 53	7 45	33 58	1 51	26 59	67 46	70 52	55 52	45 48	82 55	94 53	22 58	84 58	90 50	39 42	81 42	23 54	71 50	21 55	49 62	54 42	46 45	57 54	93 48	66 55	78 50	20 50	11 52	50 60	19 41	8 57	95 59	48 53	41 56	73 46	76 50	77 49	63 53	87 43	10 50	97 51	61 52	6 54	4 56	86 48	24 46	38 54	59 43	88 48	91 48	92 51	30 51	43 46	37 40	9 48	64 60	3 48	35 57	98 51	44 51	18 57	40 44	68 43	56 53	25 48	62 45	31 51	74 47	42 55	69 46	52 49	65 45	79 51	47 44	72 49	89 55	0 45	27 51	36 52	58 54	2 40	85 49	29 63	15 46	53 58	28 47	80 51	34 47	17 55	75 50	16 50	99 53	13 44	5 49	60 51	96 48	12 50
68 64	20 43	58 54	75 52	18 51	90 35	97 55	5 54	76 55	7 47	34 46	2 52	54 50	57 44	65 48	79 48	77 45	44 57	66 57	41 46	35 54	88 46	70 63	40 48	98 55	38 51	85 46	24 54	61 45	91 48	28 52	69 52	84 52	96 52	71 48	17 47	36 53	39 47	63 45	50 51	67 54	74 52	15 45	25 53	49 59	55 55	53 50	37 51	48 49	78 54	92 49	0 52	56 55	1 43	19 48	29 44	95 40	14 50	99 51	73 57	82 54	9 53	81 48	30 47	23 49	43 53	26 36	59 50	6 50	8 61	12 50	33 51	93 51	4 48	52 44	11 50	32 44	10 49	13 52	89 54	47 40	16 53	46 55	62 55	83 57	86 51	22 52	21 40	72 53	51 46	3 45	94 42	27 58	45 42	60 52	42 58	80 48	64 46	87 46	31 54
85 46	13 48	77 57	9 50	78 48	92 46	49 48	22 52	48 44	65 55	94 47	15 47	43 46	30 45	54 46	0 47	73 42	79 48	59 48	62 61	61 52	14 48	88 46	7 49	68 46	38 59	35 43	32 52	72 44	25 48	6 53	69 50	4 53	97 53	40 49	51 52	2 49	27 44	56 43	99 54	33 41	57 52	67 47	70 49	87 49	66 55	3 46	44 40	53 42	18 52	50 54	89 47	90 44	98 50	28 48	58 45	84 42	95 44	37 47	75 55	20 44	55 50	86 55	1 52	81 52	5 43	8 53	17 48	74 52	39 56	45 49	64 55	21 52	82 38	11 49	12 48	46 55	26 49	29 47	93 47	76 49	24 43	63 56	16 47	34 57	23 45	19 58	52 52	41 55	60 56	31 55	91 59	80 57	36 55	71 53	83 48	96 52	42 49	10 54	47 49
78 48	41 52	3 52	11 53	61 55	72 43	79 46	42 48	74 40	28 50	36 49	34 45	85 52	10 52	86 43	77 49	62 50	81 54	44 53	0 57	55 61	12 47	7 52	24 51	38 51	75 58	47 55	31 48	2 51	73 47	60 50	66 47	84 55	50 56	27 57	4 53	37 49	22 52	13 54	89 48	54 44	96 48	19 51	35 55	97 41	18 44	20 59	95 45	33 47	90 46	26 53	23 46	82 55	32 57	71 44	87 46	88 55	93 50	67 50	6 53	53 53	80 49	40 57	91 50	14 51	94 44	52 52	58 43	51 54	9 51	39 53	65 46	68 57	5 54	56 52	43 58	46 66	76 41	70 46	30 58	16 53	59 47	69 46	64 44	99 52	29 50	15 60	45 60	25 57	17 54	8 49	57 52	83 43	1 48	48 53	98 51	63 54	92 51	21 48	49 51
33 44	94 59	17 62	90 51	26 54	7 46	19 49	0 53	4 47	78 58	67 60	32 52	73 54	85 58	88 47	57 52	27 54	82 46	60 49	71 52	45 53	34 47	68 49	5 55	96 50	22 44	43 57	21 52	84 50	11 53	37 58	53 57	31 50	74 47	89 50	83 57	77 49	61 51	76 57	30 48	2 57	1 44	20 55	54 56	39 42	51 49	56 45	8 52	95 50	18 40	59 38	58 51	87 41	52 41	15 51	47 54	99 52	66 51	63 50	42 53	69 48	65 46	75 63	86 47	44 39	91 46	25 50	3 56	16 50	48 43	38 47	92 54	36 52	41 50	79 47	24 50	93 52	40 55	10 47	23 47	64 51	81 48	12 46	72 60	98 42	49 45	28 61	55 43	35 52	70 50	29 43	46 45	80 56	13 53	14 43	97 56	9 52	62 50	50 53	6 51
3 51	27 50	32 44	62 47	53 51	0 49	22 57	33 57	48 44	96 46	34 57	2 48	41 46	35 49	25 48	74 48	76 53	98 53	18 55	66 39	23 54	46 55	49 57	37 54	95 48	88 50	39 52	44 45	6 44	67 50	71 50	54 58	57 55	43 55	91 42	13 51	58 52	15 54	77 42	5 50	89 56	38 49	59 41	87 53	85 49	63 56	31 52	86 53	47 59	10 48	56 50	29 52	7 51	94 47	40 49	64 55	30 48	72 54	4 55	50 54	82 52	20 56	24 52	16 52	68 44	26 48	45 43	97 55	83 53	69 57	21 50	79 53	92 50	93 54	55 46	36 41	81 50	70 53	1 58	11 47	19 46	65 48	8 46	75 48	52 52	17 52	28 56	99 54	80 49	84 46	73 42	60 53	78 50	14 40	42 50	9 47	61 49	12 47	90 61	51 50
89 52	82 50	53 49	43 49	2 46	57 46	45 56	75 45	60 56	49 58	67 55	29 51	88 53	27 50	66 47	7 50	52 48	0 49	39 44	98 45	20 54	42 55	97 46	40 47	15 54	28 51	46 61	95 48	31 52	83 49	58 52	70 59	10 55	92 49	76 43	8 48	22 46	73 59	77 51	87 48	3 47	50 53	35 54	65 46	23 50	26 44	64 56	14 52	55 52	1 51	85 46	74 46	79 46	59 51	18 46	13 51	93 44	96 52	69 48	91 47	61 50	38 57	24 48	41 51	36 54	63 56	56 46	37 54	90 53	48 52	99 50	81 43	12 56	11 53	9 51	71 48	25 49	51 42	72 48	6 43	5 58	47 51	78 39	30 48	21 47	16 50	32 52	62 48	17 45	84 59	80 55	54 48	33 50	94 45	68 47	19 51	4 64	86 49	34 48	44 50
54 44	82 51	4 43	76 52	51 58	14 47	35 52	55 48	7 51	78 48	63 51	17 52	5 49	8 42	34 56	38 53	56 44	86 50	80 47	83 49	85 50	20 46	53 52	69 42	90 59	70 58	49 46	39 41	89 49	24 46	41 37	29 50	79 52	93 49	0 47	91 49	40 54	44 50	99 50	23 47	61 49	77 59	52 48	22 51	15 45	26 49	30 48	96 53	66 47	42 45	98 59	3 57	45 54	73 56	47 48	32 53	62 43	37 46	60 46	81 53	19 55	31 41	68 52	2 49	18 56	64 47	28 48	75 50	94 56	36 42	87 55	12 47	65 60	92 51	33 45	97 46	9 52	6 52	25 60	16 50	72 43	46 51	67 45	11 53	74 43	43 57	59 45	71 54	13 54	84 45	1 57	88 60	58 51	27 53	10 48	57 43	21 50	48 50	95 58	50 60
19 50	71 50	78 37	82 55	77 53	20 50	54 46	84 36	88 57	52 50	17 46	11 57	64 53	73 44	80 43	3 54	32 47	39 51	18 49	8 47	91 54	89 48	4 53	63 52	49 46	59 60	56 49	79 50	15 45	61 47	97 48	67 48	95 51	86 54	45 44	53 44	93 53	55 43	38 53	85 53	5 55	74 60	36 53	76 48	33 45	22 54	96 55	90 46	51 40	66 57	29 46	70 52	24 45	7 47	94 45	14 52	75 49	42 55	2 49	83 40	23 46	92 48	37 43	40 59	87 44	98 43	57 53	0 51	44 56	10 60	58 54	27 45	6 58	41 50	30 48	16 48	48 46	12 47	31 51	13 37	65 52	69 45	60 51	47 56	25 60	50 46	72 55	9 43	62 52	21 49	35 51	43 54	99 43	26 59	68 53	81 48	28 56	46 41	1 50	34 42
40 49	11 53	82 46	32 52	91 50	77 45	34 57	18 45	15 49	59 55	60 52	26 48	66 57	56 51	61 51	89 53	85 49	86 54	84 50	44 48	19 51	41 49	6 51	23 46	81 48	97 41	24 46	4 51	30 50	76 53	93 54	51 50	17 48	45 44	54 46	0 47	52 51	29 45	57 52	88 51	92 55	94 59	25 59	9 55	28 54	37 55	5 51	71 47	80 56	22 55	14 57	69 48	65 48	3 47	42 50	35 48	36 49	90 56	98 48	75 42	12 55	31 39	48 56	27 53	13 58	64 48	39 54	7 43	21 50	58 40	50 49	33 57	20 49	70 53	83 52	78 41	10 49	53 47	55 43	49 53	2 50	38 52	72 42	95 54	1 55	79 41	96 54	46 45	87 54	74 44	8 56	16 44	99 41	47 57	62 43	73 50	67 49	63 54	43 57	68 45
92 55	97 40	80 56	68 45	67 53	91 46	0 47	66 55	10 53	76 41	90 55	55 55	47 47	24 46	52 45	4 47	19 35	21 55	28 53	44 44	38 48	27 54	93 52	70 41	85 51	32 45	83 53	72 59	96 52	29 53	15 46	78 43	42 48	22 47	34 51	36 50	86 48	53 40	84 42	65 45	64 45	71 44	37 49	57 56	59 50	87 47	77 46	12 47	14 55	88 52	8 47	17 52	11 57	98 49	62 54	16 45	82 53	73 43	49 52	45 58	89 50	1 48	33 46	94 44	58 46	60 53	30 52	25 43	41 52	13 45	9 54	39 53	35 49	74 51	69 44	7 47	40 46	5 48	75 45	48 48	51 43	46 43	20 50	54 52	63 48	79 40	31 52	43 45	6 52	3 52	18 51	61 51	23 60	99 52	2 41	95 51	50 49	81 60	56 50	26 44
