40	5
2 53	1 129	3 24	4 86	0 192
0 187	4 183	3 61	1 184	2 195
1 131	3 175	4 31	2 82	0 128
1 30	2 19	3 185	0 54	4 147
0 183	2 182	1 8	3 59	4 197
1 71	4 157	2 184	0 189	3 124
3 155	2 158	0 54	1 187	4 81
3 54	4 45	0 3	1 121	2 164
4 126	3 55	2 30	0 94	1 34
0 183	2 186	4 1	1 29	3 107
4 122	0 1	2 10	1 1	3 97
0 179	2 89	1 42	3 38	4 58
3 60	2 133	0 59	4 144	1 187
0 62	2 197	4 165	1 3	3 11
4 194	0 41	3 10	2 5	1 171
3 118	0 105	1 148	4 63	2 85
2 33	4 12	1 27	3 70	0 86
0 50	3 51	2 32	1 14	4 46
4 151	2 150	0 12	1 12	3 11
0 159	2 14	1 142	4 119	3 49
0 107	4 24	3 133	1 141	2 158
3 59	0 120	1 133	2 75	4 51
2 149	4 47	3 189	1 6	0 198
3 82	2 172	0 56	1 192	4 162
1 56	4 127	2 135	3 104	0 2
1 139	3 139	2 187	4 181	0 147
2 56	3 42	0 108	1 8	4 167
3 91	0 141	1 137	4 72	2 4
4 63	1 99	3 170	2 75	0 67
4 40	0 88	2 114	1 44	3 81
4 67	3 169	1 54	0 110	2 132
2 178	3 14	1 22	0 179	4 86
0 77	3 40	4 90	1 166	2 116
1 196	3 70	2 32	0 150	4 196
1 19	2 167	0 55	3 154	4 58
4 123	3 156	1 185	0 32	2 99
4 147	1 109	2 55	3 32	0 36
2 161	0 76	1 155	4 80	3 142
2 157	4 193	1 117	0 61	3 117
3 126	2 85	4 159	1 192	0 159
