15	10
8 8	4 75	9 82	5 61	0 15	2 95	7 58	6 90	3 71	1 36
0 86	5 24	7 64	6 69	3 17	2 85	8 96	9 4	4 58	1 51
4 31	8 71	6 4	0 92	2 34	5 46	7 70	9 83	3 95	1 74
3 33	2 93	7 16	1 21	0 12	5 72	9 66	4 17	6 90	8 56
5 47	4 50	9 67	1 23	8 51	3 43	2 79	0 40	6 43	7 76
8 2	3 47	4 74	1 18	9 47	6 49	2 87	7 72	0 51	5 17
9 19	0 83	3 11	2 84	4 76	1 50	6 38	5 56	7 88	8 23
4 71	3 92	2 74	7 19	8 61	1 21	9 60	0 88	6 52	5 2
7 17	2 74	1 40	5 67	9 34	0 57	4 1	8 29	6 81	3 82
0 15	4 35	5 36	9 74	1 87	8 78	7 83	6 94	2 37	3 48
9 87	5 41	7 6	2 98	3 77	0 24	8 51	6 56	4 40	1 9
6 18	4 78	2 61	5 69	3 46	0 99	7 53	9 3	8 47	1 70
6 95	5 99	1 49	8 68	3 62	7 49	4 50	0 58	2 82	9 73
0 3	8 20	4 72	5 78	3 81	2 35	9 67	7 82	6 17	1 77
1 63	6 22	5 53	0 58	8 16	3 89	7 84	4 64	9 85	2 13
