70	5
1 94	3 42	2 38	0 35	4 145
2 46	0 66	4 135	3 149	1 37
0 43	4 130	2 164	3 113	1 157
1 33	0 13	2 78	3 45	4 43
1 199	2 190	3 71	0 156	4 105
0 49	4 193	2 150	1 26	3 151
3 139	2 149	0 15	4 3	1 142
1 180	3 123	2 123	4 27	0 107
2 84	4 174	1 119	3 80	0 20
2 37	4 92	0 189	3 89	1 116
4 162	3 193	0 22	2 94	1 152
3 174	0 87	2 147	4 130	1 39
2 187	1 151	0 111	3 147	4 61
4 79	3 196	1 182	0 45	2 63
3 184	1 181	0 136	4 94	2 67
2 174	3 36	1 33	0 87	4 31
4 18	0 177	3 143	1 158	2 178
4 109	3 29	1 154	0 48	2 29
1 165	4 196	3 90	0 103	2 172
0 112	2 79	1 158	4 94	3 15
2 12	4 129	0 34	1 136	3 104
1 38	3 152	4 9	2 158	0 61
3 5	2 11	4 184	1 88	0 28
0 51	2 81	3 132	1 16	4 42
2 28	4 31	1 126	0 50	3 162
4 166	2 165	3 32	1 11	0 89
2 64	0 87	1 1	3 172	4 65
3 172	1 36	2 192	4 56	0 104
2 152	0 59	4 129	3 122	1 167
3 56	4 177	2 29	1 171	0 193
3 56	4 180	1 16	2 136	0 65
1 24	0 62	4 61	2 106	3 84
0 30	2 159	4 111	3 18	1 163
3 124	1 167	4 10	0 186	2 71
2 96	0 109	4 70	3 30	1 45
3 24	2 184	4 190	0 165	1 69
3 68	0 67	4 135	1 135	2 119
0 27	4 8	1 168	2 166	3 104
2 192	0 64	3 54	1 111	4 133
2 188	3 133	1 156	4 191	0 169
1 194	0 170	2 122	3 163	4 133
3 104	2 137	1 141	4 194	0 14
2 145	3 44	0 70	1 56	4 120
2 43	3 180	0 1	1 188	4 56
2 57	0 63	3 86	4 113	1 26
2 146	3 104	4 191	1 160	0 66
2 27	0 106	4 143	1 153	3 126
4 82	1 36	2 84	0 183	3 74
1 106	2 94	4 143	3 79	0 165
0 81	1 87	3 60	2 45	4 6
4 132	1 18	0 128	3 28	2 3
4 156	2 172	0 190	3 109	1 42
0 26	2 190	1 67	4 22	3 38
4 181	3 115	2 55	0 175	1 136
2 62	4 46	1 199	3 53	0 21
4 140	2 140	0 120	3 40	1 142
4 75	0 132	2 33	1 22	3 55
2 158	1 26	4 67	0 183	3 184
1 178	3 144	0 19	2 167	4 74
4 39	3 154	2 104	1 100	0 114
2 74	0 23	4 189	1 136	3 43
3 176	4 200	2 135	0 74	1 160
2 127	0 196	3 17	4 115	1 26
0 117	3 26	4 2	1 75	2 144
0 177	1 159	3 103	4 136	2 46
2 138	3 159	4 142	0 152	1 46
2 17	1 101	0 190	4 108	3 3
3 71	4 157	0 168	2 47	1 6
3 131	1 182	4 153	2 143	0 36
4 155	1 30	2 2	0 32	3 181
