90	5
2 127	1 19	4 4	3 114	0 119
3 118	0 83	1 3	4 40	2 79
1 94	3 96	2 45	4 195	0 161
0 104	2 103	1 61	3 127	4 18
4 19	2 4	3 41	0 130	1 31
3 121	4 64	1 67	0 106	2 30
1 197	3 24	4 64	0 197	2 92
4 100	2 5	3 184	0 11	1 121
3 176	1 199	0 9	4 169	2 125
2 66	0 20	1 125	4 39	3 7
1 149	0 112	3 98	4 68	2 1
2 199	0 30	1 160	3 169	4 97
3 27	1 134	4 178	0 116	2 180
3 36	2 157	1 110	4 39	0 30
2 147	3 141	0 66	1 37	4 198
3 88	0 86	2 123	4 158	1 27
0 21	2 61	4 31	3 8	1 167
2 106	1 109	0 187	4 188	3 64
4 44	0 192	2 145	1 158	3 2
4 142	3 17	2 142	1 107	0 59
0 198	2 146	4 100	1 150	3 75
2 107	0 121	1 74	3 146	4 149
0 56	4 132	2 192	3 177	1 140
0 164	2 144	1 144	4 162	3 138
0 7	3 179	4 69	1 96	2 140
2 134	1 35	0 84	4 139	3 183
1 176	4 27	2 64	0 136	3 51
3 46	2 200	0 1	4 38	1 127
0 151	1 125	2 127	3 46	4 106
3 123	4 11	0 169	1 98	2 200
4 11	2 46	1 37	3 12	0 9
3 19	0 73	2 45	4 54	1 60
2 176	4 144	1 104	0 194	3 34
2 167	1 69	4 122	0 187	3 142
4 139	3 127	0 78	1 5	2 200
4 146	3 112	1 14	0 186	2 105
4 109	1 46	2 146	3 45	0 82
0 38	4 7	1 145	3 154	2 31
2 198	1 190	3 97	4 102	0 165
3 198	4 186	1 30	0 163	2 182
2 108	3 137	4 63	0 91	1 132
2 186	1 174	4 42	3 200	0 63
4 107	0 16	3 128	2 145	1 153
1 88	2 70	3 4	0 85	4 126
2 69	4 139	3 131	0 74	1 158
2 97	1 180	3 104	4 161	0 149
3 69	0 154	1 3	2 199	4 29
0 42	3 149	4 51	1 101	2 40
1 94	4 185	3 128	0 159	2 123
4 38	3 65	1 138	2 174	0 87
0 4	2 63	3 150	4 194	1 48
0 148	2 122	4 30	1 124	3 62
3 141	2 180	1 174	4 121	0 161
2 168	4 178	0 185	1 129	3 48
4 107	0 128	3 140	2 18	1 152
4 108	0 109	1 126	3 167	2 39
1 81	2 194	4 99	3 199	0 72
3 151	2 199	4 125	1 10	0 74
2 113	4 25	0 35	1 193	3 109
0 171	2 27	1 125	3 6	4 168
0 97	2 188	4 148	3 168	1 24
0 36	2 141	4 1	3 76	1 153
2 126	1 26	3 13	4 26	0 47
3 127	1 187	0 177	2 79	4 184
1 59	0 108	4 97	2 68	3 165
0 47	1 135	2 150	4 20	3 130
4 81	0 69	3 133	2 200	1 43
1 71	3 192	0 19	2 2	4 24
1 32	3 150	2 111	0 115	4 91
2 75	1 146	4 10	3 60	0 194
1 114	3 153	2 162	0 29	4 100
3 182	1 55	2 84	0 93	4 22
0 91	2 192	3 94	4 7	1 118
2 45	3 50	4 134	0 188	1 50
1 171	0 124	4 157	2 8	3 51
1 143	3 14	4 46	0 161	2 164
3 53	1 107	2 8	4 167	0 191
2 117	3 7	4 175	1 55	0 86
0 174	4 110	1 153	2 173	3 72
4 152	3 141	2 107	0 96	1 187
2 192	1 127	0 127	4 16	3 63
2 199	0 40	3 72	1 74	4 101
0 193	4 178	1 86	3 15	2 176
4 79	0 191	1 95	3 44	2 186
1 136	4 97	0 143	2 31	3 195
4 106	2 30	1 116	3 16	0 44
1 89	3 84	0 154	4 86	2 113
4 27	0 76	2 94	1 101	3 168
4 106	2 76	1 191	0 101	3 158
0 71	2 66	1 97	4 58	3 95
