60	5
3 27	2 104	1 111	4 41	0 36
3 105	2 167	0 49	4 135	1 170
1 134	4 181	0 71	3 154	2 43
3 59	1 96	2 137	4 44	0 97
3 133	1 20	2 5	4 107	0 52
4 49	3 188	1 51	2 154	0 58
2 47	4 58	0 164	1 177	3 54
3 98	0 130	2 70	1 184	4 43
3 115	1 4	2 35	0 61	4 50
4 115	1 18	3 105	2 144	0 183
4 54	1 18	0 73	3 131	2 75
1 75	0 193	2 152	4 70	3 22
1 84	2 146	4 167	0 89	3 136
1 163	4 59	2 1	3 112	0 49
0 140	2 58	3 135	4 103	1 190
0 107	3 31	4 195	1 186	2 138
2 88	0 84	1 35	4 1	3 42
4 179	2 192	0 123	1 192	3 33
4 12	1 130	0 73	2 44	3 63
1 112	4 169	3 103	2 136	0 10
2 42	0 16	4 128	1 108	3 82
1 51	0 177	2 152	3 108	4 13
2 157	0 67	3 169	1 156	4 102
1 81	2 9	0 186	3 126	4 186
2 173	1 110	3 41	4 71	0 102
0 171	4 131	1 25	2 97	3 200
2 151	4 102	1 137	0 177	3 75
3 91	0 24	1 185	2 154	4 173
3 76	4 34	2 103	1 102	0 23
3 179	4 172	2 184	1 65	0 1
2 180	0 172	4 44	3 71	1 75
2 135	0 162	1 59	4 171	3 140
1 144	4 86	0 45	2 104	3 16
3 166	4 149	1 162	0 57	2 128
4 165	2 167	3 4	1 31	0 180
0 193	3 165	1 137	2 59	4 181
4 163	3 56	0 6	2 190	1 22
3 168	0 11	4 50	1 80	2 143
2 180	0 49	1 192	4 96	3 199
2 29	3 163	1 77	4 24	0 75
1 34	4 48	3 122	0 138	2 107
0 200	4 61	2 135	3 68	1 92
4 83	0 23	1 93	2 49	3 129
1 67	4 136	2 148	0 5	3 47
0 45	3 157	1 182	4 30	2 200
0 110	4 45	1 127	3 66	2 65
2 173	4 5	1 189	0 21	3 67
0 143	1 135	3 161	4 191	2 50
0 77	2 182	3 141	1 120	4 14
1 34	3 147	2 147	4 78	0 189
3 12	0 37	2 111	1 28	4 66
0 4	4 172	2 138	1 177	3 47
3 13	2 117	4 103	0 13	1 24
3 144	4 117	0 48	1 59	2 73
2 18	0 127	4 40	3 108	1 10
2 76	3 33	4 187	1 162	0 12
4 30	0 23	3 172	1 139	2 162
2 194	3 3	0 14	1 114	4 87
0 151	1 93	2 169	3 44	4 46
0 55	2 21	3 160	4 163	1 55
