80	15
9 95	12 81	11 20	3 140	8 165	13 119	1 30	0 67	10 160	5 75	4 78	14 129	2 186	6 147	7 192
0 175	14 106	1 152	9 101	6 76	13 182	2 68	3 148	12 81	10 174	4 30	11 179	7 172	8 21	5 160
5 97	14 61	9 58	2 182	13 167	6 57	11 42	1 141	7 68	8 33	12 68	0 119	10 85	3 81	4 95
6 68	7 167	10 128	8 68	1 89	14 159	9 162	11 52	2 50	4 28	3 117	13 186	5 78	0 90	12 40
8 122	4 154	11 115	13 62	7 156	14 16	10 14	2 40	12 51	0 165	9 73	6 188	1 60	3 97	5 70
13 110	1 166	10 160	6 155	9 187	11 141	0 75	5 182	7 49	12 197	14 99	2 29	3 181	4 7	8 172
12 100	8 137	14 17	10 103	4 124	5 169	6 175	2 140	1 97	0 13	3 109	9 199	11 165	13 34	7 82
11 144	9 182	6 16	8 14	0 132	2 68	1 146	10 54	14 9	12 78	5 144	3 153	7 62	4 181	13 129
4 102	2 193	13 55	1 105	6 74	14 3	10 174	3 123	11 189	9 101	8 105	5 118	12 41	0 137	7 55
7 59	5 96	9 19	4 157	0 44	13 49	6 79	12 125	11 60	10 35	3 159	14 120	1 115	2 119	8 90
14 50	10 96	7 35	3 171	12 67	13 135	8 118	9 88	1 174	11 119	4 142	6 39	0 35	5 96	2 96
4 48	7 66	6 21	0 186	1 85	14 136	13 197	8 115	5 45	3 168	11 152	9 176	10 155	2 171	12 124
5 198	9 92	3 133	2 64	4 97	12 77	8 39	11 135	13 60	7 24	1 65	0 145	14 114	10 147	6 61
8 131	13 198	10 109	4 65	7 132	9 11	14 128	3 161	1 68	12 129	11 106	5 83	6 79	2 107	0 189
10 102	14 5	0 75	7 36	5 57	9 178	1 99	8 192	12 160	11 167	6 101	4 57	3 4	13 87	2 14
6 167	3 15	7 51	4 31	5 137	0 151	13 14	1 193	8 161	2 2	10 165	12 118	9 36	14 42	11 153
3 199	1 85	14 138	0 193	13 184	9 47	6 137	11 96	5 83	7 81	2 67	4 186	8 143	12 49	10 17
2 178	10 83	8 167	12 180	4 187	7 150	14 142	5 83	11 76	13 152	0 130	1 80	3 110	9 25	6 62
11 32	6 110	8 173	10 2	9 96	4 81	2 70	1 52	14 64	13 120	5 120	12 42	7 121	0 89	3 8
0 119	1 118	5 65	6 152	11 17	4 19	12 126	3 72	13 66	2 134	10 51	7 196	9 102	14 74	8 26
9 34	5 145	0 159	3 126	8 122	14 19	10 101	1 182	2 119	4 52	6 155	11 146	7 50	12 153	13 88
6 81	7 52	3 128	2 91	0 49	8 152	5 188	1 79	14 2	11 116	13 14	4 25	12 112	9 119	10 161
1 138	4 58	6 154	7 156	14 27	12 9	9 179	13 106	11 177	8 54	10 80	3 166	0 80	5 15	2 171
13 156	4 95	1 90	6 44	5 40	10 151	3 18	11 54	12 15	0 75	8 148	9 122	2 163	7 164	14 65
12 143	8 129	6 103	1 176	7 186	2 166	11 71	14 104	0 39	13 26	5 133	10 87	9 148	4 163	3 157
3 135	2 108	4 135	9 128	11 144	12 150	13 36	1 163	5 81	14 85	6 101	0 39	8 37	7 5	10 79
4 104	6 133	14 97	7 73	10 129	9 14	11 115	2 81	8 38	5 167	13 175	1 96	0 143	12 136	3 20
9 110	2 61	10 67	0 138	12 38	7 32	13 11	3 41	11 170	4 149	1 88	8 55	6 47	14 170	5 51
0 92	10 16	9 30	7 116	6 78	14 14	4 89	11 16	3 85	13 174	2 19	12 51	8 184	1 41	5 90
6 47	7 7	12 175	2 151	8 139	3 143	14 175	13 66	11 92	5 131	4 173	0 194	9 100	10 127	1 94
0 106	5 36	2 68	13 36	7 75	6 186	4 104	14 91	1 156	8 1	9 164	12 5	3 121	11 135	10 124
