20	10
6 110	9 184	5 63	2 47	3 200	4 40	7 143	1 39	8 44	0 193
9 179	3 3	2 54	8 40	6 177	1 13	7 199	5 11	0 114	4 100
3 196	4 182	5 36	7 63	8 59	2 167	6 140	9 7	1 24	0 97
0 120	7 166	6 23	8 200	2 58	1 28	5 127	9 94	4 82	3 190
1 89	8 168	7 174	0 157	4 17	6 120	5 144	9 74	3 8	2 93
3 138	5 184	9 170	8 63	6 121	1 168	0 119	4 153	2 198	7 35
7 160	1 170	2 48	4 59	6 125	8 42	9 40	5 45	3 188	0 178
1 196	6 175	3 119	5 103	2 89	9 18	0 25	4 50	7 48	8 154
3 98	6 85	8 167	1 112	0 75	7 142	2 142	5 125	4 38	9 123
0 67	5 153	4 5	7 31	1 110	8 200	2 40	6 164	9 89	3 109
1 119	7 9	3 163	2 171	9 69	6 78	0 52	8 147	5 99	4 79
1 155	2 168	7 142	5 177	4 167	3 13	0 64	9 56	8 26	6 164
3 49	6 135	2 144	7 100	0 96	4 195	9 48	5 90	1 112	8 77
0 159	6 80	3 184	1 87	2 143	7 24	5 20	4 85	8 158	9 34
9 116	3 39	8 39	5 179	4 17	7 55	2 144	6 48	1 46	0 74
4 127	9 164	7 82	5 79	0 41	2 99	1 112	8 195	6 14	3 84
9 177	0 143	1 123	8 192	7 141	4 152	2 131	6 83	3 30	5 97
4 50	2 174	1 159	7 10	9 107	3 175	6 43	0 187	8 64	5 9
2 158	7 31	4 37	8 182	3 173	0 198	5 146	1 159	9 149	6 180
1 185	4 168	8 37	0 80	5 27	3 51	7 68	6 169	2 132	9 115
