30	70
44 65	5 65	62 15	50 17	16 42	28 89	48 39	32 20	4 46	58 81	38 9	65 70	60 87	53 50	56 71	46 34	13 52	55 82	34 87	2 43	54 92	6 38	67 62	29 79	69 77	36 62	45 85	39 97	25 41	51 70	22 1	61 92	12 21	26 90	21 46	49 32	63 14	3 6	43 23	40 76	64 73	18 60	19 25	17 97	57 33	14 12	68 66	9 31	59 41	24 53	35 3	27 16	8 29	33 71	41 58	31 57	7 71	66 21	1 72	11 81	30 42	15 94	10 38	23 62	20 39	37 5	52 24	47 45	0 94	42 79
28 21	10 48	20 92	40 21	48 45	9 12	46 80	26 86	30 72	25 8	59 9	17 28	36 96	62 12	64 49	0 80	6 95	7 93	56 57	34 68	38 37	19 61	5 73	52 29	27 14	60 20	63 94	43 41	24 57	29 52	42 33	67 91	49 38	44 13	65 75	14 94	41 9	50 70	45 31	61 97	35 12	8 99	21 5	16 29	13 69	55 89	66 62	58 71	39 52	15 66	22 31	53 92	4 43	54 76	31 28	11 57	23 82	32 2	3 69	47 59	33 50	69 68	2 24	12 18	18 53	57 34	51 32	37 49	68 97	1 76
19 64	64 63	62 48	27 85	20 79	28 42	58 64	4 87	69 92	32 86	60 27	18 82	5 5	41 42	50 86	59 69	11 58	49 51	30 88	42 48	17 27	63 25	29 40	53 59	31 41	3 93	54 7	44 34	38 27	56 32	66 17	16 2	2 45	52 88	65 33	9 52	57 60	61 41	21 63	25 27	26 29	15 6	0 95	35 4	67 29	37 83	39 98	34 28	23 7	1 74	40 7	7 25	46 74	22 14	55 90	45 66	12 63	13 46	33 34	8 26	48 88	43 72	10 39	6 52	36 79	68 44	51 36	24 77	14 96	47 10
30 58	61 37	26 27	0 33	34 27	46 18	12 10	65 23	66 95	25 62	49 84	17 93	1 24	5 52	54 88	22 39	51 82	64 90	52 38	50 79	53 46	9 77	36 68	2 42	43 27	24 34	62 6	44 3	68 9	39 35	41 39	59 71	31 33	4 29	14 88	55 21	6 40	57 11	56 99	60 11	63 11	13 84	32 9	20 92	23 1	69 33	10 91	33 1	47 82	48 77	21 66	8 89	35 58	27 35	18 33	58 55	29 55	7 46	40 90	16 31	42 1	37 60	3 29	15 26	28 80	19 79	11 61	45 25	67 6	38 55
68 47	14 3	15 45	44 11	48 76	69 35	41 83	27 78	16 42	20 14	10 22	62 37	6 46	34 80	26 40	40 58	51 61	54 46	56 46	2 29	50 66	3 77	47 13	7 60	36 28	43 9	64 24	45 36	65 73	61 89	39 82	42 69	19 18	24 15	1 56	57 73	22 30	46 2	55 14	12 18	17 66	66 83	49 15	32 94	58 55	21 8	4 31	25 10	52 2	13 88	5 95	8 91	35 70	31 2	11 42	9 57	59 71	18 31	60 29	38 98	63 18	0 38	53 96	37 73	33 1	28 2	29 91	67 39	23 57	30 9
48 44	55 22	39 96	43 4	45 62	20 28	0 29	68 98	50 8	5 18	64 58	26 77	31 21	21 38	46 26	3 60	52 78	36 89	15 34	38 26	24 20	9 95	61 39	19 73	37 40	44 87	42 21	35 53	13 87	53 38	54 24	40 83	58 50	8 57	59 90	47 10	51 35	10 47	67 92	1 39	57 54	18 19	14 19	34 56	49 88	65 68	16 98	32 49	56 88	41 44	30 33	4 61	33 33	62 82	63 89	60 32	7 95	69 80	66 41	23 32	12 92	11 44	27 18	25 97	2 16	22 73	17 45	6 86	28 29	29 61
4 62	9 2	47 36	42 16	43 56	35 17	31 48	2 84	53 66	12 12	40 41	63 1	29 15	67 34	68 20	19 63	55 38	59 7	34 27	25 27	5 91	44 35	18 58	49 69	33 48	36 21	66 47	56 15	6 95	27 31	8 90	69 9	52 91	26 46	41 30	0 21	64 89	13 92	23 96	22 11	1 24	15 78	61 60	48 36	11 53	37 36	38 33	62 21	46 15	65 92	3 36	60 54	24 1	57 27	28 95	7 12	45 61	54 96	58 31	10 21	20 15	16 1	17 96	39 32	32 41	21 92	14 22	50 11	30 66	51 49
31 57	68 45	44 69	0 44	64 52	35 41	45 22	63 75	5 71	24 56	51 37	43 68	4 95	6 97	23 14	66 54	60 30	54 87	52 29	30 8	58 30	41 82	38 92	7 17	3 67	19 62	25 87	53 55	65 80	26 62	62 44	69 83	67 34	9 46	16 25	14 68	21 20	37 72	32 5	61 54	59 63	27 69	55 27	47 21	11 33	39 15	42 12	46 60	50 49	2 6	28 97	1 36	12 46	29 15	15 11	36 27	33 80	48 90	22 63	57 64	18 53	20 26	34 62	49 61	17 69	56 85	8 64	40 70	10 32	13 31
23 1	51 82	26 69	47 27	60 86	62 76	34 68	17 64	41 66	31 46	20 40	9 77	42 50	68 64	63 98	38 54	16 91	45 71	27 71	57 65	61 48	54 46	33 36	44 72	67 6	69 86	52 51	55 58	10 53	4 94	50 36	49 94	5 16	46 36	56 89	15 10	29 8	37 48	11 83	48 78	58 86	14 47	53 46	12 11	30 39	6 66	2 55	0 21	1 24	40 88	22 48	35 23	24 39	21 10	59 62	18 95	28 51	13 29	8 50	43 80	36 89	66 29	3 68	32 92	65 51	19 22	64 67	39 57	25 24	7 4
42 22	32 27	48 29	54 89	64 85	28 99	65 27	56 53	33 19	39 78	22 99	69 49	19 31	25 49	40 8	2 35	34 45	10 89	23 70	3 97	63 64	66 69	44 76	27 3	43 8	67 74	50 26	24 48	15 91	60 25	12 13	52 34	31 86	45 20	11 11	21 70	53 41	61 43	49 75	4 48	30 74	6 68	20 98	62 32	26 53	18 72	51 83	36 73	57 34	47 16	59 6	41 81	55 82	0 19	58 75	13 51	5 1	17 33	68 22	14 69	29 54	38 82	9 97	35 87	1 38	8 84	7 64	46 80	37 8	16 66
1 71	12 7	30 14	29 2	37 80	55 37	61 84	36 21	0 75	33 45	7 97	13 51	45 7	53 32	8 73	18 38	66 22	64 2	21 83	49 9	32 95	57 62	50 51	4 29	62 39	11 15	56 40	63 40	41 19	14 68	42 60	67 99	6 43	24 22	23 62	65 39	68 65	46 83	27 30	58 88	3 42	60 67	9 43	59 66	34 97	26 75	44 79	10 18	54 26	52 66	2 55	28 35	48 5	39 20	25 57	5 45	16 16	20 78	51 93	69 7	43 75	19 74	40 36	38 99	17 22	15 70	31 69	35 38	22 92	47 57
