50	5
1 106	4 43	3 130	2 71	0 68
2 136	0 99	4 163	1 140	3 1
0 75	3 138	2 83	1 188	4 89
4 196	3 185	1 108	0 32	2 17
3 146	4 178	0 30	2 151	1 145
1 187	2 113	0 163	3 122	4 124
2 40	3 196	1 1	4 195	0 134
1 103	3 141	0 10	2 6	4 66
0 20	2 108	1 181	4 101	3 131
1 195	3 147	4 89	2 132	0 37
0 137	2 106	3 28	1 76	4 3
3 2	2 157	4 5	1 195	0 128
0 126	3 182	4 173	1 157	2 30
2 35	0 66	3 100	1 12	4 24
0 12	1 200	4 87	3 112	2 30
1 52	0 196	4 100	2 163	3 112
4 132	3 134	0 40	1 44	2 36
0 91	4 120	3 43	1 88	2 91
1 52	3 46	0 147	4 82	2 138
3 108	0 27	4 108	1 101	2 31
2 98	1 81	0 167	3 172	4 96
1 33	4 48	0 72	3 88	2 13
1 14	4 41	3 4	2 185	0 49
3 93	2 136	0 68	4 160	1 99
3 79	0 30	2 133	4 49	1 128
0 146	3 88	1 127	2 189	4 171
4 61	1 163	2 194	0 125	3 149
3 155	2 95	1 106	4 67	0 156
4 193	2 164	1 96	3 149	0 170
2 143	4 150	0 185	3 126	1 185
1 159	4 123	3 65	0 68	2 136
0 50	2 63	3 83	4 7	1 24
0 143	1 125	3 64	4 149	2 37
1 154	2 175	0 189	3 81	4 98
4 28	1 144	2 99	3 37	0 32
4 113	0 95	1 98	2 39	3 164
3 112	1 29	0 158	4 142	2 70
4 141	1 149	3 136	0 178	2 68
3 190	4 32	2 28	1 15	0 44
0 165	4 11	2 35	1 111	3 168
4 175	0 21	1 185	3 27	2 200
0 87	2 7	4 148	1 152	3 177
3 170	2 29	4 126	1 25	0 9
2 90	1 55	3 200	0 40	4 82
0 158	1 162	2 63	3 113	4 185
1 23	2 56	0 30	4 167	3 170
1 15	2 154	3 173	4 134	0 26
1 58	4 89	0 24	3 141	2 196
3 151	0 150	2 94	1 48	4 95
0 142	1 41	4 183	3 106	2 143
