20	10
3 2	9 78	5 72	7 79	1 80	0 47	2 29	8 53	6 55	4 35
5 77	9 91	6 66	3 67	1 84	0 17	8 98	4 20	2 60	7 34
3 48	5 93	9 81	1 53	7 77	0 57	6 12	8 93	2 88	4 59
0 72	8 99	4 23	2 91	6 96	9 84	1 20	3 31	7 14	5 12
8 75	0 33	6 42	3 93	5 33	7 18	1 31	9 57	4 29	2 21
3 56	1 33	0 79	6 25	5 44	9 15	8 12	2 54	7 59	4 84
1 12	3 30	2 15	5 12	8 63	6 7	9 12	4 93	0 95	7 62
0 89	7 5	3 39	8 86	9 71	6 6	2 1	4 20	5 55	1 1
4 70	0 13	6 44	2 49	8 98	1 3	5 90	3 86	7 66	9 1
3 59	6 65	2 62	8 92	0 34	7 36	1 43	9 54	4 6	5 4
9 38	7 28	6 73	8 32	0 79	2 46	5 70	4 17	1 51	3 49
1 96	8 37	4 22	0 53	3 80	9 16	6 78	2 77	5 31	7 37
0 58	2 23	1 93	8 97	5 2	9 99	3 20	4 24	7 66	6 14
8 76	0 24	3 5	9 75	2 61	1 56	5 93	6 70	7 85	4 75
8 69	1 25	7 34	6 45	4 11	2 22	3 78	0 42	9 83	5 18
3 60	2 99	7 19	0 31	5 51	4 51	6 53	8 5	9 68	1 80
1 46	2 74	9 2	0 38	7 90	4 56	5 38	8 37	3 9	6 81
7 97	8 8	1 17	9 43	2 69	0 49	6 46	5 60	4 28	3 45
2 62	3 64	0 67	6 96	5 4	8 68	7 76	4 43	1 30	9 80
1 66	9 23	7 56	3 48	4 36	0 22	2 56	5 46	8 21	6 89
