80	5
1 75	0 48	2 54	3 123	4 193
0 137	4 163	1 169	2 86	3 197
4 61	3 151	0 15	2 59	1 189
0 183	2 3	1 79	4 132	3 7
0 174	1 87	4 168	2 156	3 10
1 96	3 10	0 82	4 90	2 16
4 120	1 174	2 193	3 117	0 137
4 148	2 83	1 173	3 59	0 96
1 53	0 23	4 38	3 189	2 64
0 41	3 139	1 146	4 120	2 74
0 125	3 190	4 158	2 97	1 196
2 8	3 198	1 55	0 195	4 16
4 148	2 142	0 108	3 200	1 60
3 123	4 46	0 49	1 75	2 55
4 100	2 121	0 20	3 147	1 88
0 148	1 101	3 19	4 34	2 64
2 58	3 11	1 163	4 58	0 83
1 65	2 186	3 33	4 154	0 24
1 194	3 107	0 17	2 72	4 106
4 52	3 103	0 196	1 186	2 104
4 161	2 11	1 63	3 63	0 82
3 141	1 16	4 80	0 94	2 57
1 8	0 176	2 88	3 112	4 94
0 169	3 50	4 22	2 82	1 42
1 151	2 104	4 109	0 149	3 19
1 119	3 55	4 153	0 154	2 63
2 38	1 98	4 82	0 71	3 47
1 199	2 74	3 28	4 86	0 112
0 32	3 94	4 46	2 40	1 113
3 66	0 148	1 97	4 41	2 36
1 28	2 112	3 130	0 176	4 30
3 85	4 142	2 48	0 103	1 167
4 133	3 141	1 71	0 189	2 160
4 1	0 61	2 45	3 107	1 199
3 195	2 27	1 128	0 125	4 113
1 97	3 20	2 75	0 127	4 107
0 26	3 73	2 116	1 64	4 199
3 52	1 176	4 14	0 24	2 30
0 133	3 97	2 108	4 182	1 155
4 65	0 2	2 116	3 178	1 85
2 89	1 36	0 193	4 176	3 46
2 11	1 57	0 151	3 119	4 189
0 6	1 115	4 76	3 88	2 148
0 98	1 59	2 173	3 47	4 37
1 133	0 107	2 76	3 24	4 124
2 4	4 190	0 117	1 173	3 181
3 57	2 14	4 83	0 70	1 32
4 154	0 154	1 80	3 185	2 29
2 120	0 63	1 26	4 155	3 157
2 154	4 197	3 147	1 179	0 189
3 191	0 91	1 181	2 54	4 39
3 115	0 65	1 73	4 60	2 81
1 129	2 3	3 51	4 186	0 194
3 21	0 64	4 10	2 25	1 66
4 167	3 62	2 4	1 4	0 40
1 58	0 51	2 175	3 55	4 81
1 41	0 131	3 16	4 195	2 184
4 146	1 149	3 105	0 37	2 103
4 158	0 118	1 37	2 149	3 96
4 103	0 165	1 18	2 125	3 132
1 156	3 76	0 95	4 195	2 98
4 171	2 67	3 28	0 141	1 15
0 140	4 62	3 130	2 193	1 172
3 166	0 196	1 21	2 78	4 178
4 118	2 170	0 143	1 149	3 28
2 145	0 171	4 100	1 145	3 38
0 192	4 184	2 97	3 194	1 106
2 41	4 133	3 56	0 147	1 59
1 55	3 68	2 30	0 180	4 118
0 186	2 145	3 137	4 158	1 53
1 9	2 125	0 197	3 54	4 36
3 141	2 152	0 86	4 47	1 137
1 117	0 2	2 110	3 111	4 159
3 88	2 104	0 197	4 76	1 83
3 76	1 179	4 82	2 13	0 116
0 34	3 78	4 149	1 161	2 44
1 129	3 88	4 58	0 56	2 37
3 138	4 12	0 147	2 14	1 193
2 18	1 37	3 169	0 133	4 80
0 139	1 53	2 23	4 7	3 50
