40	10
1 80	0 106	4 38	9 10	7 174	2 123	3 24	8 185	5 72	6 152
8 197	5 175	4 147	6 130	9 88	1 151	7 122	0 159	3 159	2 155
7 83	0 199	2 73	9 188	1 153	6 81	3 49	4 75	8 145	5 183
5 197	4 97	0 48	9 36	7 115	6 109	8 59	3 90	2 122	1 71
0 188	8 59	5 107	4 33	1 60	3 189	6 168	2 74	9 93	7 117
4 143	9 197	5 95	2 40	7 184	0 3	1 187	6 58	8 115	3 77
4 194	9 118	1 81	7 170	8 75	0 137	6 184	3 191	5 66	2 55
9 23	8 28	1 107	3 119	6 193	7 149	5 17	2 186	0 103	4 72
5 177	1 184	9 11	3 2	7 17	2 101	0 179	6 190	8 103	4 180
3 179	0 156	9 39	4 167	6 169	7 159	2 98	1 167	8 72	5 13
1 91	3 122	6 55	2 49	8 35	4 54	5 16	7 106	0 87	9 67
0 56	4 176	2 196	5 132	7 26	6 170	9 181	8 48	1 168	3 16
0 44	1 148	7 63	4 190	3 38	9 177	8 25	5 183	6 12	2 146
6 125	8 38	4 75	5 71	7 17	2 190	1 129	3 5	0 127	9 40
8 17	2 94	0 86	7 153	9 58	6 98	4 173	5 31	3 196	1 53
1 114	9 29	3 27	0 156	8 117	6 28	5 146	7 115	2 1	4 170
2 97	7 128	0 171	4 30	1 17	9 161	6 46	3 184	5 123	8 174
8 172	1 92	5 145	2 174	3 6	4 193	7 24	9 44	6 149	0 110
1 44	4 77	8 149	7 83	5 161	3 90	2 117	6 132	9 77	0 112
4 17	7 64	5 49	0 30	6 97	1 34	9 5	8 43	2 27	3 11
4 29	5 186	2 11	1 74	6 105	3 143	0 46	8 10	9 60	7 87
9 38	3 7	2 6	5 175	6 60	1 72	7 154	8 68	4 122	0 15
8 113	0 114	4 192	7 119	3 56	1 23	6 140	2 60	5 56	9 168
6 72	4 74	8 66	5 43	3 13	9 121	0 109	2 153	7 133	1 122
1 51	6 37	4 113	8 45	0 200	3 118	9 74	7 95	5 98	2 83
3 100	0 38	8 188	7 48	2 126	5 70	9 188	4 195	6 11	1 14
3 116	8 108	9 176	4 96	7 106	1 111	6 91	5 29	2 82	0 100
2 76	7 146	8 7	3 98	6 140	0 189	9 97	1 82	4 13	5 95
8 96	7 48	9 12	3 139	6 130	1 17	5 156	2 169	0 161	4 55
6 49	0 139	5 110	2 164	4 35	7 47	9 42	1 34	8 105	3 119
6 96	8 147	7 51	9 19	0 150	2 126	3 44	5 89	1 77	4 27
7 58	5 81	8 40	9 65	1 110	2 73	4 64	0 114	3 40	6 57
7 29	2 7	0 76	8 101	4 48	3 8	9 59	5 162	1 109	6 98
3 58	7 79	2 168	8 174	9 199	1 42	0 147	5 50	4 171	6 53
7 171	6 175	1 62	0 33	9 94	4 93	5 25	2 170	8 72	3 151
2 50	7 198	5 33	3 84	4 190	6 89	0 56	1 35	8 88	9 187
8 176	1 186	5 179	0 183	7 198	9 139	3 93	2 19	4 138	6 50
1 169	2 165	3 34	5 177	0 199	4 137	8 160	7 188	6 66	9 57
7 197	0 45	8 43	5 179	2 127	4 175	6 134	1 69	3 154	9 192
5 79	4 127	6 182	2 179	3 77	8 93	1 145	7 51	9 198	0 88
