40	20
17 72	13 21	15 94	4 35	8 88	16 58	12 82	7 80	0 83	18 88	19 20	9 76	2 36	14 58	3 99	6 40	10 5	11 15	5 61	1 32
8 7	4 34	10 42	0 52	16 96	9 50	7 84	17 29	1 70	18 36	5 83	13 63	19 44	3 46	12 27	6 42	15 44	14 18	11 65	2 89
6 56	11 7	2 13	8 80	5 51	7 37	3 30	13 76	17 99	9 8	18 89	16 90	1 41	0 21	10 18	15 97	14 85	4 56	12 46	19 98
13 17	7 17	8 6	9 21	12 8	11 79	19 11	10 69	14 11	3 26	1 62	18 32	0 2	17 52	5 90	2 76	4 47	15 42	6 4	16 44
13 15	16 34	14 41	19 74	7 62	6 33	18 23	10 72	4 2	0 15	5 54	2 55	9 80	11 24	12 70	1 37	3 64	17 76	15 1	8 32
12 90	8 10	7 74	18 10	16 63	13 10	4 51	6 10	17 2	3 53	11 88	19 18	0 9	9 54	15 70	5 38	1 19	2 91	10 69	14 17
0 70	8 8	5 89	19 8	12 87	9 40	16 5	15 38	4 28	6 42	13 55	2 28	3 6	10 64	14 71	11 15	7 95	17 9	1 83	18 76
18 25	5 36	15 62	11 21	13 5	6 67	0 78	9 1	10 17	4 67	12 57	8 4	19 30	17 1	16 86	7 68	1 54	14 76	3 19	2 50
5 8	13 41	10 36	11 26	8 76	18 86	15 89	3 19	17 53	14 76	19 57	2 69	4 5	0 41	12 69	16 68	6 17	9 25	1 42	7 40
17 22	2 38	7 90	8 6	4 3	15 8	5 2	13 71	6 8	3 62	12 11	1 52	16 12	14 33	19 74	9 37	0 8	11 87	18 44	10 40
0 3	18 62	6 22	17 7	10 77	15 1	9 10	19 60	13 63	5 59	3 72	4 94	16 75	14 14	11 96	1 41	7 83	12 20	8 70	2 80
2 70	10 43	18 81	15 84	3 22	0 74	8 7	1 88	12 34	17 3	7 90	11 91	9 13	16 3	6 99	5 91	13 23	19 18	14 92	4 75
6 19	12 91	18 39	11 15	14 94	5 38	17 34	9 28	7 49	8 65	1 96	10 84	16 19	0 41	19 12	15 57	3 89	2 50	4 46	13 57
5 68	8 54	12 58	10 36	3 47	14 31	9 57	4 75	2 3	1 80	0 40	16 9	11 16	13 96	19 52	17 69	15 7	7 36	6 43	18 34
6 38	5 21	7 15	0 40	13 48	1 63	15 11	8 7	10 36	11 89	19 3	16 56	3 72	14 18	4 71	18 98	9 91	2 32	12 13	17 34
11 96	0 82	3 78	5 1	19 35	6 55	2 20	10 16	12 73	1 57	4 33	18 3	8 78	14 57	7 67	16 10	9 56	17 94	13 59	15 65
2 86	13 48	15 47	16 28	5 21	9 68	19 9	10 37	11 69	0 24	7 41	8 72	6 95	1 6	17 61	12 59	4 22	14 44	3 44	18 81
19 46	16 86	5 17	9 74	13 80	15 57	6 50	7 40	8 6	12 12	1 34	11 83	0 88	10 52	3 30	14 7	4 7	2 45	18 66	17 90
9 78	18 70	7 66	15 45	14 88	0 97	16 54	10 46	13 77	17 54	4 25	2 84	12 40	11 43	5 5	1 99	6 35	19 2	8 23	3 41
18 74	13 74	10 90	3 92	7 9	15 30	11 2	8 80	5 58	6 45	19 42	4 66	9 79	17 24	2 73	16 84	0 51	1 99	12 61	14 31
8 69	9 75	2 63	10 5	17 55	3 75	16 75	11 66	0 18	12 23	1 72	7 75	18 46	4 11	19 6	13 66	5 59	15 53	6 66	14 10
11 51	7 30	14 13	17 12	16 31	4 73	15 97	10 13	5 67	1 72	19 68	13 91	9 74	12 73	6 65	2 49	3 34	8 67	0 22	18 65
1 2	5 1	4 35	12 59	16 5	10 42	17 42	18 14	11 26	2 11	8 83	3 40	13 44	7 64	9 34	14 74	6 16	19 19	0 94	15 66
13 19	1 13	7 4	15 52	8 1	2 61	17 54	9 32	4 64	3 80	10 48	19 41	16 18	18 73	14 79	11 33	0 74	5 48	12 29	6 58
11 39	0 3	17 47	6 98	4 69	2 28	9 12	13 93	18 16	12 47	8 70	5 47	1 1	10 11	19 59	16 52	7 78	3 65	14 30	15 79
12 97	0 31	5 60	13 39	2 31	9 63	16 81	6 83	4 21	7 60	19 67	8 86	11 70	10 77	17 35	14 99	1 2	18 51	15 30	3 2
5 29	8 6	11 28	16 90	6 30	2 98	3 50	1 8	13 32	19 43	7 99	4 20	15 67	14 5	0 56	10 15	12 21	9 27	17 95	18 84
16 89	9 28	2 75	0 46	17 22	19 71	14 33	7 94	4 79	1 76	6 55	11 94	18 56	3 67	13 97	8 55	5 61	12 86	10 35	15 70
11 84	4 38	6 74	15 80	16 37	17 84	2 61	3 35	0 35	12 13	5 8	18 12	13 33	19 47	14 92	8 52	9 29	1 39	10 72	7 3
12 65	3 84	13 92	19 67	9 65	15 54	7 85	4 38	10 36	0 87	1 32	18 99	11 32	14 81	2 24	17 67	16 70	6 26	5 3	8 69
12 83	5 87	16 31	9 33	10 10	2 57	18 63	8 71	13 44	7 20	17 10	6 38	3 15	19 81	0 71	1 14	14 32	11 12	15 29	4 16
