20	15
10 23	11 21	3 21	4 27	2 78	14 97	9 79	0 77	1 92	8 88	5 31	7 57	13 79	12 1	6 27
4 24	12 56	5 18	11 70	13 36	6 79	2 33	10 69	0 67	8 12	9 46	1 39	3 32	14 56	7 77
5 46	4 56	14 15	9 12	8 46	12 44	10 68	2 88	0 76	1 31	7 87	6 25	11 97	3 52	13 88
10 60	14 2	11 49	0 66	3 35	5 5	4 95	6 98	8 68	9 71	1 93	13 6	7 50	2 42	12 27
8 18	7 52	14 61	4 90	3 31	5 40	10 59	0 15	9 95	2 46	1 24	13 44	12 68	11 74	6 15
4 85	13 98	3 54	10 73	8 57	5 34	9 88	12 55	2 61	6 18	7 35	1 17	0 62	14 9	11 40
11 2	7 39	13 89	12 34	8 74	6 30	1 82	0 33	9 11	3 80	4 26	5 10	14 3	2 25	10 60
3 1	11 88	8 26	1 75	6 77	7 63	4 26	13 82	10 93	2 74	14 85	0 9	5 50	12 3	9 42
0 64	1 76	13 44	8 79	5 32	3 50	6 2	7 10	14 74	9 45	2 92	12 22	4 43	11 10	10 50
12 56	3 66	9 30	0 20	10 25	2 70	7 96	14 84	5 25	1 72	8 81	13 46	4 29	6 64	11 53
0 8	13 62	6 43	1 1	12 92	2 38	14 1	11 79	7 18	3 50	10 38	9 48	8 88	4 11	5 61
1 74	7 86	2 16	3 22	13 57	6 75	10 12	11 83	14 92	4 64	12 98	9 2	5 14	0 71	8 76
6 22	2 79	10 70	5 12	14 30	13 18	3 91	8 85	9 15	0 89	1 38	4 32	11 27	12 46	7 66
5 25	14 6	11 85	0 3	4 20	13 34	9 64	1 45	8 90	3 53	10 35	12 75	6 35	7 75	2 62
6 33	9 62	8 61	1 97	12 52	10 44	3 90	7 17	13 55	11 19	5 90	14 59	2 13	0 35	4 32
7 46	14 86	9 24	6 97	12 81	10 21	4 24	13 75	5 42	0 95	1 72	11 99	8 16	3 34	2 85
11 84	10 17	5 98	4 83	7 69	9 80	12 41	1 68	2 18	0 53	13 33	3 57	8 78	6 51	14 43
7 30	9 68	4 53	6 58	10 15	13 46	2 78	12 91	8 81	0 36	11 56	14 84	5 2	1 73	3 81
9 48	11 81	4 40	1 84	5 49	13 26	3 19	12 53	2 43	0 4	6 41	14 53	8 86	10 15	7 78
5 32	12 95	3 39	0 99	10 60	13 97	9 24	6 41	14 13	4 31	7 3	2 24	11 84	8 41	1 83
