70	15
9 36	1 130	13 151	4 179	0 88	6 153	3 79	2 61	12 24	14 46	11 177	10 55	8 21	7 18	5 174
11 95	6 185	5 27	3 179	10 105	13 73	0 132	12 145	1 115	8 197	7 165	9 88	4 171	14 125	2 148
10 41	2 136	9 174	6 167	5 51	8 188	0 40	13 171	12 9	14 120	3 96	4 162	11 10	7 74	1 176
8 123	14 74	4 80	3 139	6 187	11 171	10 128	0 102	13 145	12 89	5 158	2 63	9 36	1 46	7 117
4 101	6 188	0 40	1 14	12 24	11 120	5 128	14 177	9 57	13 42	2 51	10 167	8 29	7 110	3 171
4 198	1 92	6 53	13 145	10 67	5 161	12 41	11 191	8 91	2 99	9 14	7 170	0 143	3 132	14 135
5 111	6 105	9 143	4 196	1 176	14 14	10 144	12 34	7 129	11 56	0 152	3 25	2 60	8 163	13 27
2 112	13 64	5 8	7 55	14 148	4 119	11 25	6 34	12 84	0 153	8 123	9 145	10 197	3 10	1 74
10 111	11 141	0 155	5 100	1 151	3 99	9 138	4 110	13 108	12 178	7 174	6 12	14 133	8 140	2 175
2 1	5 152	1 21	0 177	8 62	9 43	3 33	10 47	11 151	14 143	12 30	13 124	6 51	4 95	7 47
1 85	8 54	14 107	5 109	6 59	4 140	2 141	7 67	0 46	3 90	9 200	13 6	12 155	10 192	11 196
10 54	8 93	12 105	11 130	14 15	7 43	3 77	1 63	13 76	6 82	4 140	5 9	2 173	0 85	9 191
14 22	8 178	11 147	5 144	10 179	13 101	1 80	6 162	0 33	9 145	2 26	4 8	3 193	12 33	7 135
7 31	13 18	4 113	11 58	0 111	14 193	3 63	6 47	5 87	12 69	9 151	10 92	1 125	8 185	2 182
10 138	2 138	4 34	8 48	9 128	13 181	5 149	6 16	11 40	14 92	3 195	1 112	0 74	7 8	12 140
10 20	13 42	2 157	6 129	12 69	1 22	14 35	4 74	0 2	9 77	11 90	5 70	7 10	3 49	8 182
10 44	13 82	5 127	6 107	2 162	12 166	9 149	3 32	11 141	0 19	14 10	1 133	7 5	4 164	8 4
13 36	14 58	7 187	4 145	11 195	12 19	3 37	10 107	9 200	0 30	1 97	5 70	6 192	2 173	8 134
5 94	3 40	4 123	2 171	11 182	7 81	13 71	10 198	9 2	8 85	1 79	6 106	14 56	0 101	12 28
10 126	8 178	14 100	2 110	5 112	13 111	9 30	12 197	4 14	11 139	3 5	0 31	6 189	1 148	7 98
5 9	2 106	14 167	8 84	10 145	7 170	1 169	0 77	6 5	12 167	4 53	9 13	11 37	3 4	13 196
7 195	12 94	13 21	3 186	8 176	1 161	11 3	0 105	4 178	10 104	14 167	6 116	9 177	5 193	2 100
14 118	11 170	9 99	5 37	10 146	6 37	13 92	2 99	1 141	7 4	0 130	12 72	8 200	4 4	3 82
12 135	1 106	4 89	9 119	8 137	2 146	7 155	13 137	10 13	14 150	0 89	5 149	11 177	6 131	3 136
0 87	2 141	12 145	5 61	1 116	11 4	9 16	3 82	6 165	10 28	4 70	7 133	13 62	8 116	14 94
5 69	14 33	4 126	8 87	13 161	7 102	9 9	3 72	2 184	10 120	0 4	6 107	12 94	1 168	11 100
