20	5
2 17	0 49	1 73	4 45	3 65
4 8	3 163	1 104	2 94	0 133
2 69	4 143	0 127	3 91	1 66
0 123	2 200	4 103	1 171	3 108
1 133	4 61	3 68	2 109	0 125
1 105	0 112	3 104	2 52	4 168
1 132	4 93	2 67	3 77	0 195
2 180	3 125	1 51	4 95	0 17
3 43	1 81	0 133	2 141	4 198
0 145	4 152	2 115	3 4	1 67
0 194	1 90	4 41	2 37	3 74
2 130	4 131	3 139	1 63	0 10
3 42	1 150	4 19	0 84	2 112
1 91	3 13	4 36	2 110	0 161
4 76	1 71	3 183	0 63	2 150
1 14	4 93	2 180	0 25	3 80
2 73	0 195	4 121	3 30	1 128
2 184	3 71	0 179	4 76	1 19
3 18	4 71	2 103	1 156	0 80
3 190	1 144	2 50	0 32	4 120
