90	5
1 51	0 126	4 144	3 137	2 163
4 102	2 199	0 176	3 35	1 7
3 138	1 14	0 150	4 158	2 69
3 77	0 56	2 50	4 42	1 98
1 175	3 195	4 165	0 73	2 139
4 1	3 87	0 185	2 33	1 68
0 52	1 67	4 22	3 124	2 32
2 164	0 142	3 25	4 99	1 22
1 125	2 160	4 152	0 114	3 71
0 54	1 106	4 173	3 103	2 66
0 189	1 161	3 96	4 5	2 130
3 64	1 64	2 172	0 33	4 189
2 199	1 180	4 152	3 152	0 62
4 3	3 174	2 3	0 30	1 27
1 74	3 32	0 16	4 157	2 114
4 178	0 22	2 20	3 38	1 79
0 152	2 125	4 15	3 183	1 121
0 15	3 12	1 2	4 140	2 113
4 166	1 181	0 79	3 189	2 3
3 100	0 94	4 98	1 199	2 85
2 184	1 31	3 76	0 72	4 114
1 101	3 197	4 49	2 90	0 198
3 88	0 41	4 38	1 199	2 144
0 70	2 67	3 110	4 23	1 128
4 4	2 107	3 21	1 88	0 138
0 94	4 170	2 37	1 29	3 101
3 146	4 159	0 178	1 186	2 120
1 127	3 56	2 31	4 70	0 125
1 134	2 84	0 52	4 36	3 77
0 58	4 126	3 42	2 70	1 159
0 77	3 158	4 131	1 175	2 183
4 182	2 36	0 178	1 47	3 13
1 154	4 76	0 94	2 166	3 127
3 131	1 102	0 78	4 11	2 142
3 50	2 56	4 19	1 87	0 24
0 33	1 16	4 178	2 39	3 118
1 1	2 102	3 38	0 139	4 151
2 35	4 44	0 164	1 13	3 1
2 191	3 31	4 37	0 69	1 8
2 12	0 71	3 17	1 146	4 116
0 167	4 14	2 79	3 131	1 151
4 20	0 137	3 59	2 158	1 163
2 54	1 20	0 132	4 84	3 99
0 105	3 156	2 41	4 31	1 143
2 169	3 123	4 132	0 69	1 143
2 33	0 183	3 153	4 117	1 143
4 141	0 64	1 123	2 151	3 58
3 180	2 161	4 175	0 145	1 12
1 119	4 129	3 47	2 53	0 133
0 131	3 146	2 166	1 108	4 12
1 39	0 183	4 173	3 132	2 176
0 84	1 134	4 192	3 158	2 3
0 166	4 133	3 68	1 198	2 123
1 83	3 198	4 159	0 42	2 112
4 145	2 78	1 73	3 56	0 123
1 107	0 44	4 19	3 53	2 18
1 19	4 36	2 79	0 114	3 72
0 65	2 77	1 76	4 163	3 102
3 163	1 130	2 146	4 199	0 74
2 76	1 47	4 42	0 31	3 5
1 10	3 37	2 170	4 19	0 123
1 137	4 77	0 8	3 105	2 49
2 178	4 162	0 84	1 124	3 151
3 85	1 36	0 176	2 5	4 183
3 42	0 19	4 97	1 87	2 183
3 91	1 152	0 177	2 7	4 96
3 19	2 125	4 74	0 132	1 114
4 176	2 38	1 27	3 46	0 61
1 95	0 96	3 140	2 184	4 185
3 72	2 85	1 195	4 171	0 124
4 153	1 81	3 113	0 62	2 40
4 53	3 16	1 187	2 114	0 73
3 140	4 53	1 156	2 38	0 5
1 66	3 138	4 49	2 71	0 196
4 50	2 184	0 6	3 159	1 136
4 175	0 184	2 174	3 1	1 133
4 178	1 78	0 12	2 115	3 137
0 182	3 114	4 121	1 144	2 11
4 166	1 171	0 100	2 86	3 174
0 108	4 153	3 90	2 79	1 95
0 6	4 141	2 70	3 133	1 147
1 164	2 99	0 74	4 48	3 96
4 126	2 119	1 199	0 5	3 147
0 160	4 33	2 26	3 175	1 20
1 36	2 9	4 53	0 139	3 71
3 96	4 184	2 17	0 127	1 35
1 80	4 168	0 123	2 103	3 30
4 7	2 187	3 2	0 169	1 129
3 3	4 182	2 107	1 70	0 34
0 23	1 16	4 48	3 166	2 1
