100	100
84 12	12 74	53 45	99 93	52 8	67 75	32 5	23 82	95 92	30 3	94 38	34 79	22 86	3 19	75 1	21 91	89 24	63 13	14 54	71 67	80 58	91 21	73 8	57 80	15 85	78 79	41 1	90 17	55 21	62 94	77 57	79 12	8 37	19 2	4 70	82 15	5 74	20 64	27 58	13 5	31 97	45 76	81 98	39 94	60 46	25 64	87 97	43 55	35 31	1 65	74 70	44 58	46 31	33 63	97 74	40 51	86 77	51 94	68 65	28 57	16 21	47 83	98 15	85 83	10 45	72 61	59 43	66 26	92 56	69 90	49 85	76 76	56 36	36 85	83 66	54 68	26 23	11 58	64 49	42 62	96 37	88 84	48 44	17 8	70 22	9 84	65 9	18 58	0 5	58 51	24 29	93 69	37 46	50 75	6 77	38 98	2 66	61 99	7 24	29 94
20 38	92 9	75 79	4 72	47 90	1 53	87 61	94 17	5 16	43 8	93 59	24 65	32 22	72 2	18 12	48 17	19 73	99 78	78 50	9 42	62 33	11 43	71 19	45 49	79 34	53 90	97 39	12 89	50 13	21 28	61 19	56 63	81 75	68 12	31 46	15 4	52 32	40 76	90 53	74 42	85 22	82 79	51 12	38 77	37 81	26 4	88 29	23 43	44 36	42 30	29 74	91 12	76 51	10 88	98 91	77 44	95 17	14 6	41 68	7 44	96 27	6 34	63 95	55 29	25 46	69 3	28 52	36 98	22 1	17 90	80 7	67 25	89 28	54 48	60 13	58 94	66 77	8 73	57 86	27 20	83 87	3 51	65 2	73 35	39 61	13 42	46 17	70 83	84 1	35 73	59 12	34 93	64 1	30 86	86 61	33 22	2 55	0 96	16 10	49 28
1 64	15 22	2 85	86 31	37 91	79 26	58 74	34 59	46 11	84 80	39 98	10 10	91 83	50 22	33 95	94 31	14 60	59 7	43 24	88 78	49 84	87 23	75 22	32 86	96 43	69 57	63 20	71 46	92 92	61 17	40 55	60 63	36 11	25 43	97 46	42 40	19 44	95 10	89 37	45 50	17 94	22 11	54 2	5 76	41 19	30 50	53 53	77 79	83 73	73 18	90 45	16 91	6 85	57 5	74 95	72 23	68 75	55 16	9 27	76 44	62 36	23 40	7 19	51 50	78 28	65 52	52 45	24 7	47 23	64 12	70 95	27 56	38 38	85 18	98 37	11 26	18 39	80 11	66 87	31 21	21 1	48 40	82 47	20 98	67 29	44 53	28 66	81 90	26 47	56 79	35 60	3 42	99 47	12 38	93 93	29 33	4 62	13 78	0 56	8 61
55 97	52 61	37 82	77 49	50 79	20 85	32 22	29 11	86 4	58 96	18 71	19 9	17 93	41 81	12 98	39 31	5 36	88 76	87 95	36 67	13 24	27 59	85 56	99 83	31 83	59 66	38 36	24 67	44 83	47 78	91 43	45 31	73 65	84 62	98 43	78 67	71 31	42 36	25 5	10 1	46 33	43 39	79 49	82 52	69 80	96 90	15 66	30 15	56 13	8 97	3 17	16 71	70 65	76 66	14 48	2 87	35 4	28 97	67 73	9 46	21 85	60 16	63 31	4 19	6 43	66 59	65 28	64 71	40 18	26 2	61 69	51 13	68 96	90 19	54 54	34 13	23 26	97 42	62 64	22 19	75 69	74 33	89 70	93 76	7 97	81 87	11 59	0 80	72 14	48 84	95 75	83 83	1 58	92 2	80 21	53 43	33 73	94 87	57 95	49 48
99 54	82 24	35 93	11 21	37 74	64 75	49 47	83 59	21 26	63 6	47 64	87 98	14 95	12 27	48 11	16 26	51 17	23 58	40 22	53 85	55 14	24 30	94 77	8 1	18 96	9 29	95 49	92 53	29 1	13 31	90 43	81 74	76 23	7 29	17 29	27 20	77 62	2 59	60 7	79 44	26 13	3 62	22 58	25 10	50 28	57 11	86 87	78 68	61 10	89 34	74 53	91 92	44 41	33 71	69 41	67 52	38 31	65 78	98 8	73 4	85 76	6 22	20 95	31 83	0 3	41 66	62 52	19 11	56 28	42 2	34 99	84 83	52 10	66 86	30 46	96 50	36 11	5 63	88 19	46 81	59 5	1 54	75 56	45 58	71 71	54 96	39 77	58 2	80 4	68 87	72 40	15 9	10 59	32 69	93 55	43 8	70 31	4 96	97 7	28 94
70 13	67 16	89 74	30 81	0 32	55 44	73 86	45 92	11 62	94 15	26 62	97 25	86 91	93 41	35 37	66 20	78 81	56 15	91 35	10 33	47 53	5 45	92 31	6 26	62 57	76 99	83 67	68 53	81 63	51 83	2 99	41 35	9 61	39 28	60 47	74 23	58 55	82 98	85 36	18 24	1 36	13 93	32 83	12 58	42 61	28 70	75 61	79 43	80 5	57 80	99 83	63 85	48 86	34 90	71 68	88 77	29 35	95 61	38 70	65 45	24 67	52 99	20 44	37 91	61 78	8 51	22 50	69 52	33 96	77 79	23 60	72 80	17 99	4 43	87 86	14 58	49 28	7 84	21 37	40 38	64 98	50 84	44 25	19 61	31 92	84 12	3 15	54 87	59 39	53 3	25 28	46 22	90 74	27 32	43 90	15 95	98 90	96 1	36 28	16 50
40 48	6 71	76 65	97 50	13 9	72 33	87 50	11 62	71 8	20 65	4 70	82 74	22 54	2 74	61 85	81 39	25 48	16 13	88 89	10 23	86 32	9 61	17 58	77 31	75 83	44 58	74 26	34 92	46 12	39 40	68 7	62 39	64 69	38 41	24 94	98 56	56 49	43 66	8 5	63 43	92 36	52 5	73 31	78 93	80 52	29 41	1 9	12 78	94 93	96 78	14 50	91 12	42 62	26 81	23 85	35 21	53 9	90 79	89 78	33 59	27 89	31 30	5 7	15 79	18 50	79 6	95 22	93 5	69 47	45 48	48 89	49 46	28 39	99 93	70 28	21 70	66 30	51 25	30 12	19 31	32 35	7 96	58 42	36 32	60 17	50 49	67 61	57 28	59 91	54 50	47 36	83 3	84 97	41 1	0 17	55 39	3 39	85 3	65 25	37 51
78 35	97 57	26 20	96 52	52 54	51 7	76 83	95 60	73 71	11 1	4 3	41 70	18 96	63 69	3 46	88 76	93 40	72 13	50 89	35 25	9 48	24 59	49 25	34 70	92 63	1 73	61 64	64 54	32 51	10 2	59 34	44 22	70 94	68 82	60 31	7 92	21 45	77 75	29 17	86 10	65 65	90 63	2 24	36 89	83 85	12 99	54 38	17 73	8 29	75 48	20 52	14 84	45 31	84 99	40 57	39 45	55 8	0 47	6 18	91 16	57 49	81 65	46 50	94 60	23 14	37 45	38 73	27 18	99 54	66 34	80 42	87 43	71 62	79 44	25 55	56 47	58 97	67 22	5 16	74 87	28 3	69 17	15 19	85 3	82 40	48 10	53 7	89 19	33 49	62 16	42 2	31 81	16 77	19 43	13 16	30 32	43 92	98 64	47 66	22 72
96 36	64 84	14 3	4 61	39 73	0 47	52 34	75 10	21 20	93 4	2 69	82 68	18 78	91 11	77 92	43 88	78 1	88 75	83 40	51 52	29 49	28 1	50 81	15 34	72 12	19 96	16 36	38 72	65 79	76 63	44 33	90 15	11 19	86 83	7 20	89 64	42 74	40 68	54 93	8 42	58 17	57 31	31 35	37 72	80 81	36 32	69 25	55 88	24 71	73 60	10 41	98 61	3 64	41 12	20 23	81 13	97 83	12 77	66 15	45 95	59 38	70 19	47 83	94 47	17 40	13 79	22 31	62 84	53 7	49 21	84 53	30 94	23 29	5 31	63 57	9 46	61 80	48 19	27 67	79 65	35 17	92 22	56 6	1 10	34 82	68 71	99 61	25 61	26 27	32 23	71 63	46 24	6 47	87 20	33 82	95 23	74 85	85 41	67 36	60 33
93 25	42 52	57 33	70 34	35 17	94 67	74 57	72 6	81 69	99 68	34 3	3 59	62 33	26 61	96 36	56 95	52 68	18 99	28 14	23 56	38 82	31 63	12 29	97 58	21 3	82 99	76 61	7 20	17 66	64 39	36 23	39 19	73 80	66 24	85 4	60 83	91 83	2 20	75 74	11 14	48 52	24 84	40 81	55 27	25 91	29 55	87 83	67 3	71 83	78 93	13 52	86 74	19 46	27 84	45 46	63 88	69 8	4 8	47 65	84 81	83 16	49 67	89 61	79 99	43 53	8 75	95 98	1 40	5 98	30 44	53 42	51 42	88 86	37 23	33 43	59 47	58 42	9 3	50 51	80 43	92 46	22 9	10 65	65 75	16 28	41 80	15 9	0 2	68 56	77 21	61 34	6 90	20 11	98 36	90 96	14 44	46 39	32 76	54 30	44 89
82 82	99 64	76 35	97 85	55 69	50 22	54 91	43 88	65 1	26 59	9 86	52 19	6 96	56 25	3 26	57 94	12 63	59 92	61 8	58 95	27 18	49 42	89 91	60 70	91 53	94 79	4 56	7 83	42 60	41 17	72 50	96 75	31 4	84 65	36 78	46 1	18 57	19 97	77 2	83 91	74 35	44 14	68 40	15 55	39 21	47 15	95 52	20 6	11 96	5 26	75 68	28 78	86 78	79 20	80 1	85 44	45 32	37 30	90 46	51 27	24 14	62 88	48 90	93 38	78 10	21 65	29 76	88 74	32 5	33 51	13 62	23 89	0 85	70 67	1 65	25 70	2 28	40 23	38 76	69 78	8 83	35 14	81 59	30 3	14 70	66 28	63 66	98 4	34 39	71 66	87 32	16 36	73 7	17 15	53 60	64 50	67 97	22 25	10 62	92 33
