15	15
8 43	3 45	12 54	14 57	2 49	6 51	1 46	13 51	11 41	10 50	7 53	9 54	0 63	4 51	5 45
9 46	7 56	3 55	12 61	5 50	14 64	1 54	4 49	8 52	2 50	13 58	6 45	10 52	0 51	11 45
14 51	8 52	4 55	9 49	11 52	13 57	5 44	10 47	6 52	12 59	7 43	1 51	3 52	0 57	2 49
14 58	4 50	2 48	3 48	10 46	7 50	5 54	11 44	12 54	0 53	9 47	8 51	6 47	1 48	13 49
13 53	1 49	11 55	7 46	12 51	2 45	0 46	6 53	9 45	8 48	10 44	3 58	14 42	4 56	5 48
14 48	1 48	10 56	13 51	5 52	2 53	9 49	3 56	6 46	12 50	4 55	0 46	7 57	11 48	8 48
6 54	3 48	4 50	9 49	1 46	13 55	8 47	10 54	2 47	12 42	0 60	7 49	14 55	11 46	5 50
14 48	1 51	9 54	13 47	0 50	10 45	12 51	2 51	11 52	8 59	6 52	3 41	7 54	5 51	4 51
12 51	5 55	11 45	13 43	0 46	3 46	14 53	6 54	1 48	4 44	7 48	10 52	9 46	8 54	2 51
14 53	3 51	0 48	9 51	7 53	10 50	2 46	11 44	8 46	1 51	4 42	5 54	12 42	13 53	6 51
2 46	4 57	11 55	10 51	13 46	6 55	9 37	14 52	8 51	0 48	1 41	12 50	5 48	3 58	7 56
11 52	8 45	10 55	12 47	13 55	2 55	1 52	4 55	6 45	0 50	14 44	9 46	3 51	5 48	7 54
3 60	7 55	1 51	4 51	14 45	10 53	13 48	6 47	5 49	9 45	2 47	12 50	0 52	8 47	11 55
2 52	12 47	8 51	11 48	9 43	14 57	13 52	5 53	4 60	1 48	7 50	0 64	6 51	3 53	10 57
5 53	0 46	8 50	11 58	2 54	4 49	10 51	9 59	1 50	3 52	13 44	14 54	6 58	7 59	12 52
