20	10
4 49	0 56	1 52	5 43	2 44	6 50	7 54	9 49	3 54	8 50
7 46	9 54	5 49	3 49	4 43	2 54	6 52	0 51	1 47	8 53
0 48	1 40	6 48	9 45	8 43	7 51	2 50	5 51	3 47	4 49
5 48	6 51	8 46	3 50	4 49	1 46	2 51	0 54	9 41	7 51
4 48	1 56	8 49	9 39	3 49	6 43	0 46	7 45	2 45	5 41
3 55	9 54	8 52	5 52	4 46	2 47	1 50	0 49	6 49	7 43
3 49	1 54	2 52	7 48	6 54	4 45	5 58	0 41	8 48	9 43
4 51	1 44	8 50	2 53	3 55	6 49	7 47	0 46	5 51	9 52
7 46	1 49	2 46	8 43	6 50	3 49	4 56	0 50	9 48	5 63
3 47	5 47	2 49	8 47	4 48	7 46	1 56	0 52	9 49	6 61
3 50	6 51	4 46	9 60	7 49	0 58	8 46	5 54	2 51	1 52
2 50	8 46	4 59	6 48	3 58	9 53	0 45	7 54	1 48	5 48
4 55	8 54	7 49	3 46	2 56	6 54	9 56	1 47	0 44	5 49
9 51	2 58	4 54	8 59	7 47	5 57	6 44	1 43	3 49	0 56
6 58	3 48	4 45	7 45	2 52	0 50	1 45	5 48	9 48	8 56
9 43	5 50	7 41	6 50	3 45	8 58	4 43	1 56	0 44	2 50
4 55	1 44	7 43	3 53	2 52	5 49	9 41	0 52	8 55	6 42
7 51	1 48	6 45	3 51	4 49	5 50	2 50	8 47	9 51	0 49
6 45	8 44	7 48	0 50	3 54	2 49	1 44	9 58	5 50	4 54
3 44	1 47	2 58	7 52	4 48	9 51	6 49	5 42	0 53	8 51
